"","Comparison","SIMPER","OTU"
"1","D1.fluid_D1.inert.control",0.220019102614579,"Betaproteobacteria.Betaproteobacteriales.Rhodocyclaceae"
"2","D1.fluid_D1.inert.control",0.17205112501276,"Unassigned.Other.Other.Other.Other"
"3","D1.fluid_D1.inert.control",0.111079516455954,"Betaproteobacteria.Betaproteobacteriales.Gallionellaceae"
"4","D1.fluid_D1.inert.control",0.0812353267130379,"Betaproteobacteria.Betaproteobacteriales.Sulfuricellaceae"
"5","D1.fluid_D1.inert.control",0.0770484273152811,"Omnitrophicaeota.uncultured bacterium.uncultured bacterium.uncultured bacterium"
"6","D1.fluid_D1.inert.control",0.07634848418566,"Omnitrophicaeota.Other.Other.Other"
"7","D1.fluid_D1.inert.control",0.023996748180877,"Nitrospirae.Thermodesulfovibrionia.uncultured.uncultured bacterium"
"8","D1.fluid_D1.inert.control",0.014454554734094,"Chloroflexi.Anaerolineae.Anaerolineales.Anaerolineaceae"
"9","D1.fluid_D1.inert.control",0.010180162445135,"Nitrospirae.Thermodesulfovibrionia.uncultured.Other"
"10","D1.fluid_D1.inert.control",0.00748246496638805,"Alphaproteobacteria.Rhizobiales.Beijerinckiaceae"
"11","D1.fluid_D1.inert.control",0.00711426571591101,"Betaproteobacteria.Betaproteobacteriales.Burkholderiaceae"
"12","D1.fluid_D1.inert.control",0.00564875978826695,"Patescibacteria.Parcubacteria.CG1-02-42-13.Parcubacteria group bacterium CG1_02_42_13"
"13","D1.fluid_D1.inert.control",0.00518577657232,"Gammaproteobacteria.Pseudomonadales.Moraxellaceae"
"14","D1.fluid_D1.inert.control",0.00512197967248507,"Betaproteobacteria.Betaproteobacteriales.Other"
"15","D1.fluid_D1.inert.control",0.00496339880718,"Deltaproteobacteria.Myxococcales.P3OB-42"
"16","D1.fluid_D1.inert.control",0.0048139317847089,"Deltaproteobacteria.Bdellovibrionales.Bdellovibrionaceae"
"17","D1.fluid_D1.inert.control",0.00472461612494002,"Nanoarchaeaeota.Woesearchaeia.Other.Other"
"18","D1.fluid_D1.inert.control",0.004547807573968,"Spirochaetes.uncultured.uncultured bacterium.uncultured bacterium"
"19","D1.fluid_D1.inert.control",0.00454598480540103,"Euryarchaeota.Methanobacteria.Methanobacteriales.Methanobacteriaceae"
"20","D1.fluid_D1.inert.control",0.00421606369482497,"Deltaproteobacteria.Desulfobacterales.Desulfobulbaceae"
"21","D1.fluid_D1.inert.control",0.00404472344955309,"Gammaproteobacteria.Legionellales.Legionellaceae"
"22","D1.fluid_D1.inert.control",0.003486956268137,"Bacteria.Other"
"23","D1.fluid_D1.inert.control",0.00344320982253499,"Lentisphaerae.Lentisphaeria.Victivallales.GWF2-44-16"
"24","D1.fluid_D1.inert.control",0.00341586829403395,"Deltaproteobacteria.Desulfobacterales.Desulfobacteraceae"
"25","D1.fluid_D1.inert.control",0.00319166776032798,"Bacteroidetes.Bacteroidia.Sphingobacteriales.Lentimicrobiaceae"
"26","D1.fluid_D1.inert.control",0.003056782886391,"Betaproteobacteria.Betaproteobacteriales.Hydrogenophilaceae"
"27","D1.fluid_D1.inert.control",0.00285992388118406,"Nitrospirae.4-29-1.Other.Other"
"28","D1.fluid_D1.inert.control",0.00271410239584702,"WOR-1.uncultured bacterium.uncultured bacterium.uncultured bacterium"
"29","D1.fluid_D1.inert.control",0.00263754611604494,"Bacteroidetes.Bacteroidia.Bacteroidales.Other"
"30","D1.fluid_D1.inert.control",0.00249172463070702,"Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae"
"31","D1.fluid_D1.inert.control",0.00225841025416706,"Omnitrophicaeota.Ambiguous_taxa.Ambiguous_taxa.Ambiguous_taxa"
"32","D1.fluid_D1.inert.control",0.00224929641133298,"Firmicutes.Clostridia.Clostridiales.Peptococcaceae"
"33","D1.fluid_D1.inert.control",0.00212534814879695,"Bacteroidetes.Ignavibacteria.Kryptoniales.BSV26"
"34","D1.fluid_D1.inert.control",0.00210529769456202,"Deltaproteobacteria.Syntrophobacterales.Syntrophaceae"
"35","D1.fluid_D1.inert.control",0.00181912302958698,"Nitrospirae.4-29-1.uncultured bacterium.uncultured bacterium"
"36","D1.fluid_D1.inert.control",0.00181547749245403,"Deltaproteobacteria.DTB120.Other"
"37","D1.fluid_D1.inert.control",0.001780844889686,"Chloroflexi.Dehalococcoidia.Other.Other"
"38","D1.fluid_D1.inert.control",0.00174621228691796,"Deltaproteobacteria.Other.Other"
"39","D1.fluid_D1.inert.control",0.00174438951835199,"Nanoarchaeaeota.Woesearchaeia.uncultured archaeon.uncultured archaeon"
"40","D1.fluid_D1.inert.control",0.00167330154424905,"Diapherotrites.Micrarchaeia.uncultured archaeon.uncultured archaeon"
"41","D1.fluid_D1.inert.control",0.00164049171004899,"Deltaproteobacteria.MBNT15.Other"
"42","D1.fluid_D1.inert.control",0.00163320063578198,"Cyanobacteria.Melainabacteria.Obscuribacterales.Other"
"43","D1.fluid_D1.inert.control",0.00148008807617706,"Latescibacteria.uncultured bacterium.uncultured bacterium.uncultured bacterium"
"44","D1.fluid_D1.inert.control",0.00146732869621002,"Planctomycetes.Phycisphaerae.mle1-8.Other"
"45","D1.fluid_D1.inert.control",0.00140353179637498,"Deltaproteobacteria.Myxococcales.Archangiaceae"
"46","D1.fluid_D1.inert.control",0.001365253656473,"Elusimicrobia.Elusimicrobia.Lineage IV.Other"
"47","D1.fluid_D1.inert.control",0.00135249427650697,"Patescibacteria.Parcubacteria.Candidatus Azambacteria.Other"
"48","D1.fluid_D1.inert.control",0.00134702597080705,"LCP-89.uncultured bacterium.uncultured bacterium.uncultured bacterium"
"49","D1.fluid_D1.inert.control",0.00134520320223996,"Patescibacteria.Parcubacteria.uncultured bacterium.uncultured bacterium"
"50","D1.fluid_D1.inert.control",0.00132879828513899,"WOR-1.Other.Other.Other"
"51","D1.fluid_D1.inert.control",0.00131421613660498,"Nanoarchaeaeota.Woesearchaeia.uncultured euryarchaeote.uncultured euryarchaeote"
"52","D1.fluid_D1.inert.control",0.00130145675663906,"Diapherotrites.Iainarchaeia.Iainarchaeales.Diapherotrites archaeon SCGC AAA011-K09"
"53","D1.fluid_D1.inert.control",0.00123036878253591,"Patescibacteria.Parcubacteria.Candidatus Staskawiczbacteria.Other"
"54","D1.fluid_D1.inert.control",0.00122854601397004,"Chloroflexi.Anaerolineae.RBG-13-54-9.Other"
"55","D1.fluid_D1.inert.control",0.00122125493970304,"Bacteroidetes.Ignavibacteria.Ignavibacteriales.Other"
"56","D1.fluid_D1.inert.control",0.00121214109686896,"Patescibacteria.Parcubacteria.Other.Other"
"57","D1.fluid_D1.inert.control",0.00120849555973601,"Gammaproteobacteria.Other.Other"
"58","D1.fluid_D1.inert.control",0.00116657188270097,"Euryarchaeota.Thermoplasmata.Methanomassiliicoccales.uncultured"
"59","D1.fluid_D1.inert.control",0.00114652142846705,"Gammaproteobacteria.Coxiellales.Coxiellaceae"
"60","D1.fluid_D1.inert.control",0.00106631961153192,"Patescibacteria.ABY1.Candidatus Falkowbacteria.uncultured bacterium"
"61","D1.fluid_D1.inert.control",0.00104080085159708,"Deltaproteobacteria.Myxococcales.Other"
"62","D1.fluid_D1.inert.control",0.00103168700876399,"Deltaproteobacteria.Myxococcales.Blfdi19"
"63","D1.fluid_D1.inert.control",0.000980649488895979,"Cyanobacteria.Sericytochromatia.uncultured bacterium.uncultured bacterium"
"64","D1.fluid_D1.inert.control",0.000966067340361976,"Bacteroidetes.Ignavibacteria.Ignavibacteriales.LD-RB-34"
"65","D1.fluid_D1.inert.control",0.000955130728961029,"Alphaproteobacteria.Caulobacterales.Caulobacteraceae"
"66","D1.fluid_D1.inert.control",0.000944194117561969,"Nanoarchaeaeota.Nanohaloarchaeia.Aenigmarchaeales.uncultured archaeon"
"67","D1.fluid_D1.inert.control",0.000933257506161023,"Deltaproteobacteria.Myxococcales.mle1-27"
"68","D1.fluid_D1.inert.control",0.000927789200460993,"Spirochaetes.Spirochaetia.Spirochaetales.Spirochaetaceae"
"69","D1.fluid_D1.inert.control",0.000909561514793045,"Patescibacteria.ABY1.Candidatus Falkowbacteria.Other"
"70","D1.fluid_D1.inert.control",0.000896802134827013,"Patescibacteria.Parcubacteria.Candidatus Jorgensenbacteria.Candidatus Adlerbacteria bacterium GW2011_GWC1_50_9"
"71","D1.fluid_D1.inert.control",0.000894979366259929,"Nitrospinae.P9X2b3D02.Other.Other"
"72","D1.fluid_D1.inert.control",0.000889511060559012,"Patescibacteria.ABY1.Candidatus Magasanikbacteria.Other"
"73","D1.fluid_D1.inert.control",0.000874928912026007,"Bacteroidetes.Bacteroidia.Bacteroidales.Prolixibacteraceae"
"74","D1.fluid_D1.inert.control",0.000869460606325978,"Chlamydiae.Chlamydiae.Chlamydiales.Parachlamydiaceae"
"75","D1.fluid_D1.inert.control",0.000854878457791974,"Patescibacteria.Parcubacteria.Candidatus Nomurabacteria.Other"
"76","D1.fluid_D1.inert.control",0.000842119077825054,"Patescibacteria.Parcubacteria.UBA9983.Other"
"77","D1.fluid_D1.inert.control",0.000814777549324019,"Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae"
"78","D1.fluid_D1.inert.control",0.000811132012189963,"Patescibacteria.ABY1.Candidatus Magasanikbacteria.uncultured bacterium"
"79","D1.fluid_D1.inert.control",0.000792904326524013,"Alphaproteobacteria.Rickettsiales.Mitochondria"
"80","D1.fluid_D1.inert.control",0.000789258789389957,"Patescibacteria.ABY1.Candidatus Kerfeldbacteria.uncultured bacterium"
"81","D1.fluid_D1.inert.control",0.00077832217799001,"Deltaproteobacteria.Myxococcales.PS-B29"
"82","D1.fluid_D1.inert.control",0.00076556279802209,"Latescibacteria.Other.Other.Other"
"83","D1.fluid_D1.inert.control",0.000749157880923002,"Deltaproteobacteria.Bdellovibrionales.Bacteriovoracaceae"
