	sequences per sample	iteration	NU.39.DeMMO6.5mmPyrex.Sep2016	NU.18.DeMMO3.Steri.Dec2015	NU.25.DeMMO1.D1.sand.Sep2016	NU.54.4800.D1.SlideBlank.Sep2016	NU.44.DeMMO3.D1.wool.Sep2016	NU.45.DeMMO3.D1.sand.Sep2016	NU.48.800.D1.SlideBlank.Sep2016	NU.03.DeMMO6.Steri.2.092316	NU.37.DeMMO6.D1.sand.Sep2016	NU.05.DeMMO3.Steri.2.092116	NU.11.DeMMO6.Steri.2.120716	NU.26.DeMMO1.D1.3mmPyrex.Sep2016	NU.12.DeMMO3.Steri.1.120816	NU.36.DeMMO6.D1.wool.Sep2016	NU.24.DeMMO1.D1.wool.Sep2016	NU.15.DeMMO1.Steri.120715	NU.01.DeMMO1.Steri.1.092016	NU.46.DeMMO3.D1.3mmPyrex.Sep2016	NU.47.DeMMO3.D1.5mmPyrex.Sep2016	NU.14.DeMMO1.Steri.1.120916	NU.38.DeMMO6.D1.3mmPyrex.Sep2016	NU.20.DeMMO6.Steri.120815	NU.27.DeMMO1.D1.5mmPyrex.Sep2016	34.DeMMO3.T11.bottom.051117	9.DeMMO3.Steri.051117	25.DuselD.T9.bottom.082917	26.DeMMO3.T7.bottom.051117	11.DeMMO3.T2.bottom.083017	25.DeMMO3.T7.top.051117	22.DuselD.T8.top.082917	17.DeMMO3.T5.bottom.083017	24.DeMMO6.T6.bottom.051017	7.DeMMO1.Steri.050917	16.DeMMO3.T5.top.083017	27.DuselD.T10.bottom.082917	5.DeMMO6.Steri.021415	1.DeMMO1.steri.083117	28.DeMMO3.T8.bottom.051117	27.DeMMO3.T8.top.051117	24.DuselD.T9.top.082917	36.DeMMO3.T12.bottom.051117	32.DeMMO3.T10.bottom.051117	16.DeMMO6.T2.bottom.051017	10.DeMMO3.T2.top.083017	23.DuselD.T8.bottom.082917	18.DuselD.T6.top.082917	13.DeMMO6.T1.top.051017	15.DeMMO3.T4.bottom.083017	1.DeMMO1.Steri.021517	30.DeMMO3.T9.bottom.051117	21.DuselD.T7.bottom.082917	6.DeMMO3.Steri.021517	3.DeMMO3.steri.083117	12.DeMMO6.Steri#2.051017	6.DeMMO6.steri.082917	26.DuselD.T10.top.082917	33.DeMMO3.T11.top.051117	9.DeMMO3.T1.bottom.083017	12.DeMMO3.T3.top.083017	19.DeMMO6.T4.top.051017	17.DeMMO6.T3.top.051017	20.DuselD.T7.top.082917	7.DuselD.steri.082917	22.DeMMO6.T5.bottom.051017	14.DeMMO3.T4.top.083017	20.DeMMO6.T4.bottom.051017	15.DeMMO6.T2.top.051017	18.DeMMO6.T3.bottom.051017	21.DeMMO6.T5.top.051017	29.DeMMO3.T9.top.051117	14.DeMMO6.T1.bottom.051017	19.DuselD.T6.bottom.082917	31.DeMMO3.T10.top.051117	13.DeMMO3.T3.bottom.083017	35.DeMMO3.T12.top.051117	8.DeMMO3.T1.top.083017	27.24790.AfterPacker.051616	30.DuselB.050416	34.4100L.DrillFluid.051716	18.10dash1.051816	32.DuselB.051916	14.24790.AfterDrilling.050516	15.24790.DitchFluid.050516	28.24790.071216	19.10dash1.071116	33.DuselB.071316	16.10dash1.050216	26.DeMMO1.SC1.top.041818	31.DeMMO1.SC7.top.041818	52.DeMMO3.B.top.041718	14.DeMMO3.steri.041718	53.DeMMO3.C.top.041718	56.DeMMO3.F.top.041718	30.DeMMO1.SC5.top.041818	41.DeMMO3.3.top.041718	22.DeMMO1.C.top.041818	21.DeMMO1.B.top.041818	42.DeMMO3.4.top.041718	18.800.DitchFluid.041818	55.DeMMO3.E.top.041718	47.DeMMO1.9.top.041818	54.DeMMO3.D.top.041718	34.DeMMO1.SC10.top.041818	20.DeMMO1.A.top.041818	45.DeMMO1.7.top.041818	40.DeMMO3.2.top.041718	43.DeMMO3.5.top.041718	1.DeMMO1.steri.113017	29.DeMMO1.SC4.top.041818	44.DeMMO3.6.top.041718	51.DeMMO3.A.top.041718	3.DeMMO3.steri.112717	12.DeMMO1.steri.041818	39.DeMMO3.1.top.041718	17.DeMMO6.041618	50.DeMMO1.12.top.041818	46.DeMMO1.8.top.041818	49.DeMMO1.11.top.041818	28.DeMMO1.SC3.top.041818	48.DeMMO1.10.top.041818	24.DeMMO1.E.top.041818	27.DeMMO1.SC2.top.041818	33.DeMMO1.SC9.top.041818	32.DeMMO1.SC8.top.041818	6.DeMMO6.steri.112817	23.DeMMO1.D.top.041818
alpha_rarefaction_500_0.txt	500	0	78.1428571429	144.5	68.3	258.0	169.0	176.0	323.083333333	69.0	84.0	217.647058824	141.076923077	97.3333333333	275.571428571	127.857142857	125.333333333	113.071428571	155.516129032	118.666666667	97.3	303.204081633	62.8571428571	67.0	88.3	137.0	302.272727273	144.0	134.047619048	185.875	65.0	153.333333333	106.769230769	129.352941176	740.441176471	197.125	113.0	141.647058824	610.446808511	156.05	160.368421053	207.5	117.071428571	191.5	114.153846154	137.235294118	141.555555556	151.0	160.166666667	107.5	842.75	161.928571429	146.0	325.045454545	282.3125	214.75	101.473684211	139.625	156.1	240.142857143	192.0	99.75	154.894736842	151.461538462	260.8	116.2	134.647058824	120.666666667	185.111111111	110.75	124.058823529	140.6	74.0	136.5	137.0	92.2	127.588235294	123.052631579	227.153846154	65.25	349.545454545	511.097560976	63.1	250.0	940.081081081	220.473684211	387.92	46.2	236.404255319	46.1111111111	62.6	167.666666667	273.714285714	269.583333333	153.882352941	204.375	198.125	242.666666667	260.866666667	134.913043478	1090.83333333	192.5	222.615384615	173.272727273	103.5	193.0	157.3	183.222222222	109.461538462	531.813953488	257.25	162.272727273	146.157894737	285.476190476	636.7	167.041666667	136.111111111	258.0	171.4	174.4	181.8125	174.875	355.5	161.928571429	144.333333333	120.25	79.0909090909	257.0
alpha_rarefaction_500_1.txt	500	1	62.0	153.0	90.8	132.125	157.0	200.111111111	208.157894737	84.5	134.428571429	241.2	108.0	106.3	223.555555556	96.8571428571	188.0	104.071428571	166.260869565	134.363636364	110.0625	263.166666667	77.0	52.1666666667	79.0	183.230769231	279.714285714	169.6	137.0	128.272727273	57.5454545455	123.090909091	153.461538462	170.2	712.923076923	219.526315789	162.75	124.176470588	611.9375	147.142857143	136.4	146.473684211	180.5	181.461538462	169.0	130.055555556	167.4	113.0	100.153846154	131.272727273	733.44	165.066666667	129.555555556	519.4375	282.75	80.0	148.375	107.454545455	130.882352941	109.615384615	214.666666667	90.0	106.555555556	143.882352941	209.142857143	158.5	126.866666667	100.235294118	155.25	131.214285714	112.473684211	188.176470588	99.0714285714	150.230769231	173.25	283.25	133.866666667	140.043478261	223.111111111	98.6	301.833333333	382.928571429	140.0	219.171428571	755.65	194.55	489.317073171	56.0	217.0	141.0	44.0	220.8	343.807692308	169.5625	124.0	181.909090909	133.896551724	169.6	220.0	139.5	834.769230769	286.0	230.0	195.0	127.0	135.15	118.176470588	136.64	126.461538462	642.6	198.0	153.3	204.0	251.454545455	779.037037037	179.037037037	128.454545455	227.588235294	139.526315789	125.0	270.666666667	188.833333333	248.5	158.176470588	173.461538462	75.5	114.0	214.055555556
alpha_rarefaction_500_2.txt	500	2	50.1666666667	124.866666667	103.6	132.125	159.714285714	143.235294118	326.769230769	54.7142857143	92.5	201.055555556	133.052631579	126.076923077	177.0	123.0	113.0	123.75	159.272727273	99.25	134.583333333	312.75	78.1111111111	56.0	89.5	143.647058824	228.285714286	162.625	126.0	119.6	91.6	118.166666667	127.5	150.4375	736.097560976	207.5	129.6	152.5	653.716981132	152.285714286	137.730769231	126.25	119.375	151.333333333	118.615384615	203.25	145.142857143	108.090909091	137.428571429	111.105263158	542.714285714	163.105263158	118.0	432.8	233.12	101.0625	209.6	112.555555556	150.5	167.166666667	183.0	128.5	129.8	146.230769231	432.909090909	138.75	135.647058824	78.6153846154	124.3125	160.615384615	106.368421053	165.176470588	156.0	100.473684211	174.0	111.5	197.5	181.666666667	241.090909091	65.5	234.375	486.95	73.875	204.027777778	741.448979592	215.647058824	456.0	91.0	299.558823529	82.5	105.0	218.076923077	274.111111111	153.142857143	141.0	192.0	157.555555556	177.125	260.625	171.066666667	942.733333333	189.875	261.214285714	202.476190476	56.375	201.071428571	225.066666667	172.333333333	119.153846154	480.977272727	352.5	191.5	201.909090909	232.894736842	581.885714286	184.8	157.230769231	201.5	112.0	171.0	277.461538462	146.588235294	244.1875	236.4	150.0	42.5	89.3333333333	229.368421053
alpha_rarefaction_500_3.txt	500	3	57.6666666667	105.0	99.1111111111	85.5	128.157894737	217.090909091	243.0	70.0833333333	93.3636363636	155.05	134.769230769	88.6470588235	197.75	103.75	103.5	132.0	143.03030303	126.909090909	96.5652173913	298.057692308	65.1111111111	59.6	79.1111111111	136.0	287.954545455	168.0	136.875	139.909090909	79.5	97.0	138.909090909	150.0	684.5	190.869565217	141.1	128.875	729.341463415	132.652173913	145.166666667	130.142857143	215.25	186.5	123.8	139.555555556	166.045454545	111.75	96.6	111.142857143	515.772727273	173.0	210.25	388.0	239.0	176.0	148.909090909	120.142857143	191.714285714	159.0	166.24	95.7894736842	133.571428571	134.647058824	323.5625	139.230769231	173.1	106.0	199.111111111	114.0	118.391304348	144.037037037	106.1875	195.8	132.4	183.545454545	143.117647059	150.555555556	174.555555556	69.4285714286	317.0	580.176470588	75.0909090909	251.75	738.538461538	180.8	412.236842105	43.5	223.097560976	54.4285714286	87.0	242.066666667	260.857142857	266.3	150.125	211.428571429	151.896551724	341.6	203.055555556	160.4	1178.07692308	211.157894737	293.666666667	176.652173913	58.2	148.230769231	152.8	184.142857143	112.0	534.076923077	189.4	157.583333333	158.368421053	324.588235294	785.75	199.526315789	109.0	182.4	171.058823529	175.0	231.0	196.0	348.0	187.714285714	127.928571429	143.5	70.0	256.714285714
alpha_rarefaction_500_4.txt	500	4	95.1428571429	143.5	83.9090909091	68.125	138.583333333	148.0	182.0	88.8333333333	87.0	233.5	101.894736842	107.333333333	188.0	141.666666667	158.142857143	114.214285714	159.444444444	102.111111111	109.0625	275.471698113	72.0	42.5	98.5	138.315789474	307.789473684	217.428571429	145.3	175.857142857	69.2307692308	154.615384615	152.75	143.647058824	816.153846154	199.0	147.25	116.4	978.285714286	147.136363636	151.0	214.6	133.076923077	152.066666667	138.333333333	138.866666667	259.3	110.75	77.0909090909	181.5	607.512195122	146.235294118	231.857142857	305.25	260.789473684	120.583333333	129.9375	136.769230769	132.571428571	127.666666667	167.333333333	122.272727273	129.285714286	139.4375	273.176470588	175.090909091	109.0	123.666666667	107.066666667	134.0	101.105263158	195.55	73.4	147.5	122.625	109.666666667	160.473684211	192.071428571	208.0	71.5	275.0	408.807692308	61.0	221.689655172	812.8	164.142857143	365.163265306	87.8571428571	263.7	85.4285714286	95.0	170.344827586	256.529411765	152.0	152.272727273	201.333333333	188.55	254.625	260.333333333	147.136363636	803.875	261.272727273	261.214285714	222.5	52.0	176.5	170.083333333	145.888888889	112.157894737	601.023255814	280.5	187.6875	182.6	282.588235294	551.833333333	206.391304348	150.076923077	354.5	137.25	149.333333333	225.833333333	194.214285714	236.4	156.352941176	164.214285714	73.0	83.625	370.25
alpha_rarefaction_500_5.txt	500	5	57.0	174.461538462	76.0909090909	59.0	145.117647059	116.9375	171.5	91.625	89.25	278.882352941	99.0	116.352941176	158.272727273	92.3636363636	120.5	99.3	156.137931034	156.166666667	101.0	256.267857143	65.75	68.6	71.3333333333	214.25	242.541666667	128.714285714	149.0	123.090909091	70.75	113.375	127.090909091	128.866666667	638.72	179.619047619	146.25	146.5	670.0	140.315789474	239.090909091	170.0	129.0	302.625	114.0	156.875	150.681818182	125.714285714	104.6	111.5	614.65	152.6875	153.894736842	286.621621622	231.636363636	84.0	133.1	114.032258065	230.0	117.176470588	198.64	114.0625	119.0	140.75	273.0	144.545454545	206.75	109.2	170.0	127.090909091	138.75	174.615384615	95.3333333333	123.0	134.555555556	149.0	137.647058824	206.75	191.083333333	81.0	247.3	460.162790698	69.5	228.5	813.727272727	214.5	465.0	53.5714285714	299.59375	64.5	110.2	191.869565217	266.615384615	229.214285714	174.25	146.0	134.37037037	294.769230769	327.545454545	138.15	837.6875	219.526315789	225.3	210.181818182	86.0	161.058823529	277.75	169.038461538	203.111111111	690.516129032	207.230769231	149.807692308	140.5	353.714285714	566.363636364	178.125	176.0	153.25	120.0	137.5	361.8	248.909090909	274.076923077	164.066666667	198.076923077	261.5	80.6	268.4
alpha_rarefaction_500_6.txt	500	6	70.25	140.473684211	86.3636363636	85.5454545455	172.1	144.333333333	159.0	76.1111111111	84.6	238.473684211	143.315789474	104.214285714	180.869565217	70.0	133.0	144.428571429	158.405405405	122.583333333	97.1428571429	312.957446809	77.6666666667	53.0	97.1428571429	141.117647059	299.652173913	142.0	147.647058824	187.0	60.0	110.0	87.4	115.066666667	905.551724138	145.045454545	183.0	124.0	704.023809524	137.882352941	135.9375	179.625	126.4	157.461538462	145.5	119.157894737	170.0	110.0	121.5	137.05	665.775	145.5	98.8333333333	296.777777778	303.526315789	119.769230769	159.769230769	134.0	127.111111111	133.0	176.913043478	104.0	124.0	135.105263158	250.5	154.2	110.625	103.0625	118.166666667	168.142857143	112.8	148.105263158	94.0	193.1	104.0	123.0	190.076923077	170.176470588	143.4	91.1666666667	200.0	469.692307692	67.0	224.884615385	939.823529412	169.384615385	459.527777778	51.0	244.025	72.0	67.6666666667	209.5	230.71875	228.375	122.071428571	214.111111111	165.714285714	217.0	336.0	133.272727273	1238.02857143	177.833333333	362.666666667	201.454545455	70.0	175.6875	159.176470588	158.0	137.8125	705.285714286	176.157894737	195.555555556	155.125	285.882352941	480.083333333	163.964285714	168.153846154	267.3125	181.5	164.111111111	339.5	288.090909091	186.588235294	146.235294118	155.176470588	74.5	78.1428571429	241.4
alpha_rarefaction_500_7.txt	500	7	74.0	167.214285714	110.666666667	81.6	170.4	133.571428571	186.136363636	75.875	76.7692307692	214.5	185.0	97.0	226.352941176	89.3333333333	154.875	145.666666667	155.875	146.25	128.5	318.727272727	100.75	69.5	73.3333333333	134.555555556	277.636363636	92.0	173.615384615	147.230769231	106.0	106.714285714	170.3	136.15	674.692307692	204.444444444	85.375	124.5	669.0625	131.730769231	146.117647059	250.3	187.0	174.666666667	118.0	156.066666667	203.833333333	99.75	82.9375	115.714285714	558.837209302	124.2	173.769230769	327.130434783	263.142857143	186.166666667	120.375	116.666666667	155.0	207.375	147.0	108.1875	113.166666667	127.928571429	297.454545455	136.833333333	123.75	126.461538462	103.352941176	155.25	104.0	154.882352941	97.9090909091	130.833333333	144.714285714	194.0	180.058823529	157.066666667	186.714285714	92.8571428571	410.0	465.12195122	76.625	232.772727273	782.022222222	282.4	404.0	68.5	288.15625	56.3	70.25	181.3	252.78125	184.0	173.615384615	204.666666667	166.454545455	210.625	241.769230769	141.2	1116.33333333	317.615384615	345.866666667	194.0	93.2	184.666666667	179.230769231	210.882352941	115.0	548.025641026	224.352941176	165.681818182	185.0	267.055555556	680.028571429	184.24	115.25	200.375	158.894736842	109.0	271.230769231	206.076923077	209.2	136.166666667	163.666666667	45.2	76.1428571429	283.666666667
alpha_rarefaction_500_8.txt	500	8	68.6666666667	126.866666667	77.6666666667	64.4285714286	167.5625	241.272727273	200.142857143	98.0	75.75	196.8125	145.714285714	155.0	182.956521739	121.666666667	151.666666667	114.461538462	141.12	115.666666667	101.0	273.882352941	93.0	60.4285714286	87.4615384615	146.4375	356.789473684	100.142857143	197.4	142.6	104.0	104.545454545	176.090909091	133.571428571	772.757575758	199.833333333	110.111111111	138.0	778.857142857	127.2	135.0	153.0	138.0	154.6875	116.0	130.166666667	211.2	90.0769230769	91.0	150.5	540.162162162	143.5	263.363636364	331.44	277.375	106.272727273	117.153846154	133.15	159.571428571	237.0	169.130434783	87.5	110.894736842	127.928571429	330.5	176.571428571	102.588235294	116.111111111	125.352941176	125.769230769	121.333333333	214.0	74.25	102.833333333	150.0	101.909090909	143.235294118	159.8	165.2	73.75	291.333333333	488.027777778	48.2727272727	267.0	663.294117647	173.55	368.714285714	59.1111111111	290.5	110.0	98.0	209.5	296.230769231	191.4	152.2	125.666666667	177.625	243.0	292.833333333	159.117647059	1033.15384615	253.769230769	192.055555556	248.333333333	115.5	274.625	153.909090909	192.0	122.625	715.0	149.681818182	180.833333333	148.5	273.0	584.193548387	174.517241379	172.055555556	222.0	135.0	237.0	293.0	249.4	270.0	278.0	189.909090909	78.0	78.3333333333	306.882352941
alpha_rarefaction_500_9.txt	500	9	73.25	152.461538462	164.5	77.25	163.5	180.230769231	201.25	127.6	136.857142857	207.260869565	127.285714286	113.0	192.913043478	88.1428571429	166.428571429	137.5	154.551724138	99.1111111111	108.066666667	289.411764706	61.8571428571	84.0	96.5	106.619047619	241.555555556	178.111111111	167.3	108.615384615	83.1	126.5	126.076923077	192.076923077	648.871794872	218.647058824	89.5555555556	183.461538462	681.634146341	150.285714286	144.607142857	116.461538462	182.076923077	138.166666667	143.5	226.272727273	172.5	105.333333333	114.8	122.352941176	583.073170732	235.75	229.857142857	348.0	228.333333333	148.111111111	147.105263158	145.0	123.0	191.0	154.777777778	107.4	119.75	165.5	230.625	151.2	150.2	151.3	147.6875	116.058823529	113.619047619	181.666666667	93.9090909091	147.909090909	188.4	246.0	109.44	137.625	232.0	52.5	211.157894737	488.41025641	94.0	166.214285714	784.525	177.0	342.666666667	43.75	228.071428571	116.2	58.0	177.4	266.037037037	213.833333333	125.0	149.0	206.142857143	233.0	238.0	185.789473684	831.37254902	204.55	186.55	222.0	71.0	175.0	178.176470588	160.045454545	142.4	578.466666667	205.647058824	170.588235294	184.769230769	272.0	513.078947368	188.24	136.055555556	251.526315789	134.0	154.153846154	229.071428571	199.647058824	310.0	237.75	129.076923077	99.0	67.1	321.05
