	sequences per sample	iteration	NU.39.DeMMO6.5mmPyrex.Sep2016	NU.18.DeMMO3.Steri.Dec2015	NU.25.DeMMO1.D1.sand.Sep2016	NU.54.4800.D1.SlideBlank.Sep2016	NU.44.DeMMO3.D1.wool.Sep2016	NU.45.DeMMO3.D1.sand.Sep2016	NU.48.800.D1.SlideBlank.Sep2016	NU.03.DeMMO6.Steri.2.092316	NU.37.DeMMO6.D1.sand.Sep2016	NU.05.DeMMO3.Steri.2.092116	NU.11.DeMMO6.Steri.2.120716	NU.26.DeMMO1.D1.3mmPyrex.Sep2016	NU.12.DeMMO3.Steri.1.120816	NU.36.DeMMO6.D1.wool.Sep2016	NU.24.DeMMO1.D1.wool.Sep2016	NU.15.DeMMO1.Steri.120715	NU.01.DeMMO1.Steri.1.092016	NU.46.DeMMO3.D1.3mmPyrex.Sep2016	NU.47.DeMMO3.D1.5mmPyrex.Sep2016	NU.14.DeMMO1.Steri.1.120916	NU.38.DeMMO6.D1.3mmPyrex.Sep2016	NU.20.DeMMO6.Steri.120815	NU.27.DeMMO1.D1.5mmPyrex.Sep2016	34.DeMMO3.T11.bottom.051117	9.DeMMO3.Steri.051117	25.DuselD.T9.bottom.082917	26.DeMMO3.T7.bottom.051117	11.DeMMO3.T2.bottom.083017	25.DeMMO3.T7.top.051117	22.DuselD.T8.top.082917	17.DeMMO3.T5.bottom.083017	24.DeMMO6.T6.bottom.051017	7.DeMMO1.Steri.050917	16.DeMMO3.T5.top.083017	27.DuselD.T10.bottom.082917	5.DeMMO6.Steri.021415	1.DeMMO1.steri.083117	28.DeMMO3.T8.bottom.051117	27.DeMMO3.T8.top.051117	24.DuselD.T9.top.082917	36.DeMMO3.T12.bottom.051117	32.DeMMO3.T10.bottom.051117	16.DeMMO6.T2.bottom.051017	10.DeMMO3.T2.top.083017	23.DuselD.T8.bottom.082917	18.DuselD.T6.top.082917	13.DeMMO6.T1.top.051017	15.DeMMO3.T4.bottom.083017	1.DeMMO1.Steri.021517	30.DeMMO3.T9.bottom.051117	21.DuselD.T7.bottom.082917	6.DeMMO3.Steri.021517	3.DeMMO3.steri.083117	12.DeMMO6.Steri#2.051017	6.DeMMO6.steri.082917	26.DuselD.T10.top.082917	33.DeMMO3.T11.top.051117	9.DeMMO3.T1.bottom.083017	12.DeMMO3.T3.top.083017	19.DeMMO6.T4.top.051017	17.DeMMO6.T3.top.051017	20.DuselD.T7.top.082917	7.DuselD.steri.082917	22.DeMMO6.T5.bottom.051017	14.DeMMO3.T4.top.083017	20.DeMMO6.T4.bottom.051017	15.DeMMO6.T2.top.051017	18.DeMMO6.T3.bottom.051017	21.DeMMO6.T5.top.051017	29.DeMMO3.T9.top.051117	14.DeMMO6.T1.bottom.051017	19.DuselD.T6.bottom.082917	31.DeMMO3.T10.top.051117	13.DeMMO3.T3.bottom.083017	35.DeMMO3.T12.top.051117	8.DeMMO3.T1.top.083017	27.24790.AfterPacker.051616	30.DuselB.050416	34.4100L.DrillFluid.051716	18.10dash1.051816	32.DuselB.051916	14.24790.AfterDrilling.050516	15.24790.DitchFluid.050516	28.24790.071216	19.10dash1.071116	33.DuselB.071316	16.10dash1.050216	26.DeMMO1.SC1.top.041818	31.DeMMO1.SC7.top.041818	52.DeMMO3.B.top.041718	14.DeMMO3.steri.041718	53.DeMMO3.C.top.041718	56.DeMMO3.F.top.041718	30.DeMMO1.SC5.top.041818	41.DeMMO3.3.top.041718	22.DeMMO1.C.top.041818	21.DeMMO1.B.top.041818	42.DeMMO3.4.top.041718	18.800.DitchFluid.041818	55.DeMMO3.E.top.041718	47.DeMMO1.9.top.041818	54.DeMMO3.D.top.041718	34.DeMMO1.SC10.top.041818	20.DeMMO1.A.top.041818	45.DeMMO1.7.top.041818	40.DeMMO3.2.top.041718	43.DeMMO3.5.top.041718	1.DeMMO1.steri.113017	29.DeMMO1.SC4.top.041818	44.DeMMO3.6.top.041718	51.DeMMO3.A.top.041718	3.DeMMO3.steri.112717	12.DeMMO1.steri.041818	39.DeMMO3.1.top.041718	17.DeMMO6.041618	50.DeMMO1.12.top.041818	46.DeMMO1.8.top.041818	49.DeMMO1.11.top.041818	28.DeMMO1.SC3.top.041818	48.DeMMO1.10.top.041818	24.DeMMO1.E.top.041818	27.DeMMO1.SC2.top.041818	33.DeMMO1.SC9.top.041818	32.DeMMO1.SC8.top.041818	6.DeMMO6.steri.112817	23.DeMMO1.D.top.041818
alpha_rarefaction_500_0.txt	500	0	54.6544510546	110.696636325	52.1179641455	134.962674637	124.341511929	120.625199155	218.262562216	55.4677717869	64.1726140459	164.075101287	110.524987702	80.4291542567	192.219574308	84.3679933696	88.2851608795	94.5945406554	139.436003254	83.6034088539	85.1837195521	260.721735013	47.980851594	53.4677717869	72.1179641455	114.039456692	229.336398842	100.689908708	112.923215598	120.660866508	52.4647326847	105.593180791	85.6032006941	106.343681841	566.682103799	152.66357747	72.985247828	114.16429737	491.490677534	127.801759093	129.41407969	137.692292237	93.9499785007	133.830399134	91.7430247506	110.904425697	113.45707679	91.8730406547	99.2402355199	92.9623706717	621.293378363	122.093863281	116.759433366	248.999333979	206.836965591	119.573163872	87.1376418566	119.614561252	113.561945454	147.006155014	154.308220929	88.0952863453	125.072240438	113.250781732	200.542719476	95.8039622144	107.16429737	98.0120672566	125.404247912	93.9132514242	103.151828341	119.83576233	60.2954280685	101.629466868	104.979689223	76.9822515309	103.494157515	103.492006092	161.24141263	46.4466420101	236.689999395	406.309110952	51.6874433918	199.353598059	718.468482833	167.372361981	324.468728897	36.4432972238	205.574054376	38.8854358528	41.4963668014	134.876436794	210.840395434	188.025754312	121.569514616	130.391975955	153.66357747	173.552260171	185.822573311	116.479206078	828.363737704	152.057375548	154.605433632	142.760169671	48.9928900055	139.015634781	123.534181316	153.470570621	89.5080989366	426.85939347	160.74122993	135.753755422	122.723949608	216.546030346	478.945040834	143.691161526	102.981470328	196.889729881	129.981751794	128.29422653	134.284881671	131.910926937	226.109264639	122.093863281	106.110679881	66.4085563273	63.2419049132	189.209869517
alpha_rarefaction_500_1.txt	500	1	49.4647326847	116.034900644	67.6226849403	90.0216413417	121.467086624	132.614229306	162.137888575	60.6853223253	88.3632608715	175.909769054	91.6694614921	87.7424926474	167.180106582	69.4214526477	123.150555991	88.7697736122	145.358427492	96.0182976735	89.9461914669	232.545933764	53.6898914282	41.2969230767	69.8900072588	132.971731346	198.565999769	116.475666663	114.782643187	95.1420065087	47.1803471954	91.6193967942	115.250781732	130.29220755	557.791992321	170.730333491	91.9383398451	102.229587739	494.699731905	122.278668367	111.380627946	113.198388793	134.176529564	133.018074001	121.176299633	108.375515338	125.981751794	76.8158225326	77.7430247506	111.135377451	537.443606353	126.643265476	104.759523568	359.005723403	205.326575466	66.4677717869	103.941090372	96.4294278872	105.681058505	85.9276468321	161.947247214	77.5648544774	93.0923544896	111.569514616	166.643626396	123.231782885	100.625213594	86.830859445	105.976724563	102.982866855	98.1376418566	145.141274022	80.5945406554	113.615088704	126.105057526	148.091005441	107.625213594	117.420320104	147.367616373	65.0293488192	223.472585703	323.890791375	77.2643943983	184.693914533	590.309114518	152.314031098	392.730931297	44.4997333369	184.296401034	73.1208820767	34.703423229	171.984225202	265.875491084	133.726897421	100.176262767	123.626621013	119.292056818	139.250144757	165.174379304	121.845868432	670.9316476	206.873945366	167.497964842	153.002327776	64.2643943983	110.994220528	96.2295877395	120.423686746	98.750971479	495.722714419	142.105921142	128.148010864	152.97289522	195.888765965	570.362018294	153.583279344	109.165323536	169.172049645	114.03971899	96.2352321985	189.461006855	142.881214093	169.353932603	122.008282588	125.018074001	53.4172227675	74.6852490863	162.268858138
alpha_rarefaction_500_2.txt	500	2	39.2969230767	98.6252135935	74.0105775375	90.0216413417	121.430365675	112.163287299	223.552887968	48.0451319366	68.6853223253	153.675232342	110.616072218	95.5249877021	139.308220929	85.3791904864	87.3815030182	100.731801509	139.135377451	69.8781051169	101.292845099	267.890870482	60.0616950751	47.6730934394	70.1833070519	113.793695496	178.08029361	108.275007364	105.500142304	90.0105775375	58.0293488192	95.4687434032	97.3214652587	119.873335926	576.966829834	163.983307561	90.9849616915	122.096760471	532.472524421	126.44446491	119.285631947	98.1771624487	97.1070431164	113.110679881	94.9276468321	146.308573628	120.278668367	81.3592592205	91.3632608715	95.9476516295	443.136674136	128.640904587	98.1103533378	315.60308298	184.831155905	83.9898233037	144.780263321	101.282408689	115.231782885	106.24023552	144.151113297	104.144537793	112.121649155	109.615088704	281.178204381	111.886610866	108.16429737	68.9939628707	98.6343656594	117.430012309	93.6159341044	129.008282588	101.783643267	86.1376418566	124.162859725	83.5811899162	138.494643836	138.711921744	164.04292796	54.113505558	177.078009835	387.610979333	55.0743816963	172.839530539	592.947871581	162.075101287	369.679255174	61.0484959299	245.800090151	58.6853223253	58.8009622619	160.241788978	217.269604315	128.278668367	112.235232198	119.58465415	135.325607196	132.66357747	188.9743899	136.939795364	740.707238827	146.910926937	184.388412744	162.413754633	42.040647959	145.996099137	161.649807241	142.416218555	96.7430247506	389.691585479	223.109264639	151.057375548	143.626621013	178.320647142	450.250077445	154.398180442	120.615088704	156.684952459	98.1976668359	121.162859725	186.759662407	113.012405525	176.267283004	169.210583034	113.034900644	30.2572728179	68.2959564758	173.302754578
alpha_rarefaction_500_3.txt	500	3	41.9936424491	85.9228109419	71.4738110118	63.4172227675	104.723949608	147.372503769	168.434173429	56.6611727183	72.3944482394	126.801759093	108.431558374	76.0772961018	147.060972392	64.6301451561	77.2068019153	103.728084958	132.77063913	90.3414080369	84.0471474198	258.798298181	51.1501046183	50.2919579224	65.1501046183	112.310997041	219.568016306	123.341511929	117.664215424	103.341408037	59.2574615503	78.7558210523	102.341408037	113.456575244	536.792074919	155.615066924	98.5619454537	109.664215424	571.663960447	113.410508398	118.189661013	105.278668367	152.012312897	126.836287988	92.4950407254	114.759523568	133.442087176	84.5420420066	71.8873305541	96.6819010752	417.98590586	128.341511929	147.012312897	286.708477288	184.719394803	120.625199155	112.341408037	105.681901075	141.975401697	112.360778769	137.752038008	85.9632975942	106.660929056	104.793695496	231.843225066	110.11543092	124.343488026	81.766318305	131.614229306	95.1051086417	104.486102539	123.347066707	85.0075826427	133.407906885	104.910066988	127.43300138	114.460709408	122.45707679	135.439394336	52.974312287	233.082189451	447.070503726	59.2419049132	197.526529792	595.31398211	141.072528325	332.927054836	39.3484117183	194.519490499	41.0574363502	47.0299174876	178.649807241	210.729970962	177.643169739	118.279027561	128.967437249	131.948611988	218.960027249	155.675232342	129.006659983	899.95013183	165.137888575	187.143671454	147.537713841	39.2632639853	111.615088704	122.398180442	149.882795283	92.1103533378	424.370248825	140.039285925	124.292845099	127.41407969	235.015179997	565.352222476	162.626764679	90.7558210523	136.29422653	133.561317393	122.081865255	166.715571747	144.97289522	210.265024037	137.975401697	98.347363798	77.1412982523	57.4647326847	193.840395434
alpha_rarefaction_500_4.txt	500	4	63.4749012508	109.696636325	64.2804320374	55.1565936472	105.292845099	112.467086624	141.777691486	68.4300847067	68.1566523844	183.007348295	89.9040717154	82.9541168455	146.002327776	90.2154270906	101.068819765	94.6201193608	141.689643064	74.4738110118	88.9461914669	241.909122132	52.1726140459	38.4066217393	73.0627126881	113.865153343	227.098986649	134.967437249	120.148010864	112.857040332	55.8714474548	111.430012309	105.926100413	116.16429737	633.100687467	155.680452188	105.563559625	94.8879867297	741.283496204	121.576490069	125.894979086	142.232005233	102.524987702	117.939795364	101.285160879	112.625213594	170.643169739	83.5420420066	61.2419049132	135.176529564	482.796204502	115.163287299	145.90742821	242.364268931	198.569601121	91.9077860425	105.420385783	110.431558374	105.660929056	92.6034088539	137.416218555	97.0415623056	109.929671976	108.873335926	202.692999321	129.241436244	89.9228109419	92.4192760746	87.7599299883	105.235232198	90.5778610015	153.314031098	63.5004248293	112.231782885	99.2446273025	87.0120672566	127.198388793	144.054485853	151.089040823	54.0490166531	207.209869517	340.732249757	49.4997333369	182.506067305	641.686064027	132.087569455	306.087775913	60.4214526477	223.415496449	60.0022192154	46.2266776202	145.92862761	212.301468121	122.759433366	125.753755422	131.138282039	152.452675066	182.9743899	195.969906889	126.134937876	641.365211844	181.703648426	184.388412744	176.044110314	35.1205489533	130.176529564	121.048923891	128.837557906	93.5170283439	479.291810388	173.453632106	146.196919124	129.475666663	208.460834024	428.710377315	170.06206508	115.024699961	235.54374829	109.177162449	115.318837453	166.297548687	140.946190099	169.210583034	121.491986513	122.800202897	49.6898914282	63.2136321249	258.45417404
alpha_rarefaction_500_5.txt	500	5	45.335637176	126.018074001	60.2419049132	53.4758080006	116.460709408	92.4203857828	134.286546123	66.0180814583	71.3183280298	202.900339454	91.0142456367	93.3436818409	127.760169671	71.3944482394	90.3214652587	83.1179641455	139.612607103	95.2402355199	82.7558210523	228.902631067	49.9881182508	47.4963668014	63.5720262635	151.012312897	190.819089219	97.7544640214	119.759433366	91.6193967942	54.9881182508	91.1070431164	95.6193967942	102.625213594	516.986446959	146.469688362	96.9767245628	112.696636325	539.610008473	115.865153343	169.372503769	119.041185011	106.965981105	188.259314291	94.2931654377	123.723165425	122.197447087	94.7544640214	79.8873305541	96.9623706717	484.969968877	118.205779348	121.78945461	238.475377682	181.368780628	69.3297882012	100.034649151	104.172392251	149.875861708	95.2295877395	162.389355418	93.9461914669	100.105108642	105.850643975	212.285220476	109.715993339	135.749002366	88.8039622144	120.162859725	95.6193967942	111.886610866	131.430012309	74.2959564758	101.72478757	109.759523568	105.689908708	110.16429737	156.060972392	136.170987579	57.6898914282	191.46482656	370.809677629	50.1833070519	180.788988561	639.450729592	166.788988561	368.540348228	47.5954650118	242.145787356	45.1833070519	64.710526767	156.615066924	211.044181572	166.626217716	127.105057526	101.433610405	118.01032045	201.626717546	214.689999395	118.704753865	667.17688732	170.730333491	169.46482656	169.769479209	46.0299174876	123.561317393	186.19963734	144.273349495	135.614229306	522.8199877	147.423255833	129.087585346	108.783134628	244.261697662	434.781610167	151.209402167	128.176299633	125.408144887	100.110353338	103.696636325	225.482660701	164.181041141	188.162881417	125.643265476	140.241788978	114.407851129	63.110203151	191.327803668
alpha_rarefaction_500_6.txt	500	6	52.9992818062	111.763911916	65.3944482394	67.2170855286	123.343488026	106.110679881	133.205963231	58.0616950751	67.110203151	179.368475873	118.865153343	84.6201193608	145.615066924	57.4647326847	91.8283546056	103.445048207	145.406725603	89.292845099	84.1755659692	267.823754407	58.1493864936	42.5774112092	73.6544510546	112.460709408	227.322851236	98.689908708	120.16429737	112.522833303	47.2960222854	89.3170048808	75.8376797486	95.7599299883	669.242652374	123.164039714	120.747237579	98.3815030182	556.331013467	112.681058505	111.420385783	117.21564793	101.380627946	119.250781732	111.696636325	100.517028344	129.777691486	81.7280849585	89.7831346279	113.872442384	522.326589604	110.231782885	83.6921446282	235.069039268	224.608539692	93.431558374	119.931812657	113.500142304	93.9814703284	96.2795528893	146.812040843	91.3437134286	105.105108642	107.489067741	198.508518314	121.452997054	85.0180814583	85.9898233037	95.4687434032	111.068819765	98.4067967848	120.489067741	76.6110178651	133.091293346	86.6110178651	93.1481093815	137.970911373	134.008282588	112.006659983	63.5155174974	166.035940319	374.64899832	54.2960222854	181.899338603	710.438226942	139.350814366	365.565107903	40.4191931831	208.313051551	52.1726140459	46.396838125	164.684952459	191.926006439	154.391975955	98.9499785007	138.367616373	137.868577988	157.252393538	225.628794408	116.431816816	929.453743878	141.308882031	224.122206888	162.204424696	46.6898914282	134.196919124	123.008282588	133.59642529	108.506058808	540.721434576	136.747191818	152.39887883	123.279027561	209.900339454	375.947843546	144.748824981	126.658212991	191.836965591	135.176529564	111.736962041	213.506629603	189.78480417	140.652213728	115.163287299	119.008282588	49.0627126881	60.038139895	174.210583034
alpha_rarefaction_500_7.txt	500	7	50.6898914282	125.800202897	75.6034088539	64.110203151	128.981751794	101.204208705	149.164086259	57.0743816963	65.3455149022	161.203966926	134.041185011	79.6110178651	166.27830902	68.2959564758	103.093011796	102.921282609	138.977796299	96.9767245628	96.7831346279	270.300637878	69.4056007906	50.1833070519	65.5720262635	109.759523568	212.206378454	75.6694614921	130.430012309	110.615088704	66.6852490863	84.797765915	119.381773118	111.994220528	528.375665091	167.201049909	70.2080469419	100.144537793	537.909447049	113.285631947	117.460709408	161.643169739	145.002327776	131.711921744	92.2241737277	121.939795364	142.729217508	76.7318015088	69.5768044952	98.0585160754	449.209080375	107.259439028	127.109917427	250.271369559	201.742137617	114.997350223	98.1070431164	104.66453567	119.467086624	133.391975955	124.222715794	92.0800733133	98.8751360511	98.347363798	226.050140521	110.957154463	96.5420420066	98.750971479	87.3061500955	113.563559625	95.4984671361	122.569514616	75.5592437334	104.957154463	113.754464021	115.418168152	138.441072042	122.939795364	136.975401697	65.4214526477	276.044033652	373.081613907	56.2136321249	181.203713484	617.904961863	199.088996235	331.033828224	49.1833070519	234.911920697	45.963288682	43.5926450548	147.534181316	207.502825043	139.341511929	130.430012309	131.722737192	138.960733315	155.015607909	169.470511081	124.259439028	845.68259045	219.498197715	237.700138412	149.341511929	56.8111990319	140.122434553	128.971731346	163.462985004	95.1103533378	433.211075041	164.27830902	137.197447087	134.041185011	200.956658764	520.383669173	155.752038008	93.5571517404	158.10801859	126.78945461	88.500142304	182.938386524	148.241788978	153.018243104	109.189661013	125.856569526	32.1044151588	58.038139895	202.461006855
alpha_rarefaction_500_8.txt	500	8	52.0327141051	100.625213594	58.1493864936	51.0574363502	127.521534005	161.703648426	157.643626396	65.6618163123	64.0952863453	149.284881671	114.754464021	110.433610405	145.537895707	78.9212826089	101.634987563	94.5080989366	128.962426167	80.6034088539	83.791560528	239.580487644	67.0903668462	47.0574363502	75.0865898241	115.873335926	261.244950342	85.6819010752	148.039285925	103.984961692	64.6852490863	80.774918148	124.201145521	106.660929056	587.288415984	153.881214093	76.9814703284	109.235232198	611.21076072	110.259439028	112.782643187	106.360778769	109.235232198	120.205779348	95.3170048808	111.741329279	155.018243104	72.4517247782	73.791560528	120.096760471	426.278459239	117.333844687	175.997738697	258.669266257	215.32102617	81.0415623056	94.7430247506	113.704753865	122.809682119	136.294582138	142.886956289	81.1899533299	97.3604289179	98.347363798	236.644167538	133.549410843	87.4451950859	88.4738110118	102.343681841	99.431558374	105.30939445	157.089040823	61.8640716331	82.4300847067	113.456575244	79.5592437334	112.163287299	129.398180442	125.29220755	57.9881182508	216.576688649	382.586033	42.3468464273	205.889729881	536.557158725	137.452675066	308.826334431	48.7609232797	233.352793554	63.8009622619	58.6852490863	164.684952459	231.878898695	145.29422653	119.452997054	95.6007503725	147.88879165	170.383512747	196.078677356	130.460709408	793.15709363	181.470511081	144.675232342	192.661496562	54.9530108942	171.150029019	113.746705981	151.777691486	99.2446273025	543.833340281	121.197447087	144.308882031	122.333844687	203.498470254	444.289774575	150.872931306	136.79631174	174.119899062	112.039456692	153.949268619	203.218607897	176.35824548	175.560733771	180.60342052	131.626621013	49.7415555707	63.0622548748	219.316053658
alpha_rarefaction_500_9.txt	500	9	46.5926450548	114.250781732	104.836287988	59.9992818062	126.286546123	129.971731346	152.153570476	78.8620048877	93.3679933696	162.999084338	107.929671976	89.1762627674	152.138515634	64.6544510546	106.426604066	100.1300656	140.565194592	71.4738110118	88.7599299883	253.232276064	46.980851594	55.7415555707	74.4172227675	92.9136209859	193.890913634	118.404247912	133.534181316	84.9276468321	61.4127652522	94.7831346279	95.5249877021	139.970911373	509.712091062	168.195208285	73.5434596556	135.018074001	536.748442935	129.613512788	124.669055338	88.750971479	129.970911373	111.189661013	109.696636325	158.919557407	132.057375548	80.9541168455	83.4950407254	99.3436818409	463.492753814	163.630243905	143.90742821	261.068132256	183.917833222	102.611502076	119.489067741	122.782643187	99.1762627674	128.747237579	133.32383049	93.1370170986	102.913251424	120.209560024	183.739949239	118.452997054	98.1061879134	110.745743655	113.205779348	95.1518283405	99.9136209859	138.711921744	74.2804320374	107.746705981	142.29422653	149.164935247	96.640343522	117.614561252	157.434173429	45.1062804848	165.137888575	388.589284211	64.0484959299	141.699994888	611.556285691	138.500272799	286.507638741	36.6744604953	198.890667473	70.710526767	36.721583732	147.987674075	213.877019426	152.729217508	104.317004881	89.8730406547	163.643626396	170.497964842	163.434173429	150.117023181	667.572955433	162.314031098	144.314031098	165.089040823	45.2352070232	130.341511929	135.141274022	135.42891262	111.006659983	462.948895991	152.075101287	137.012405525	138.109917427	202.498470254	405.205293044	159.752038008	114.375515338	187.720962121	105.235232198	112.658212991	160.5512188	149.195208285	200.333791591	165.630243905	98.5249877021	59.6852490863	55.6874433918	236.322554702
