,sequences per sample,iteration,NU.39.DeMMO6.5mmPyrex.Sep2016,NU.18.DeMMO3.Steri.Dec2015,NU.25.DeMMO1.D1.sand.Sep2016,NU.54.4800.D1.SlideBlank.Sep2016,NU.44.DeMMO3.D1.wool.Sep2016,NU.45.DeMMO3.D1.sand.Sep2016,NU.48.800.D1.SlideBlank.Sep2016,NU.03.DeMMO6.Steri.2.092316,NU.37.DeMMO6.D1.sand.Sep2016,NU.05.DeMMO3.Steri.2.092116,NU.11.DeMMO6.Steri.2.120716,NU.26.DeMMO1.D1.3mmPyrex.Sep2016,NU.12.DeMMO3.Steri.1.120816,NU.36.DeMMO6.D1.wool.Sep2016,NU.24.DeMMO1.D1.wool.Sep2016,NU.15.DeMMO1.Steri.120715,NU.01.DeMMO1.Steri.1.092016,NU.46.DeMMO3.D1.3mmPyrex.Sep2016,NU.47.DeMMO3.D1.5mmPyrex.Sep2016,NU.14.DeMMO1.Steri.1.120916,NU.38.DeMMO6.D1.3mmPyrex.Sep2016,NU.20.DeMMO6.Steri.120815,NU.27.DeMMO1.D1.5mmPyrex.Sep2016,34.DeMMO3.T11.bottom.051117,9.DeMMO3.Steri.051117,25.DuselD.T9.bottom.082917,26.DeMMO3.T7.bottom.051117,11.DeMMO3.T2.bottom.083017,25.DeMMO3.T7.top.051117,22.DuselD.T8.top.082917,17.DeMMO3.T5.bottom.083017,24.DeMMO6.T6.bottom.051017,7.DeMMO1.Steri.050917,16.DeMMO3.T5.top.083017,27.DuselD.T10.bottom.082917,5.DeMMO6.Steri.021415,1.DeMMO1.steri.083117,28.DeMMO3.T8.bottom.051117,27.DeMMO3.T8.top.051117,24.DuselD.T9.top.082917,36.DeMMO3.T12.bottom.051117,32.DeMMO3.T10.bottom.051117,16.DeMMO6.T2.bottom.051017,10.DeMMO3.T2.top.083017,23.DuselD.T8.bottom.082917,18.DuselD.T6.top.082917,13.DeMMO6.T1.top.051017,15.DeMMO3.T4.bottom.083017,1.DeMMO1.Steri.021517,30.DeMMO3.T9.bottom.051117,21.DuselD.T7.bottom.082917,6.DeMMO3.Steri.021517,3.DeMMO3.steri.083117,12.DeMMO6.Steri#2.051017,6.DeMMO6.steri.082917,26.DuselD.T10.top.082917,33.DeMMO3.T11.top.051117,9.DeMMO3.T1.bottom.083017,12.DeMMO3.T3.top.083017,19.DeMMO6.T4.top.051017,17.DeMMO6.T3.top.051017,20.DuselD.T7.top.082917,7.DuselD.steri.082917,22.DeMMO6.T5.bottom.051017,14.DeMMO3.T4.top.083017,20.DeMMO6.T4.bottom.051017,15.DeMMO6.T2.top.051017,18.DeMMO6.T3.bottom.051017,21.DeMMO6.T5.top.051017,29.DeMMO3.T9.top.051117,14.DeMMO6.T1.bottom.051017,19.DuselD.T6.bottom.082917,31.DeMMO3.T10.top.051117,13.DeMMO3.T3.bottom.083017,35.DeMMO3.T12.top.051117,8.DeMMO3.T1.top.083017,27.24790.AfterPacker.051616,30.DuselB.050416,34.4100L.DrillFluid.051716,18.10dash1.051816,32.DuselB.051916,14.24790.AfterDrilling.050516,15.24790.DitchFluid.050516,28.24790.071216,19.10dash1.071116,33.DuselB.071316,16.10dash1.050216,26.DeMMO1.SC1.top.041818,31.DeMMO1.SC7.top.041818,52.DeMMO3.B.top.041718,14.DeMMO3.steri.041718,53.DeMMO3.C.top.041718,56.DeMMO3.F.top.041718,30.DeMMO1.SC5.top.041818,41.DeMMO3.3.top.041718,22.DeMMO1.C.top.041818,21.DeMMO1.B.top.041818,42.DeMMO3.4.top.041718,18.800.DitchFluid.041818,55.DeMMO3.E.top.041718,47.DeMMO1.9.top.041818,54.DeMMO3.D.top.041718,34.DeMMO1.SC10.top.041818,20.DeMMO1.A.top.041818,45.DeMMO1.7.top.041818,40.DeMMO3.2.top.041718,43.DeMMO3.5.top.041718,1.DeMMO1.steri.113017,29.DeMMO1.SC4.top.041818,44.DeMMO3.6.top.041718,51.DeMMO3.A.top.041718,3.DeMMO3.steri.112717,12.DeMMO1.steri.041818,39.DeMMO3.1.top.041718,17.DeMMO6.041618,50.DeMMO1.12.top.041818,46.DeMMO1.8.top.041818,49.DeMMO1.11.top.041818,28.DeMMO1.SC3.top.041818,48.DeMMO1.10.top.041818,24.DeMMO1.E.top.041818,27.DeMMO1.SC2.top.041818,33.DeMMO1.SC9.top.041818,32.DeMMO1.SC8.top.041818,6.DeMMO6.steri.112817,23.DeMMO1.D.top.041818
alpha_rarefaction_500_0.txt,500,0,3.428276388,4.249408115,2.731380843,3.623234161,4.385531795,3.417582973,5.371178319,2.820598265,4.041115908,5.079920255,5.089971797,3.483157286,4.258761146,3.916891922,3.638795791,4.972277276,5.963302839,2.544659681,3.826459636,6.817238311,3.527700587,3.149390159,4.21054517,4.760405103,5.335724394,4.192614293,5.224741034,4.010858526,2.511734566,3.951448402,4.22569813,4.941793903,7.327988275,5.868821597,3.10970815,4.925187364,7.204125778,5.389852341,5.238932017,4.009096707,4.727419047,4.975245896,4.460275929,5.017471758,4.823215402,3.382022212,3.152700902,4.604707493,7.072137487,4.314742781,4.811048718,6.366858146,5.800085415,4.320957501,4.94589611,5.078787106,4.964440129,4.128522743,5.517358707,5.086240246,5.074208621,4.444244974,5.560531755,4.999507969,4.890507318,4.306845155,4.59530265,4.675638087,4.884989332,5.213173175,3.582727556,4.573707826,4.706348585,3.723988539,5.004587918,5.206439016,4.561047294,3.257097305,5.865945778,6.43328868,3.079015854,5.59747112,7.43063546,5.09334742,6.78235353,2.540141701,5.907903745,2.946141376,2.002123578,5.296050771,5.941977475,5.478737241,4.986359644,3.644111865,5.467077477,4.64792768,4.992154692,5.556557105,7.864768988,5.537549108,4.452986977,5.554227912,1.541757401,4.775370373,4.557809844,5.688838574,4.666263412,6.857678115,4.428648345,5.814527103,5.320435492,5.704631479,6.549061638,6.092351024,5.247212584,5.207586949,4.726856265,4.440547743,3.978283211,4.738548173,5.001456178,4.751249258,4.395782992,2.128824994,3.79746463,4.969163899
alpha_rarefaction_500_1.txt,500,1,3.577582825,4.175832271,2.983922269,3.77408654,4.610331974,3.509067199,5.499608327,2.684961185,3.939105769,5.057686062,4.884739087,3.471192983,4.372642961,4.033654477,3.851045077,4.96508849,6.120489019,2.895805909,3.765782445,6.754683168,3.398503271,3.060746997,4.267381872,4.525760729,5.195099153,4.25409306,5.275615908,4.139859319,2.310464428,3.984130288,4.421569776,4.856308972,7.41661116,5.945516974,3.211279102,4.850452066,7.303640045,5.304686306,5.276704898,4.00318789,4.941185296,5.014752501,4.650248605,5.165600989,4.615880461,3.338686169,3.161857173,4.720116151,7.058806762,4.505900384,4.696383217,6.358757547,5.719661217,4.359361757,4.885250524,5.136714048,5.008140056,4.038324445,5.40276219,4.716866026,4.966213658,4.325344776,5.572801769,5.233986251,4.777636211,4.44234565,4.4344381,4.678127562,4.9151505,5.302936177,3.683969185,4.527094339,4.787817584,3.727480187,5.103131329,5.329107859,4.568337549,3.480807453,5.694077079,6.631368372,3.063002668,5.637719946,7.403820546,5.216309263,6.878869579,2.692944881,5.546021383,3.004865115,2.032554316,5.395879457,6.190434318,5.341756964,4.848129546,3.56419462,5.489183261,4.94962984,5.079158652,5.674958607,7.883862596,5.704325228,4.789937183,5.43849955,1.554948041,4.760780018,4.398740243,5.717489986,4.452564505,6.760838619,4.600593269,5.795548087,5.06069664,5.670964974,6.711854241,6.110229122,5.37728684,4.841899627,4.76489845,4.340353014,4.296997777,4.689307653,4.875222357,4.774511043,4.42626211,2.206241015,3.96207296,4.775417661
alpha_rarefaction_500_2.txt,500,2,3.394086481,4.008094939,2.951422777,3.755323488,4.581257799,3.488433434,5.443613413,2.639367673,3.971430368,4.997194959,4.940733678,3.579084847,4.410899824,4.206672717,3.773494551,5.001780464,6.082763651,2.326726096,3.779441057,6.835491207,3.643018442,3.314885061,4.277723893,4.487276824,5.299668284,4.133493117,5.180027698,4.031788108,2.423720512,4.040539374,4.391571996,4.931317735,7.385398229,5.921090903,3.394349578,5.042702754,7.511747287,5.414795713,5.412440613,3.985038816,4.79383368,4.917516484,4.566528841,5.181321636,5.037880202,3.413677881,3.293265513,4.729719666,7.251888892,4.612935658,4.772603156,6.423076372,5.761943102,4.516532221,5.052396619,5.063323525,4.896532592,4.094763825,5.395415172,5.054465422,5.158061268,4.361943972,5.415811824,5.170584114,4.809164145,4.216208643,4.48798136,4.536967122,4.974413227,5.063979824,3.707074702,4.440292192,4.629391169,3.580940933,4.943426279,5.394505303,4.535588497,3.365777763,5.72895536,6.395443309,3.028417563,5.348711092,7.406382908,5.113689627,6.938709476,2.880337057,5.990924939,3.128985139,1.932059737,5.423112779,5.960891554,5.563414759,5.026445874,3.574944757,5.585951682,4.578750939,5.03470271,5.783140506,7.874328993,5.499011862,4.915419383,5.633193346,1.831480046,4.876116869,4.696621344,5.592140706,4.79575361,6.747522164,4.731303641,5.783612315,4.910431044,5.506965809,6.600893367,6.211079303,5.318266604,5.013787673,4.697483528,4.527543644,4.061584944,4.487247144,4.895813726,4.917258512,4.470799002,1.815399135,3.90552543,4.876092566
alpha_rarefaction_500_3.txt,500,3,3.214458992,3.970508281,3.126391369,3.471340414,4.549077726,3.626598701,5.234727224,2.642174109,4.149268301,4.946038865,5.141730976,3.690766191,4.064836609,3.825408464,3.572261971,5.05130629,6.156830097,2.402294038,3.459849289,6.807761641,3.391214746,3.377074769,3.995887274,4.611381083,5.383459492,4.40025601,5.447641334,4.044598699,2.42277079,3.91033618,4.355470331,4.823833534,7.305787502,5.864020518,3.51547646,4.934863821,7.297845626,5.364175564,5.269454724,4.233010488,4.950946309,5.082396682,4.490439132,5.286093686,4.954198883,3.299963842,3.028932414,4.688843485,7.163483424,4.363659193,4.691201482,6.345793478,5.720230796,4.528012889,5.192017264,5.115139312,5.12687542,4.234399549,5.368369679,5.089832915,4.870733118,4.298070432,5.554745878,5.193790827,4.954137102,4.134941036,4.56878901,4.61888734,5.164376141,5.324825759,3.909391816,4.393566479,4.721244872,3.738587181,5.101416412,5.469215005,4.599792318,3.374928714,5.787161471,6.416857291,3.025564345,5.323861473,7.478100211,4.983525052,6.769365997,2.722034668,5.88641042,2.999667215,1.835017192,5.531720793,5.973453231,5.259494424,4.904181336,3.557497383,5.600565712,4.690046018,5.002649699,5.609029473,7.936426064,5.644646634,4.675629258,5.734337467,1.669241112,4.67590307,4.729103588,5.649759433,4.468881345,6.860634629,4.683962006,5.645141646,4.921705192,5.759641245,6.614775116,6.18614997,5.063388774,4.700719193,4.85342549,4.339174099,4.153985899,4.992338756,4.775297147,4.902375239,4.359273098,2.03111988,3.915896116,5.102275688
alpha_rarefaction_500_4.txt,500,4,3.439135105,4.21422464,2.95764353,3.641182869,4.403901256,3.349554474,5.345731734,2.777229042,4.017258772,5.300540934,4.877855284,3.572204962,4.3489442,4.034231165,3.70196357,4.846398108,6.054645986,2.686624293,3.707530949,6.721707214,3.34363755,3.089079654,4.221572799,4.755051575,5.250391798,4.409606754,5.310624741,3.915686879,2.50939384,3.92828785,4.402327078,4.95908399,7.531803349,5.84585951,3.459553072,4.761802638,7.535851018,5.251869627,5.178585771,4.062124384,4.734985123,5.023233331,4.617663675,5.281421938,4.649946021,3.529641137,2.897513053,4.590435362,7.341921763,4.431301534,4.766212746,6.363298407,5.821008493,4.442154814,5.09920898,5.161397831,5.006214918,4.093084555,5.412167238,5.020761648,5.076572208,4.493199004,5.591018359,5.251695457,4.661703171,4.285449735,4.531737745,4.652236856,5.144569047,5.318322951,3.661639591,4.44150472,4.77278515,3.54926737,5.064302857,5.425477983,4.656891031,3.49049915,5.875441986,6.587668343,3.122859171,5.55315689,7.512101246,4.96318819,6.626966399,2.752943332,5.95837446,3.044011837,1.777235501,5.361104005,6.153273999,5.136817162,4.98753194,3.609102848,5.577811417,4.860371537,5.217256745,5.708651181,7.783129651,5.526582299,4.861676073,5.610330662,1.567617906,4.652106517,4.401215537,5.672368494,4.467033409,7.11261899,4.520511279,5.693405449,4.854817991,5.697951854,6.507188045,6.149483688,5.31593133,5.090325441,4.599693806,4.451945204,4.217740421,4.676157721,4.884855019,4.791870938,4.616034231,2.25433245,3.837981927,5.105423013
alpha_rarefaction_500_5.txt,500,5,3.447458535,4.008380901,3.095864525,3.675924286,4.763269199,3.155990104,5.234487064,2.897948083,4.126050071,5.237313924,4.953177903,3.674027803,4.200881327,4.026372987,3.91922211,4.788289994,6.011660765,2.549830012,3.679045179,6.815117291,3.498689798,3.077760847,4.170784875,4.679338713,5.304045933,4.263975505,5.265586271,3.985898292,2.576531413,4.032556598,4.312509081,4.826823295,7.432770985,5.928904155,3.298575038,4.816963148,7.360059924,5.213764607,5.402331942,3.976249371,4.808753435,5.125072411,4.489163296,5.142011734,4.739053904,3.603781151,3.538281905,4.643700913,7.172732593,4.431386513,4.760042855,6.515418383,5.791789155,4.392164281,4.940484075,5.056685956,5.051752745,4.200438914,5.597708576,4.980961622,4.933584796,4.480482068,5.598860801,5.168882777,4.835290181,4.22193908,4.566685229,4.497533694,5.002699965,5.266234651,3.918365807,4.493007961,4.888561961,3.850853769,4.980451274,5.43572246,4.456588156,3.453982597,5.801787652,6.385317955,3.026228309,5.522842866,7.320098517,5.069163765,6.708239759,2.922844636,5.873617745,2.955420323,2.052188501,5.341717371,5.9274491,5.48485297,4.861855597,3.575909425,5.405944416,4.808889692,4.780794367,5.663695297,7.77456488,5.621191641,4.775554631,5.819570675,1.642370669,4.664093123,4.635712172,5.72248033,4.558606041,6.910440699,4.706007407,5.720368923,4.803420851,5.596791704,6.518921639,6.139928597,5.286207014,4.770181105,4.855974342,4.380252201,4.096150793,4.469062022,4.965110615,4.996050775,4.503150442,2.212251742,3.789726212,4.885787103
alpha_rarefaction_500_6.txt,500,6,3.54463055,4.182065445,2.989944818,3.662261756,4.670709767,3.352953123,5.3522369,2.78169017,4.085136544,5.173582417,5.126417871,3.750457664,4.438407634,4.058600093,3.608105768,4.718573199,6.183804387,2.639531467,3.702252629,6.863730905,3.565445732,3.119816097,4.117055195,4.643253041,5.271112507,4.158065236,5.317526249,4.040843491,2.472616749,4.024841223,4.260045894,4.770625896,7.270042469,5.78076542,3.641004272,4.738577367,7.393723123,5.233040375,5.121596709,4.033968365,4.846844891,5.007520888,4.667228395,4.962600028,4.61421735,3.49306385,3.15265203,4.744774578,7.188927855,4.232622803,4.47717007,6.367936096,5.852505236,4.57762767,5.017535864,5.199258969,4.770974562,4.124771007,5.632490024,5.186922351,5.22200099,4.28237176,5.449320886,5.333059015,4.768663514,4.200025813,4.482350094,4.569541711,5.037427997,5.137398962,3.799335897,4.366598858,4.799813045,3.74927635,5.01313909,5.467920305,4.496906808,3.41678645,5.774995489,6.439320945,3.232865663,5.526038731,7.422873831,5.121480715,6.854822209,2.692805954,6.032327684,3.137243962,2.079865252,5.426562462,6.018597315,5.381651335,4.735916948,3.482783494,5.611396584,4.624602851,5.164698826,5.681950086,7.851918587,5.451324778,4.66772083,5.741098645,1.673459219,4.911704423,4.651011274,5.475278567,4.579427879,6.9412403,4.811043334,5.563361962,5.015634881,5.58008735,6.246019304,6.225739562,5.284804469,4.928909423,4.778159623,4.338719315,4.106599561,4.674510107,4.838718439,4.924220709,4.424780849,2.085376667,3.911320059,4.839245422
alpha_rarefaction_500_7.txt,500,7,3.363235387,4.355368657,2.74972499,3.57798276,4.572177629,3.358748144,5.285399707,2.672783165,4.146863831,4.965914093,4.765385339,3.588494528,4.085889953,4.022114018,3.896320615,4.823819398,6.128206025,2.553182244,3.555035281,6.864440445,3.471919096,3.115424864,4.447616903,4.757795289,5.376150777,4.313330886,5.130644123,4.164337647,2.49741438,3.967980403,4.312651567,4.79664804,7.263722102,5.995943839,3.384051385,4.841921679,7.375429132,5.318509191,5.126075184,4.071585505,5.106090419,5.060510265,4.445757456,5.158198032,4.599250063,3.416942585,3.113642229,4.648512668,7.264386333,4.441954378,4.664578571,6.222779874,5.925143408,4.451861716,4.993473679,5.219812513,4.941470645,4.115997522,5.350259517,5.060341422,5.108375083,4.263386311,5.539368019,5.152576526,4.732775977,4.275908233,4.669478491,4.602096443,5.096755582,5.113865331,3.690496539,4.4989894,4.957002849,3.674932715,5.123251869,5.318901242,4.42042311,3.350374822,5.921540736,6.494004035,2.826856334,5.260178094,7.397560378,5.020737749,6.67162386,2.663399348,5.869918631,3.086981878,1.888455451,5.452466151,6.045856444,5.398521744,4.911901525,3.396594048,5.647953921,4.735500079,4.834738613,5.811124999,7.838278763,5.575991429,4.940734133,5.61241283,1.899122653,4.758536848,4.546018505,5.612151568,4.611356157,6.747744321,4.692454949,5.675885039,4.681806257,5.655384937,6.666080968,6.136654915,5.159168514,4.838021185,4.738424823,4.201688679,3.990221029,4.90952122,4.943208216,4.729340645,4.584108709,1.686115528,3.81354127,5.16741424
alpha_rarefaction_500_8.txt,500,8,3.461045671,4.134989946,2.919588491,3.552522311,4.643552158,3.495840435,5.364084256,2.663413514,3.966197744,5.060826463,4.930201617,3.863332206,4.291187406,3.885639741,3.485974167,4.823792823,6.246485358,2.551337745,3.66255504,6.711047948,3.585921161,3.270584214,4.349297908,4.638757024,5.639918545,4.368381585,5.300065611,4.250223025,2.374216,3.993489852,4.420528442,4.809445061,7.271713463,5.722221664,3.2254762,4.904706123,7.437483917,5.269781363,5.161674154,4.043827803,4.985479426,5.048908939,4.566688392,5.157355245,4.847385751,3.464020413,3.247549857,4.671819232,7.039733311,4.46034313,4.74901655,6.454280562,5.989614122,4.284989076,4.96804247,5.103956384,5.13426966,4.23342776,5.687580622,5.094817583,5.166658081,4.327408334,5.486692534,5.24808273,4.865925525,4.24879627,4.685473922,4.812606731,5.080766422,5.187051386,3.664304253,4.394302055,4.851131591,3.737338442,4.845753067,5.354793399,4.616037273,3.517192762,5.707211442,6.196518189,3.130984467,5.463774837,7.338788737,4.949891148,6.751346917,2.905257763,5.746685026,3.051822903,2.002610289,5.438200282,5.943848954,5.447060582,5.061715398,3.484706555,5.692576407,4.575224891,4.774567646,5.681848323,7.788471431,5.512309792,4.698692954,5.701783576,1.56279162,4.738511991,4.678820324,5.594228562,4.709572914,6.948931507,4.643916074,5.75625015,5.016043545,5.619438406,6.542392529,6.093849837,5.53681406,5.11210719,4.784332726,4.403566723,4.446888307,4.71505017,4.745381719,4.854510182,4.429802605,2.125009338,4.025941199,4.933242058
alpha_rarefaction_500_9.txt,500,9,3.258930126,4.238075929,3.139080386,3.649094697,4.697700323,3.395115862,5.152787321,2.841801705,4.300050752,5.117250059,5.001887846,3.595234296,4.35397941,4.039687988,3.791371608,5.129116912,6.185579402,2.378481893,3.79818818,6.97535793,3.442720984,3.046789839,4.207571573,4.623046942,5.457433246,4.262121237,5.251023283,3.970573216,2.34323789,3.925408929,4.039122759,4.810410732,7.292032816,5.93297601,3.306428874,4.983209776,7.291496367,5.53157292,5.306020493,3.918228938,4.652590229,4.860754246,4.443948182,5.267841848,4.650907873,3.565493096,3.259512326,4.51290283,7.219550429,4.451701377,4.699388955,6.215213329,5.835338116,4.437308391,5.223569938,5.358806163,4.938253917,4.115242629,5.488722089,5.133357567,5.08570619,4.488961926,5.418155244,5.229899271,4.671564792,4.475295681,4.48456621,4.450536782,5.110176557,5.15101854,3.679454432,4.426144072,5.00572954,3.800166989,5.109409724,5.424312091,4.490358245,3.302043243,5.623860203,6.525489349,3.151838571,5.30050896,7.390766046,4.878201644,6.687347184,2.639602316,6.012278707,3.065931357,1.796571364,5.421718073,6.144508844,5.328124778,4.84801255,3.34962517,5.709168043,4.802829417,4.885474517,5.742639244,7.92291304,5.708635824,4.764102734,5.59533215,1.680509635,4.741462786,4.624391431,5.711852543,4.667796003,6.884364743,4.550101627,5.657014504,4.950876899,5.682675102,6.726255366,6.25487984,5.546789835,4.976542353,4.427376824,4.387722644,4.08909785,4.743182419,4.989865638,5.018572497,4.363679513,2.007833267,3.860592121,5.196044024
