	sequences per sample	iteration	NU.39.DeMMO6.5mmPyrex.Sep2016	NU.18.DeMMO3.Steri.Dec2015	NU.25.DeMMO1.D1.sand.Sep2016	NU.54.4800.D1.SlideBlank.Sep2016	NU.44.DeMMO3.D1.wool.Sep2016	NU.45.DeMMO3.D1.sand.Sep2016	NU.48.800.D1.SlideBlank.Sep2016	NU.03.DeMMO6.Steri.2.092316	NU.37.DeMMO6.D1.sand.Sep2016	NU.05.DeMMO3.Steri.2.092116	NU.11.DeMMO6.Steri.2.120716	NU.26.DeMMO1.D1.3mmPyrex.Sep2016	NU.12.DeMMO3.Steri.1.120816	NU.36.DeMMO6.D1.wool.Sep2016	NU.24.DeMMO1.D1.wool.Sep2016	NU.15.DeMMO1.Steri.120715	NU.01.DeMMO1.Steri.1.092016	NU.46.DeMMO3.D1.3mmPyrex.Sep2016	NU.47.DeMMO3.D1.5mmPyrex.Sep2016	NU.14.DeMMO1.Steri.1.120916	NU.38.DeMMO6.D1.3mmPyrex.Sep2016	NU.20.DeMMO6.Steri.120815	NU.27.DeMMO1.D1.5mmPyrex.Sep2016	34.DeMMO3.T11.bottom.051117	9.DeMMO3.Steri.051117	25.DuselD.T9.bottom.082917	26.DeMMO3.T7.bottom.051117	11.DeMMO3.T2.bottom.083017	25.DeMMO3.T7.top.051117	22.DuselD.T8.top.082917	17.DeMMO3.T5.bottom.083017	24.DeMMO6.T6.bottom.051017	7.DeMMO1.Steri.050917	16.DeMMO3.T5.top.083017	27.DuselD.T10.bottom.082917	5.DeMMO6.Steri.021415	1.DeMMO1.steri.083117	28.DeMMO3.T8.bottom.051117	27.DeMMO3.T8.top.051117	24.DuselD.T9.top.082917	36.DeMMO3.T12.bottom.051117	32.DeMMO3.T10.bottom.051117	16.DeMMO6.T2.bottom.051017	10.DeMMO3.T2.top.083017	23.DuselD.T8.bottom.082917	18.DuselD.T6.top.082917	13.DeMMO6.T1.top.051017	15.DeMMO3.T4.bottom.083017	1.DeMMO1.Steri.021517	30.DeMMO3.T9.bottom.051117	21.DuselD.T7.bottom.082917	6.DeMMO3.Steri.021517	3.DeMMO3.steri.083117	12.DeMMO6.Steri#2.051017	6.DeMMO6.steri.082917	26.DuselD.T10.top.082917	33.DeMMO3.T11.top.051117	9.DeMMO3.T1.bottom.083017	12.DeMMO3.T3.top.083017	19.DeMMO6.T4.top.051017	17.DeMMO6.T3.top.051017	20.DuselD.T7.top.082917	7.DuselD.steri.082917	22.DeMMO6.T5.bottom.051017	14.DeMMO3.T4.top.083017	20.DeMMO6.T4.bottom.051017	15.DeMMO6.T2.top.051017	18.DeMMO6.T3.bottom.051017	21.DeMMO6.T5.top.051017	29.DeMMO3.T9.top.051117	14.DeMMO6.T1.bottom.051017	19.DuselD.T6.bottom.082917	31.DeMMO3.T10.top.051117	13.DeMMO3.T3.bottom.083017	35.DeMMO3.T12.top.051117	8.DeMMO3.T1.top.083017	27.24790.AfterPacker.051616	30.DuselB.050416	34.4100L.DrillFluid.051716	18.10dash1.051816	32.DuselB.051916	14.24790.AfterDrilling.050516	15.24790.DitchFluid.050516	28.24790.071216	19.10dash1.071116	33.DuselB.071316	16.10dash1.050216	26.DeMMO1.SC1.top.041818	31.DeMMO1.SC7.top.041818	52.DeMMO3.B.top.041718	14.DeMMO3.steri.041718	53.DeMMO3.C.top.041718	56.DeMMO3.F.top.041718	30.DeMMO1.SC5.top.041818	41.DeMMO3.3.top.041718	22.DeMMO1.C.top.041818	21.DeMMO1.B.top.041818	42.DeMMO3.4.top.041718	18.800.DitchFluid.041818	55.DeMMO3.E.top.041718	47.DeMMO1.9.top.041818	54.DeMMO3.D.top.041718	34.DeMMO1.SC10.top.041818	20.DeMMO1.A.top.041818	45.DeMMO1.7.top.041818	40.DeMMO3.2.top.041718	43.DeMMO3.5.top.041718	1.DeMMO1.steri.113017	29.DeMMO1.SC4.top.041818	44.DeMMO3.6.top.041718	51.DeMMO3.A.top.041718	3.DeMMO3.steri.112717	12.DeMMO1.steri.041818	39.DeMMO3.1.top.041718	17.DeMMO6.041618	50.DeMMO1.12.top.041818	46.DeMMO1.8.top.041818	49.DeMMO1.11.top.041818	28.DeMMO1.SC3.top.041818	48.DeMMO1.10.top.041818	24.DeMMO1.E.top.041818	27.DeMMO1.SC2.top.041818	33.DeMMO1.SC9.top.041818	32.DeMMO1.SC8.top.041818	6.DeMMO6.steri.112817	23.DeMMO1.D.top.041818
alpha_rarefaction_500_0.txt	500	0	0.855568	0.855952	0.698072	0.817528	0.874424	0.688576	0.949368	0.71476	0.891288	0.913072	0.936208	0.772872	0.799816	0.888072	0.830264	0.91704	0.963992	0.523128	0.746056	0.981688	0.86152	0.782584	0.865952	0.892432	0.902616	0.888704	0.948632	0.822336	0.567752	0.854968	0.846056	0.919584	0.988184	0.974696	0.74124	0.929016	0.980648	0.955968	0.939464	0.856912	0.920136	0.934984	0.877704	0.936112	0.930048	0.765408	0.693256	0.888696	0.982272	0.841032	0.920144	0.9782	0.966832	0.905528	0.945096	0.924336	0.935416	0.829528	0.94936	0.936976	0.934984	0.898752	0.925096	0.943784	0.92948	0.841912	0.914984	0.910312	0.907608	0.941624	0.794256	0.893224	0.918728	0.755872	0.94044	0.948296	0.86488	0.760584	0.957696	0.954024	0.709744	0.934232	0.982192	0.931912	0.976736	0.625544	0.930088	0.757264	0.544944	0.935264	0.964192	0.955048	0.920104	0.75964	0.946368	0.873336	0.917392	0.962024	0.992592	0.95084	0.890008	0.946048	0.425704	0.924088	0.905968	0.956192	0.907672	0.972536	0.89056	0.971144	0.931128	0.955712	0.965424	0.975856	0.957456	0.925752	0.905024	0.900856	0.805056	0.919312	0.92256	0.917384	0.906832	0.551776	0.857112	0.90128
alpha_rarefaction_500_1.txt	500	1	0.870488	0.84996	0.710144	0.838568	0.892144	0.692864	0.955656	0.702104	0.877208	0.910224	0.918672	0.751216	0.813792	0.895376	0.847728	0.913672	0.96756	0.595224	0.747224	0.979344	0.843136	0.77908	0.873176	0.884928	0.911592	0.893744	0.94864	0.841232	0.539968	0.852792	0.863048	0.909824	0.98808	0.975104	0.745352	0.929288	0.98288	0.948888	0.947392	0.852112	0.929184	0.934776	0.901808	0.943856	0.912896	0.764992	0.693424	0.885656	0.984576	0.857408	0.921864	0.977248	0.965456	0.911184	0.944232	0.932728	0.94232	0.829088	0.938904	0.925664	0.933008	0.889896	0.937688	0.948848	0.922128	0.865904	0.907064	0.907552	0.91188	0.947464	0.763528	0.88776	0.917128	0.77376	0.942488	0.952504	0.886408	0.791336	0.946168	0.965424	0.696784	0.93724	0.98516	0.941032	0.978408	0.663336	0.91376	0.758176	0.524632	0.93036	0.969408	0.946104	0.9152	0.768288	0.949256	0.902408	0.931576	0.961832	0.993032	0.958032	0.910936	0.945144	0.386632	0.922856	0.892096	0.962216	0.890816	0.967168	0.898072	0.971192	0.908584	0.954736	0.972368	0.974728	0.960496	0.906168	0.908504	0.902224	0.8362	0.912384	0.926808	0.91992	0.905056	0.545344	0.880352	0.879848
alpha_rarefaction_500_2.txt	500	2	0.857152	0.821632	0.718184	0.836432	0.886808	0.672264	0.954024	0.6874	0.889904	0.912856	0.918448	0.7738	0.828048	0.90648	0.837032	0.908504	0.971024	0.492208	0.75536	0.981448	0.857056	0.805088	0.875392	0.868608	0.920632	0.875696	0.948504	0.811264	0.575568	0.849648	0.86952	0.911352	0.987376	0.974784	0.762208	0.938344	0.987688	0.951592	0.954616	0.859672	0.925192	0.93032	0.893584	0.94224	0.935904	0.763816	0.70536	0.8916	0.985784	0.873136	0.924072	0.979376	0.966456	0.913664	0.942032	0.923784	0.932712	0.839064	0.944456	0.93684	0.941072	0.886984	0.91884	0.948352	0.917096	0.851048	0.904056	0.902064	0.917832	0.934408	0.7824	0.883544	0.909896	0.737968	0.9412	0.95392	0.865512	0.7708	0.957064	0.951328	0.71424	0.9172	0.98292	0.93232	0.98236	0.68404	0.931824	0.776384	0.512592	0.940696	0.963184	0.957776	0.926	0.764104	0.951352	0.889336	0.92076	0.968768	0.992744	0.955344	0.914304	0.949408	0.449752	0.92772	0.911816	0.946336	0.916704	0.969448	0.907648	0.969608	0.90016	0.950464	0.963864	0.978376	0.958992	0.916104	0.89736	0.911296	0.818464	0.904264	0.913912	0.927624	0.914104	0.482816	0.866544	0.884264
alpha_rarefaction_500_3.txt	500	3	0.84188	0.827816	0.744024	0.811368	0.892656	0.709472	0.948096	0.6856	0.902184	0.904416	0.93588	0.797048	0.773152	0.886928	0.81736	0.919376	0.971896	0.487376	0.6866	0.979472	0.837576	0.807128	0.853696	0.891544	0.913888	0.897632	0.95656	0.806896	0.564864	0.845312	0.873736	0.911416	0.98708	0.971888	0.775064	0.931912	0.983704	0.957864	0.949216	0.874424	0.926152	0.945296	0.89688	0.951584	0.930016	0.735064	0.684768	0.896088	0.984792	0.85752	0.91476	0.976792	0.965008	0.913632	0.95332	0.925416	0.94168	0.842016	0.946808	0.944528	0.92548	0.893208	0.934592	0.950152	0.929256	0.842416	0.91676	0.90132	0.932536	0.947264	0.816944	0.877096	0.917528	0.742912	0.942368	0.95832	0.878632	0.771976	0.954872	0.95144	0.696224	0.918432	0.983152	0.93032	0.978952	0.65384	0.926672	0.776032	0.497488	0.946616	0.959648	0.946784	0.912176	0.77652	0.95432	0.881168	0.905592	0.961696	0.992808	0.958104	0.902824	0.956056	0.422216	0.920488	0.917144	0.953856	0.894032	0.97332	0.903056	0.965824	0.899256	0.961088	0.967848	0.977528	0.95256	0.910392	0.915288	0.904848	0.807152	0.934896	0.91868	0.92836	0.904216	0.509144	0.87268	0.910392
alpha_rarefaction_500_4.txt	500	4	0.853184	0.85444	0.723464	0.835288	0.884288	0.661488	0.952304	0.702264	0.886672	0.9258	0.92152	0.792896	0.797312	0.89472	0.839976	0.898952	0.96808	0.564664	0.743888	0.976896	0.84156	0.789536	0.872312	0.89704	0.906736	0.89968	0.949568	0.803264	0.575952	0.852808	0.865888	0.920072	0.989976	0.974728	0.753688	0.927096	0.987456	0.953168	0.940336	0.857616	0.922568	0.936768	0.902176	0.948008	0.914648	0.787536	0.664264	0.866632	0.988512	0.857096	0.91992	0.978488	0.966192	0.913016	0.947016	0.932136	0.931896	0.833904	0.943328	0.938368	0.938408	0.902184	0.938112	0.949664	0.913648	0.850848	0.90904	0.905056	0.937352	0.941128	0.78616	0.875648	0.923672	0.726064	0.936928	0.955856	0.882728	0.7864	0.9592	0.962912	0.71972	0.935664	0.984768	0.92552	0.97184	0.64992	0.929952	0.755632	0.482712	0.919808	0.967208	0.9362	0.90616	0.766016	0.945896	0.89932	0.930824	0.964376	0.9924	0.95464	0.906208	0.946232	0.418208	0.917184	0.900784	0.951696	0.893984	0.98	0.90448	0.966008	0.910664	0.957568	0.965256	0.97548	0.961008	0.925576	0.898264	0.905832	0.820128	0.91776	0.92672	0.9162	0.910784	0.570488	0.865432	0.897856
alpha_rarefaction_500_5.txt	500	5	0.858	0.825144	0.740496	0.839792	0.90228	0.637944	0.944432	0.723904	0.894144	0.92388	0.925448	0.780528	0.789952	0.891784	0.852008	0.895496	0.965296	0.538416	0.74424	0.98148	0.858752	0.783424	0.861808	0.890584	0.90848	0.896104	0.952152	0.824968	0.583512	0.852464	0.858816	0.920696	0.988312	0.975624	0.752912	0.930856	0.982624	0.948216	0.945496	0.85876	0.917624	0.93956	0.888752	0.940016	0.922088	0.787256	0.75932	0.883664	0.985664	0.858512	0.919104	0.979568	0.967504	0.910928	0.944632	0.922816	0.940008	0.832792	0.948312	0.941464	0.929128	0.90128	0.93148	0.95292	0.927856	0.83932	0.915344	0.900488	0.92464	0.948608	0.82544	0.891808	0.923496	0.760824	0.93576	0.953176	0.8662	0.789864	0.955944	0.95356	0.727184	0.9408	0.978888	0.929024	0.97488	0.689088	0.931504	0.761912	0.53816	0.920552	0.962368	0.957288	0.910576	0.772248	0.945376	0.886296	0.894792	0.964384	0.990952	0.953344	0.904256	0.958376	0.429208	0.918072	0.909576	0.956088	0.896072	0.974576	0.911232	0.967136	0.899816	0.953376	0.963912	0.976504	0.958504	0.911528	0.91704	0.907064	0.821312	0.905288	0.924016	0.935224	0.908336	0.5426	0.853872	0.885024
alpha_rarefaction_500_6.txt	500	6	0.865992	0.848736	0.7126	0.826672	0.892752	0.673848	0.951032	0.709456	0.895376	0.923712	0.927112	0.803216	0.813584	0.902048	0.82812	0.890016	0.96948	0.54644	0.730328	0.98184	0.860912	0.794936	0.865168	0.895272	0.904392	0.88596	0.950456	0.824048	0.576856	0.856312	0.849256	0.909816	0.986552	0.97296	0.79148	0.926128	0.98512	0.949928	0.93756	0.866128	0.927848	0.932008	0.903528	0.932664	0.915512	0.7852	0.691312	0.889928	0.984768	0.848832	0.912576	0.97916	0.96872	0.918448	0.943256	0.931952	0.927992	0.845304	0.956088	0.949184	0.94568	0.885792	0.919648	0.956528	0.917208	0.843128	0.906048	0.91444	0.92684	0.935992	0.801632	0.864584	0.928656	0.758472	0.936136	0.95852	0.867328	0.767192	0.954448	0.95456	0.742928	0.937216	0.983952	0.936544	0.98084	0.663552	0.946464	0.777128	0.524848	0.94028	0.966016	0.950048	0.896208	0.729232	0.956	0.883632	0.922608	0.965152	0.9924	0.949944	0.903672	0.960312	0.416136	0.926328	0.914256	0.940584	0.897256	0.97664	0.920416	0.961152	0.915008	0.95308	0.951752	0.978448	0.9562	0.919424	0.910096	0.901552	0.824064	0.909304	0.911472	0.935112	0.8964	0.544896	0.871208	0.895104
alpha_rarefaction_500_7.txt	500	7	0.855176	0.859232	0.694128	0.819896	0.880496	0.678416	0.946632	0.696856	0.895176	0.9124	0.903352	0.778616	0.769632	0.893984	0.850272	0.89668	0.970272	0.518032	0.711552	0.982352	0.844056	0.785288	0.89772	0.90124	0.916448	0.901856	0.945504	0.82572	0.569856	0.85188	0.853584	0.90428	0.985768	0.976224	0.756528	0.931184	0.983064	0.954728	0.942648	0.863984	0.933384	0.938072	0.89168	0.94192	0.92092	0.76072	0.680592	0.896048	0.98688	0.844368	0.91416	0.975184	0.971288	0.914384	0.946688	0.931136	0.933376	0.826016	0.94072	0.937584	0.936096	0.889592	0.925728	0.949832	0.914832	0.843808	0.916808	0.906936	0.925544	0.93896	0.792696	0.8822	0.925984	0.751168	0.937	0.952344	0.850704	0.760456	0.958504	0.960768	0.6602	0.925344	0.981312	0.927384	0.972112	0.63236	0.92804	0.768568	0.491944	0.93356	0.966096	0.954112	0.901192	0.730744	0.957344	0.896328	0.90736	0.96812	0.992448	0.953976	0.908664	0.950704	0.458944	0.923176	0.909072	0.952392	0.902232	0.968744	0.90552	0.964864	0.880104	0.954272	0.967816	0.976696	0.95464	0.908424	0.902816	0.8944	0.805136	0.928488	0.927832	0.915168	0.913992	0.44924	0.865368	0.915872
alpha_rarefaction_500_8.txt	500	8	0.858536	0.842408	0.718504	0.833696	0.904568	0.670056	0.949832	0.688248	0.888568	0.918424	0.919576	0.806824	0.799896	0.888912	0.814	0.898	0.978048	0.540752	0.729704	0.977392	0.858288	0.802088	0.874368	0.890584	0.930024	0.89668	0.950312	0.847976	0.551336	0.855208	0.866512	0.910936	0.986296	0.97164	0.7556	0.93264	0.984952	0.951632	0.942096	0.868072	0.93268	0.93872	0.899432	0.94176	0.922632	0.770696	0.7162	0.883472	0.98392	0.848288	0.918088	0.978944	0.97204	0.902592	0.941512	0.924128	0.945368	0.857192	0.953944	0.942488	0.942128	0.895872	0.924144	0.95072	0.929168	0.85084	0.911544	0.925032	0.924584	0.936864	0.796112	0.888048	0.922328	0.765624	0.9308	0.951344	0.887376	0.78484	0.950184	0.942528	0.734648	0.93252	0.980912	0.922896	0.978024	0.683536	0.928208	0.762216	0.522488	0.939208	0.958328	0.95684	0.928648	0.755232	0.957968	0.879424	0.904496	0.964696	0.991528	0.95176	0.907672	0.948992	0.391232	0.92464	0.917064	0.951232	0.91252	0.976464	0.899912	0.969832	0.910792	0.954736	0.966424	0.975984	0.962952	0.920392	0.90752	0.902944	0.859	0.912088	0.911352	0.92296	0.904312	0.544584	0.879712	0.889592
alpha_rarefaction_500_9.txt	500	9	0.846616	0.8536	0.736488	0.836008	0.895904	0.658208	0.940184	0.709072	0.90284	0.918872	0.925456	0.783608	0.802904	0.896208	0.846448	0.928512	0.97068	0.498088	0.752608	0.9844	0.848528	0.772696	0.871024	0.888248	0.92176	0.89332	0.94992	0.821376	0.535464	0.849512	0.824488	0.91472	0.986784	0.974752	0.749968	0.934528	0.98528	0.959752	0.943	0.859752	0.918904	0.921832	0.877248	0.944704	0.918016	0.785744	0.708168	0.884752	0.986824	0.857232	0.924664	0.974664	0.967592	0.914512	0.95232	0.938368	0.931768	0.811944	0.94284	0.93988	0.939096	0.902768	0.915056	0.951592	0.914032	0.867192	0.90052	0.884936	0.930664	0.937008	0.785048	0.884832	0.924376	0.75816	0.943648	0.954872	0.870168	0.775912	0.954848	0.95892	0.71188	0.927576	0.984104	0.922904	0.977392	0.646176	0.937744	0.764472	0.502592	0.935768	0.96804	0.95288	0.90064	0.768072	0.961304	0.888448	0.914816	0.964184	0.993744	0.960744	0.906936	0.953824	0.429088	0.917856	0.905816	0.95484	0.904408	0.973176	0.89396	0.965624	0.90304	0.9588	0.974568	0.97892	0.964512	0.910752	0.884824	0.904736	0.81948	0.915688	0.926736	0.929696	0.903192	0.4962	0.870952	0.905808
