,sequences per sample,iteration,NU.39.DeMMO6.5mmPyrex.Sep2016,NU.18.DeMMO3.Steri.Dec2015,NU.25.DeMMO1.D1.sand.Sep2016,NU.54.4800.D1.SlideBlank.Sep2016,NU.44.DeMMO3.D1.wool.Sep2016,NU.45.DeMMO3.D1.sand.Sep2016,NU.48.800.D1.SlideBlank.Sep2016,NU.03.DeMMO6.Steri.2.092316,NU.37.DeMMO6.D1.sand.Sep2016,NU.05.DeMMO3.Steri.2.092116,NU.11.DeMMO6.Steri.2.120716,NU.26.DeMMO1.D1.3mmPyrex.Sep2016,NU.12.DeMMO3.Steri.1.120816,NU.36.DeMMO6.D1.wool.Sep2016,NU.24.DeMMO1.D1.wool.Sep2016,NU.15.DeMMO1.Steri.120715,NU.01.DeMMO1.Steri.1.092016,NU.46.DeMMO3.D1.3mmPyrex.Sep2016,NU.47.DeMMO3.D1.5mmPyrex.Sep2016,NU.14.DeMMO1.Steri.1.120916,NU.38.DeMMO6.D1.3mmPyrex.Sep2016,NU.20.DeMMO6.Steri.120815,NU.27.DeMMO1.D1.5mmPyrex.Sep2016,34.DeMMO3.T11.bottom.051117,9.DeMMO3.Steri.051117,25.DuselD.T9.bottom.082917,26.DeMMO3.T7.bottom.051117,11.DeMMO3.T2.bottom.083017,25.DeMMO3.T7.top.051117,22.DuselD.T8.top.082917,17.DeMMO3.T5.bottom.083017,24.DeMMO6.T6.bottom.051017,7.DeMMO1.Steri.050917,16.DeMMO3.T5.top.083017,27.DuselD.T10.bottom.082917,5.DeMMO6.Steri.021415,1.DeMMO1.steri.083117,28.DeMMO3.T8.bottom.051117,27.DeMMO3.T8.top.051117,24.DuselD.T9.top.082917,36.DeMMO3.T12.bottom.051117,32.DeMMO3.T10.bottom.051117,16.DeMMO6.T2.bottom.051017,10.DeMMO3.T2.top.083017,23.DuselD.T8.bottom.082917,18.DuselD.T6.top.082917,13.DeMMO6.T1.top.051017,15.DeMMO3.T4.bottom.083017,1.DeMMO1.Steri.021517,30.DeMMO3.T9.bottom.051117,21.DuselD.T7.bottom.082917,6.DeMMO3.Steri.021517,3.DeMMO3.steri.083117,12.DeMMO6.Steri#2.051017,6.DeMMO6.steri.082917,26.DuselD.T10.top.082917,33.DeMMO3.T11.top.051117,9.DeMMO3.T1.bottom.083017,12.DeMMO3.T3.top.083017,19.DeMMO6.T4.top.051017,17.DeMMO6.T3.top.051017,20.DuselD.T7.top.082917,7.DuselD.steri.082917,22.DeMMO6.T5.bottom.051017,14.DeMMO3.T4.top.083017,20.DeMMO6.T4.bottom.051017,15.DeMMO6.T2.top.051017,18.DeMMO6.T3.bottom.051017,21.DeMMO6.T5.top.051017,29.DeMMO3.T9.top.051117,14.DeMMO6.T1.bottom.051017,19.DuselD.T6.bottom.082917,31.DeMMO3.T10.top.051117,13.DeMMO3.T3.bottom.083017,35.DeMMO3.T12.top.051117,8.DeMMO3.T1.top.083017,27.24790.AfterPacker.051616,30.DuselB.050416,34.4100L.DrillFluid.051716,18.10dash1.051816,32.DuselB.051916,14.24790.AfterDrilling.050516,15.24790.DitchFluid.050516,28.24790.071216,19.10dash1.071116,33.DuselB.071316,16.10dash1.050216,26.DeMMO1.SC1.top.041818,31.DeMMO1.SC7.top.041818,52.DeMMO3.B.top.041718,14.DeMMO3.steri.041718,53.DeMMO3.C.top.041718,56.DeMMO3.F.top.041718,30.DeMMO1.SC5.top.041818,41.DeMMO3.3.top.041718,22.DeMMO1.C.top.041818,21.DeMMO1.B.top.041818,42.DeMMO3.4.top.041718,18.800.DitchFluid.041818,55.DeMMO3.E.top.041718,47.DeMMO1.9.top.041818,54.DeMMO3.D.top.041718,34.DeMMO1.SC10.top.041818,20.DeMMO1.A.top.041818,45.DeMMO1.7.top.041818,40.DeMMO3.2.top.041718,43.DeMMO3.5.top.041718,1.DeMMO1.steri.113017,29.DeMMO1.SC4.top.041818,44.DeMMO3.6.top.041718,51.DeMMO3.A.top.041718,3.DeMMO3.steri.112717,12.DeMMO1.steri.041818,39.DeMMO3.1.top.041718,17.DeMMO6.041618,50.DeMMO1.12.top.041818,46.DeMMO1.8.top.041818,49.DeMMO1.11.top.041818,28.DeMMO1.SC3.top.041818,48.DeMMO1.10.top.041818,24.DeMMO1.E.top.041818,27.DeMMO1.SC2.top.041818,33.DeMMO1.SC9.top.041818,32.DeMMO1.SC8.top.041818,6.DeMMO6.steri.112817,23.DeMMO1.D.top.041818
alpha_rarefaction_500_0.txt,500,0,0.164849367,0.083640125,0.07702437,0.086988776,0.093685942,0.04170203,0.170261685,0.07303791,0.170344751,0.104579757,0.180183297,0.064747113,0.046253743,0.156742367,0.093515906,0.147000024,0.22217285,0.03494998,0.051141248,0.278617345,0.176128278,0.099988641,0.118412926,0.098898351,0.073347338,0.128357841,0.204919712,0.077104141,0.050293189,0.097113099,0.091491107,0.141310639,0.330589878,0.356031023,0.077291699,0.154809689,0.198747098,0.222654469,0.163555407,0.087358828,0.162614106,0.174782152,0.107590557,0.175869569,0.160623786,0.073495172,0.053443401,0.109565891,0.22745138,0.071483798,0.137610336,0.295945546,0.237397966,0.160381014,0.236540379,0.129571812,0.188825746,0.074254,0.170234788,0.195888535,0.156947238,0.120448028,0.100379112,0.219611481,0.16881398,0.078093714,0.147031147,0.137651403,0.124407447,0.169607203,0.091705831,0.121628577,0.153804508,0.06113749,0.199878474,0.219782538,0.074008289,0.107098212,0.181834051,0.098865811,0.074896403,0.109388222,0.194306357,0.132314196,0.199929625,0.080925477,0.087217659,0.114436168,0.068672867,0.147117671,0.202367538,0.198624565,0.134583561,0.055472347,0.166478435,0.075912529,0.111058395,0.260717034,0.429901914,0.180015409,0.099907366,0.164026496,0.064491198,0.144759867,0.116864589,0.187105581,0.142512507,0.154285178,0.10749914,0.312205746,0.140967851,0.167255406,0.132668787,0.339493096,0.290186137,0.10774701,0.113214793,0.117283012,0.057636834,0.13471105,0.120684328,0.137547647,0.141227618,0.057205829,0.129601636,0.088083997
alpha_rarefaction_500_1.txt,500,1,0.179564936,0.079343921,0.065094131,0.099912237,0.10188595,0.040698583,0.196095349,0.071422898,0.138031407,0.10034986,0.15180109,0.055062344,0.049725357,0.177000674,0.089961583,0.146629458,0.242725516,0.036873167,0.052747624,0.256148591,0.1517845,0.122338525,0.121306814,0.097642824,0.096676868,0.12548311,0.202816719,0.088711246,0.051756234,0.098450856,0.086926528,0.116730791,0.31420456,0.334725793,0.072722026,0.166374956,0.220419679,0.195648771,0.206614302,0.082461876,0.151839813,0.168481096,0.12270035,0.195729036,0.128994708,0.077366805,0.052610225,0.093037657,0.280666774,0.075408776,0.1523595,0.266376849,0.235354368,0.19083445,0.242316624,0.167022759,0.203965081,0.084796583,0.146140033,0.192177603,0.177704232,0.109425568,0.131543223,0.207974231,0.160519827,0.095606974,0.149445736,0.133541872,0.128956382,0.183024681,0.062188683,0.106065234,0.138698871,0.065001248,0.19985834,0.217055717,0.101188929,0.099841532,0.137602307,0.132062993,0.068707896,0.112209266,0.246833131,0.155581195,0.206756471,0.076162066,0.080524634,0.100859484,0.067859142,0.119663029,0.203032823,0.181904438,0.1438104,0.057542697,0.184175359,0.094877236,0.135321806,0.244859421,0.455597471,0.190621426,0.107960395,0.164230148,0.046581218,0.144030788,0.117310089,0.247347935,0.117421168,0.128515146,0.10663964,0.327477168,0.104180992,0.167368274,0.15872774,0.309136594,0.27219239,0.097773808,0.118798256,0.140102174,0.058142915,0.117664335,0.142319744,0.140309129,0.126897885,0.05364549,0.154774994,0.076355882
alpha_rarefaction_500_2.txt,500,2,0.200012801,0.071876754,0.065711381,0.098607504,0.099264569,0.035896898,0.18277713,0.071088363,0.16514513,0.108257164,0.133283858,0.061400923,0.057579965,0.175293441,0.090237853,0.128581642,0.28287967,0.037871351,0.053784723,0.270867056,0.139914932,0.116602737,0.131560114,0.086486516,0.102435255,0.11492562,0.218190831,0.075691518,0.05746561,0.086377388,0.102186797,0.120006068,0.293385908,0.333255129,0.066751682,0.170726544,0.28801976,0.200560607,0.213924243,0.095015488,0.167094428,0.172907474,0.120475425,0.178484736,0.159199976,0.067206144,0.054741489,0.108530497,0.278036661,0.082108925,0.15867918,0.293861814,0.232903053,0.160870192,0.187509751,0.14108177,0.172808034,0.091377208,0.166701341,0.18410239,0.174947026,0.110603808,0.094056035,0.215131488,0.141907578,0.104899565,0.133624956,0.12605864,0.143178681,0.158810017,0.069630125,0.112985975,0.132122457,0.058712735,0.195480491,0.217013889,0.077454246,0.09089587,0.194087324,0.095561366,0.077765335,0.089461442,0.205431612,0.136809386,0.256512862,0.070332391,0.0857773,0.099376709,0.056990812,0.15613212,0.187324851,0.223426541,0.15183723,0.061437047,0.180314295,0.099300685,0.11070078,0.296467061,0.436129681,0.209284181,0.108047742,0.163355131,0.051924639,0.145632482,0.114544703,0.163460231,0.148214548,0.144189786,0.104116691,0.293780318,0.105431849,0.168227821,0.124095222,0.36702312,0.267972371,0.108359267,0.110713527,0.13917838,0.056789168,0.12584809,0.109585102,0.135458185,0.143728218,0.074367224,0.13380547,0.076463309
alpha_rarefaction_500_3.txt,500,3,0.18069459,0.080663063,0.072344745,0.103947597,0.109598169,0.039563322,0.187051824,0.064911461,0.17327587,0.103584178,0.175233235,0.072459904,0.044982022,0.192259184,0.091254198,0.147657793,0.284656988,0.030964246,0.04254414,0.244793727,0.139925582,0.112712734,0.117846261,0.101322296,0.084764842,0.116293782,0.227923345,0.068138903,0.048896427,0.097948872,0.105598851,0.132808474,0.298839308,0.298924351,0.066353866,0.157923396,0.228972956,0.244666754,0.207276225,0.095943435,0.141055501,0.217621415,0.13658366,0.219726906,0.141475053,0.058069177,0.056647621,0.111901484,0.272841767,0.078859875,0.128918477,0.269303688,0.230467425,0.150368342,0.252028832,0.141133699,0.176770891,0.082204609,0.172475408,0.22533891,0.156037399,0.118531611,0.11670725,0.227965743,0.162476717,0.09471376,0.152069052,0.125108219,0.157688513,0.182330564,0.079171148,0.098029297,0.146088282,0.048021218,0.192794127,0.244819617,0.084075552,0.097455628,0.161745924,0.093604912,0.065837986,0.092178268,0.203267897,0.14209228,0.231758304,0.07602204,0.085769531,0.127569245,0.066333408,0.161484521,0.167445399,0.186052881,0.125125376,0.063923905,0.193729368,0.078647119,0.098077062,0.253465379,0.423912749,0.202276501,0.106088729,0.191228867,0.055830664,0.15337461,0.128395021,0.186821464,0.122555988,0.161557152,0.109736527,0.295558582,0.100264136,0.19178368,0.140100289,0.350392299,0.270246898,0.118720403,0.119239424,0.136487021,0.051340901,0.158350921,0.12809477,0.150093358,0.139202094,0.048506128,0.154004423,0.092229073
alpha_rarefaction_500_4.txt,500,4,0.151361038,0.083780722,0.069541648,0.123902103,0.108026825,0.036025671,0.201597296,0.061066912,0.154806047,0.108686201,0.155391462,0.073158969,0.047439338,0.160991191,0.09919147,0.122176382,0.248637467,0.040299584,0.052764078,0.224261909,0.150274702,0.12841639,0.130526492,0.104435588,0.080618427,0.131159238,0.202333471,0.072613626,0.049129658,0.090584633,0.100762896,0.134529679,0.356287767,0.353298964,0.056387382,0.173628715,0.274894441,0.21788695,0.164318879,0.085649525,0.163475409,0.177694127,0.134505793,0.209062264,0.124640288,0.073541871,0.057279438,0.079766495,0.344060687,0.079519372,0.148660863,0.292362782,0.227529215,0.161920664,0.219460724,0.161926957,0.172746181,0.087255284,0.161884386,0.202816719,0.172722072,0.123172004,0.127230089,0.213618249,0.152375101,0.093119025,0.148565452,0.12844542,0.190026208,0.154418214,0.080627475,0.096887809,0.161745087,0.052149824,0.165155167,0.224288467,0.087012088,0.101774955,0.18428424,0.123118261,0.081087743,0.114289685,0.224833084,0.132934883,0.171552481,0.063477554,0.084975745,0.088960627,0.071598485,0.103058445,0.198021057,0.161587435,0.105509272,0.056234164,0.15797369,0.091967216,0.119470088,0.259916328,0.435691879,0.19861131,0.098721205,0.148787383,0.061386691,0.135673723,0.125987744,0.181598415,0.119399221,0.199203187,0.118966042,0.272395248,0.127201088,0.184118118,0.133249759,0.308962381,0.294784901,0.114842101,0.11429491,0.12642046,0.053975815,0.132168838,0.133787139,0.132590825,0.128836228,0.061269044,0.142907446,0.07473359
alpha_rarefaction_500_5.txt,500,5,0.176056338,0.068083234,0.075558924,0.122389913,0.111231736,0.037835667,0.17817791,0.071018208,0.157446594,0.109476266,0.155970423,0.060751865,0.048579761,0.159323754,0.099369441,0.129310969,0.230520977,0.038007946,0.055855936,0.282699897,0.168565387,0.121508336,0.120605148,0.096204539,0.084050565,0.131849447,0.222335267,0.082800594,0.051085735,0.091594685,0.097026789,0.153776883,0.314550872,0.359859281,0.064240335,0.170147893,0.208516828,0.203273517,0.168323645,0.093159832,0.137948387,0.172347231,0.113783869,0.175485393,0.135105193,0.067149787,0.064920226,0.099951064,0.282406738,0.080315195,0.134364681,0.286215408,0.246184146,0.184047092,0.234558102,0.133567557,0.18729089,0.07667404,0.157291466,0.216246888,0.164069124,0.12822354,0.105755645,0.252862402,0.167002007,0.084102026,0.147656398,0.137658073,0.147440434,0.204824015,0.092398214,0.110033661,0.14686755,0.055746953,0.178926726,0.199594105,0.083975748,0.103452671,0.174602953,0.100622248,0.089401809,0.131967905,0.165616876,0.123590084,0.189566272,0.071474315,0.089566826,0.116670213,0.054131301,0.10489041,0.187134713,0.218809571,0.127075912,0.064569718,0.17602857,0.080685921,0.08800908,0.272594841,0.358836566,0.178612254,0.096708507,0.189170088,0.060412127,0.137144262,0.111707181,0.189773486,0.115928265,0.165264344,0.121132482,0.276622112,0.117430986,0.167563916,0.129486178,0.340483487,0.267763426,0.115336848,0.141811787,0.141580171,0.056528755,0.119980957,0.12654486,0.167802353,0.123970549,0.04968796,0.129119159,0.077655958
alpha_rarefaction_500_6.txt,500,6,0.169596388,0.076871608,0.066912906,0.103025148,0.108420735,0.04034283,0.189087961,0.071704573,0.167684849,0.113984535,0.13999673,0.071573436,0.049214187,0.200178078,0.092349406,0.116567072,0.244517908,0.034449687,0.04944278,0.276713966,0.152972188,0.128329641,0.121584213,0.108506191,0.076345809,0.128953721,0.208083287,0.083578944,0.057640529,0.095335937,0.096141496,0.135224895,0.286001922,0.355598543,0.065694562,0.171353528,0.247074636,0.217078711,0.17408016,0.103747527,0.169019874,0.167131962,0.123401214,0.172684849,0.128652178,0.075088605,0.04908359,0.096648538,0.25846953,0.081668601,0.156691871,0.309578354,0.240370748,0.165704256,0.202563317,0.151500093,0.192879803,0.092347018,0.194639473,0.237094474,0.202301381,0.105493422,0.09218697,0.24471609,0.172549453,0.086143566,0.138230298,0.160105542,0.155325811,0.162740074,0.077555933,0.086878256,0.186887942,0.05750426,0.170198629,0.238693107,0.087644017,0.087660919,0.171507288,0.103319447,0.08104085,0.120663825,0.220968301,0.145916214,0.246188994,0.082561875,0.116018756,0.106830485,0.058460825,0.141905162,0.204344528,0.202214328,0.11749578,0.0473487,0.202922078,0.0868023,0.110437882,0.278602441,0.411184211,0.186706776,0.101776447,0.20823581,0.048935075,0.141392478,0.129584707,0.151625976,0.115868196,0.174727425,0.128217753,0.234012281,0.122560555,0.167817897,0.102605187,0.365349654,0.248163589,0.110809316,0.118329528,0.139145845,0.057998827,0.111372167,0.117665221,0.175126932,0.112238484,0.06103611,0.152244263,0.089095813
alpha_rarefaction_500_7.txt,500,7,0.177049561,0.078932081,0.06287195,0.102821251,0.09095566,0.041461433,0.168809193,0.070186432,0.161691526,0.107693633,0.11370138,0.066427033,0.041739237,0.168438187,0.099683247,0.12408549,0.269106566,0.032933755,0.047490813,0.287632714,0.128251167,0.11359516,0.157694879,0.113770302,0.089317869,0.156755537,0.195212454,0.070838186,0.050539193,0.097844677,0.085373183,0.114803709,0.273401531,0.336473755,0.068454141,0.177213467,0.214712071,0.227718642,0.187485845,0.086495014,0.145741832,0.173632092,0.124755479,0.185135816,0.142083397,0.068511546,0.051324458,0.114521721,0.307336743,0.069090471,0.133903225,0.263376358,0.265867504,0.169276229,0.231574111,0.151264328,0.16864726,0.073687884,0.162202844,0.197796703,0.175825536,0.120764196,0.096863483,0.223966573,0.152487002,0.082081751,0.158162981,0.13431617,0.149230567,0.174284041,0.079079239,0.102276679,0.151804408,0.059099643,0.160333494,0.223231028,0.072805468,0.083491968,0.172133631,0.119109329,0.065397947,0.108900575,0.187755347,0.12295598,0.171568022,0.068001306,0.085255271,0.105388381,0.061508968,0.130879774,0.197953321,0.217921897,0.107666362,0.050188347,0.20746337,0.09645806,0.106875973,0.28516026,0.42305193,0.179568547,0.09200492,0.184414741,0.048637829,0.135591308,0.129384853,0.17952883,0.127853694,0.139103727,0.103767163,0.25873489,0.091654525,0.169522787,0.132218467,0.337882584,0.27906146,0.098377402,0.106079996,0.131523569,0.053456086,0.145663199,0.139965221,0.13706982,0.129186949,0.067247144,0.151584789,0.100734313
alpha_rarefaction_500_8.txt,500,8,0.164393867,0.079318747,0.075584007,0.133624099,0.11515017,0.033305685,0.176398452,0.066826623,0.15744005,0.117870264,0.138156659,0.067228916,0.047145296,0.166701341,0.082712986,0.121036069,0.379616132,0.038201276,0.051383997,0.232800685,0.138364028,0.123237822,0.117055228,0.101549235,0.097880917,0.12904891,0.197309644,0.086551431,0.050655441,0.106253214,0.09135744,0.130556757,0.28393539,0.326490101,0.074393691,0.172623322,0.236491152,0.215362774,0.183723022,0.106759043,0.172725891,0.181317087,0.125867352,0.178857601,0.127972677,0.071492179,0.05683239,0.092275575,0.270387194,0.070121664,0.125857974,0.289587812,0.257304886,0.160407769,0.216424358,0.134490743,0.19895968,0.095923409,0.184005912,0.222918918,0.196358107,0.128047531,0.099119344,0.211377165,0.183349517,0.094425496,0.134583995,0.166737808,0.142578341,0.152296386,0.089175519,0.129455067,0.151466499,0.065640746,0.170010201,0.203489602,0.098656691,0.092954081,0.150931367,0.084464938,0.094214477,0.110591087,0.189129731,0.127151919,0.218770127,0.071816297,0.088720564,0.102573108,0.055110216,0.139402821,0.161053211,0.224947587,0.152337219,0.057542273,0.201622009,0.083772974,0.101657919,0.267220776,0.380760913,0.183448539,0.111659284,0.150805907,0.054755397,0.149097068,0.145270965,0.179870608,0.141125732,0.174848162,0.106289444,0.301342783,0.113229868,0.173957577,0.139173731,0.327865413,0.259538561,0.104679597,0.117534226,0.124136506,0.065668505,0.111519719,0.121296455,0.136634421,0.125911219,0.060994295,0.151152386,0.07485384
alpha_rarefaction_500_9.txt,500,9,0.186273852,0.082296399,0.061207961,0.119565852,0.103295882,0.034020419,0.159218429,0.066101473,0.15594396,0.108124566,0.145814086,0.065087929,0.046978423,0.185281806,0.098673512,0.177067869,0.264390791,0.036895947,0.053895572,0.320512821,0.165047005,0.104747492,0.125054524,0.107811876,0.09397931,0.128408606,0.197703476,0.082328704,0.044847619,0.093592227,0.079133557,0.124745519,0.297897085,0.335653369,0.064507872,0.164233385,0.259293063,0.225872319,0.16550811,0.104856271,0.146798386,0.145374531,0.099347644,0.179054364,0.131155935,0.072926779,0.05526821,0.107122718,0.309777827,0.071473171,0.16187642,0.257970781,0.235546402,0.167107831,0.220770046,0.15601286,0.180936789,0.06564895,0.15482081,0.198016665,0.182436476,0.123911807,0.090557399,0.22700816,0.16858312,0.09295885,0.121111709,0.110010323,0.160250247,0.158750318,0.075035507,0.112765812,0.132233153,0.053012375,0.203972403,0.221591916,0.083720232,0.106250776,0.187689942,0.112178552,0.072307835,0.118013484,0.227107971,0.129708415,0.22452858,0.083125409,0.099152524,0.092299559,0.071800787,0.131936983,0.209994036,0.214367787,0.114368321,0.076994338,0.217163566,0.083779712,0.119788712,0.240693814,0.507449357,0.214065655,0.106389045,0.193359568,0.053078286,0.133777403,0.112952284,0.195960087,0.123072076,0.152787081,0.096228608,0.271869746,0.105240116,0.192633688,0.17954585,0.362124658,0.290500404,0.095766948,0.105882492,0.134578779,0.058931409,0.11980513,0.133816357,0.142239417,0.137729664,0.050895247,0.154981092,0.079228454
