"","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left mean abund","Left stdev","Right mean abund","Right stdev"
"1","fluid_inert.control",0.104220189867043,"Betaproteobacteria.Betaproteobacteriales.Gallionellaceae",0.265104172855235,0.502953466445011,"NA","0.0685217391304348","0.131375696370516","0.150658823529412","0.194523710183436"
"2","fluid_inert.control",0.098107595698744,"Betaproteobacteria.Betaproteobacteriales.Rhodocyclaceae",0.0676649435452967,0.230120543210996,"NA","0.00726086956521739","0.0115698172819089","0.154270588235294","0.26535445107607"
"3","fluid_inert.control",0.072938746439214,"Unassigned.Other.Other.Other.Other",0.0186206774363987,0.086405145822451,"NA","0.124965217391304","0.116665491543112","0.0636941176470588","0.0881629845129763"
"4","fluid_inert.control",0.059909787401009,"Deltaproteobacteria.Desulfovibrionales.Desulfomicrobiaceae",0.198146106129255,0.448769165551933,"NA","0.0600695652173913","0.107878569928426","0.0600705882352941","0.105453578440385"
"5","fluid_inert.control",0.053162706482952,"Firmicutes.Clostridia.Other.Other",0.553329475565945,0.718862246786719,"NA","0.0639304347826087","0.13437515136493","0.0343529411764706","0.067889884350018"
"6","fluid_inert.control",0.05208729409117,"Deltaproteobacteria.Desulfobacterales.Desulfobulbaceae",0.256152723265035,0.489439284089886,"NA","0.0714347826086957","0.118377353518682","0.0412470588235294","0.073671637331193"
"7","fluid_inert.control",0.041283139548045,"Betaproteobacteria.Betaproteobacteriales.Sulfuricellaceae",0.24563408047609,0.474368917043457,"NA","0.00748695652173913","0.0328832826323626","0.0621588235294118","0.0832748615941774"
"8","fluid_inert.control",0.030947632534407,"Omnitrophicaeota.Other.Other.Other",0.000969752665296713,0.0125501107917945,"NA","0.0498652173913043","0.0531522907117383","0.00256470588235294","0.00282951877014241"
"9","fluid_inert.control",0.027319181938583,"Acetothermia.Acetothermiia.Other.Other",0.912309533669005,0.938442787407653,"NA","0.0275913043478261","0.0734019191787956","0.0232764705882353","0.0439595343670142"
"10","fluid_inert.control",0.024284701487764,"Betaproteobacteria.Betaproteobacteriales.Hydrogenophilaceae",0.373632861399556,0.610726577284184,"NA","0.0116782608695652","0.0165694943282072","0.0342235294117647","0.0616815058324998"
"11","fluid_inert.control",0.023155485669424,"Chloroflexi.Anaerolineae.Anaerolineales.Anaerolineaceae",0.0154590945823251,0.0811767472830674,"NA","0.024895652173913","0.0217338754913503","0.0487294117647059","0.0473463932721633"
"12","fluid_inert.control",0.022543799762018,"Nitrospirae.Thermodesulfovibrionia.uncultured.uncultured bacterium",0.434588517144046,0.646985162624954,"NA","0.0184695652173913","0.029172503161564","0.0316058823529412","0.0441496952224508"
"13","fluid_inert.control",0.019252276721521,"Nitrospirae.Thermodesulfovibrionia.uncultured.Other",0.742649737838335,0.834471676532855,"NA","0.0301869565217391","0.0426307220030112","0.0167882352941176","0.017755452766437"
"14","fluid_inert.control",0.017852731491704,"Omnitrophicaeota.uncultured bacterium.uncultured bacterium.uncultured bacterium",0.0462423646469727,0.172263612600778,"NA","0.0275565217391304","0.0524603644849827","0.00105294117647059","0.00271871238986832"
"15","fluid_inert.control",0.014482635764253,"Alphaproteobacteria.Rhizobiales.Rhizobiaceae",0.58995691546026,0.75302545050167,"NA","0.000895652173913044","0.00145335920006958","0.0224352941176471","0.0456868818860577"
"16","fluid_inert.control",0.0136211248,"Bacteroidetes.Ignavibacteria.Ignavibacteriales.Other",0.0363130205831596,0.142464271697317,"NA","0.018495652173913","0.0208994884291647","0.013","0.0239710763212668"
"17","fluid_inert.control",0.012981388935457,"Deltaproteobacteria.Desulfobacterales.Desulfobacteraceae",0.622368360440409,0.770183261321165,"NA","0.0156782608695652","0.0123523997124497","0.0226","0.0233069463894351"
"18","fluid_inert.control",0.012548501000448,"Zixibacteria.uncultured bacterium.uncultured bacterium.uncultured bacterium",0.563892576108987,0.730951482396886,"NA","0.0158608695652174","0.027727714050787","0.00940588235294118","0.0153575091807003"
"19","fluid_inert.control",0.012338700443846,"Nitrospirae.4-29-1.Other.Other",0.683519407607709,0.803003394942284,"NA","0.013304347826087","0.0389017466102496","0.00947058823529412","0.0183836464250799"
"20","fluid_inert.control",0.0121833594531471,"Gammaproteobacteria.Pseudomonadales.Moraxellaceae",0.439550425443589,0.646985162624954,"NA","0.0110826086956522","0.0400060183219511","0.0103294117647059","0.0247043711897784"
"21","fluid_inert.control",0.0109785235749229,"Deltaproteobacteria.Desulfarculales.Desulfarculaceae",0.0349689191533072,0.138279872762979,"NA","0.0166173913043478","0.0305237411649286","0.00195294117647059","0.00449904401610204"
"22","fluid_inert.control",0.00934867343386903,"Nanoarchaeaeota.Woesearchaeia.uncultured archaeon.uncultured archaeon",0.187740982802393,0.433817714463964,"NA","0.0133173913043478","0.0261000461889858","0.00339411764705882","0.00842803881311033"
"23","fluid_inert.control",0.00860264299490898,"Bacteroidetes.Bacteroidia.Sphingobacteriales.Lentimicrobiaceae",0.612715724896404,0.762745768783795,"NA","0.0135869565217391","0.0140927868186603","0.0103235294117647","0.0135921636160218"
"24","fluid_inert.control",0.00859444125305509,"Firmicutes.Clostridia.Clostridiales.Syntrophomonadaceae",0.867194623735947,0.908185333084486,"NA","0.00988260869565217","0.023389132133884","0.00597058823529412","0.0110197416431763"
