Family,color
Acetothermia.Acetothermiia.Other.Other,73e1c2
Chloroflexi.Anaerolineae.Anaerolineales.Anaerolineaceae,d79dcd
Latescibacteria.Latescibacteria.Latescibacterales.Latescibacteraceae,abeda2
Nitrospirae.Thermodesulfovibrionia.uncultured.uncultured bacterium,e9634e
Nitrospirae.Thermodesulfovibrionia.uncultured.Other,e9634e
Omnitrophicaeota.Other.Other.Other,bfe6f2
Alphaproteobacteria.Other.Other,92d5e3
Deltaproteobacteria.Desulfobacterales.Desulfobacteraceae,d2cee0
Deltaproteobacteria.Desulfobacterales.Desulfobulbaceae,404141
Deltaproteobacteria.Desulfovibrionales.Desulfomicrobiaceae,d6aad0
Betaproteobacteria.Betaproteobacteriales.Gallionellaceae,70c7bd
Betaproteobacteria.Betaproteobacteriales.Rhodocyclaceae,f6eb8a
Betaproteobacteria.Betaproteobacteriales.Sulfuricellaceae,fcbf31
Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae,f6e5cc
Unassigned.Other.Other.Other.Other,9d7ea5
Less.Abundant.Taxa,a0a0a0
