full name,hex color
Euryarchaeota,4C1683
Crenarchaeota,6217A5
Nanoarchaeaeota,F1E8FF
Diapherotrites,B48AFF
Hadesarchaeaeota,DECBFF
Hydrothermarchaeota,BAA2E6
Altiarchaeota,CFB4FF
Asgardaeota,F1E8FF
Thaumarchaeota,D3A2E6
Archaea,A200FF
Deltaproteobacteria,6D7073
Gammaproteobacteria,84878B
Alphaproteobacteria,9A9EA3
Betaproteobacteria,57595C
Epsilonbacteraeota,B7BBC1
Proteobacteria,CCD1D7
Bacteroidetes,3262C0
Chloroflexi,577AC0
Nitrospirae,7A91C0
Spirochaetes,5855D8
Firmicutes,42D4FF
Acidobacteria,90A0C0
Actinobacteria,297ED8
Planctomycetes,7BA8D8
Chlamydiae,3936D8
Cyanobacteria,85F2D8
Tenericutes,38B3D8
Verrucomicrobia,12ABD8
Fibrobacteres,488ED8
Deinococcus-Thermus,1FE2D7
Fusobacteria,92C2D7
Elusimicrobia,FF8E00
Lentisphaerae,C73F00
Kiritimatiellaeota,EF8000
Synergistetes,D34300
FBP,BF6600
Gemmatimonadetes,E34800
Armatimonadetes,A15600
Caldiserica,F84F00
Calditrichaeota,FF7A25
Omnitrophicaeota,1CF200
Latescibacteria,824400
Zixibacteria,64F252
WOR-1,00924C
Acetothermia,9BF290
FCPU426,00B05C
BRC1,D3F2CF
Schekmanbacteria,00CD6B
WPS-2,95D58C
Nitrospinae,0
Desantisbacteria,B9D5B6
Edwardsbacteria,00F37E
Firestonebacteria,6AD55C
GAL15,00FF87
Hydrogenedentes,4AD538
Margulisbacteria,00FF9A
PAUC34f,549D22
Poribacteria,6EFFCD
Rokubacteria,60B427
CK-2C2-2,71D32E
WS2,88FF38
Atribacteria,ACFF74
Dadabacteria,00580B
AncK6,00730B
TA06,00920B
WS1,00AF0B
WS4,67AF0B
Entotheonellaeota,7AAF0B
Patescibacteria,FFE93E
Dependentiae,FFF7B8
LCP-89,FFEE6B
Unassigned,0
Bacteria,0
Ambiguous_taxa,0
Other,0
UBA9089,B9D5B6
OLB16,1CF200
Desulfobacterota,6D7073
MBNT15,6D7073
UBA10199,6D7073
Deferrisomatota,6D7073
Thermoplasmata,CF71AF
Micrarchaeota,966FD6
UBP1,85BB65
Goldbacteria,87A96B
Eisenbacteria,A4C639
Halobacteria,98777B
Bipolaricaulota,9BF290
Eremiobacterota,95D58C
Myxococcota,e2f442
UBA3054,d9f441
Calescamantes,cdf441
Calescibacterota,cdf441
AABM512524,0
Proteobacteria,CCD1D7
Cloacimonetes,EAE547
Lindowbacteria,F9F210
Halanaerobiaeota,0
