"","method","Site","site.experiment","experiment.type","avg.abundance"
"1","PD_whole_tree","D1","D1.calcite","calcite",39.175188
"2","PD_whole_tree","D1","D1.fluid","fluid",126.6723612
"3","PD_whole_tree","D1","D1.gypsum","gypsum",29.725704
"4","PD_whole_tree","D1","D1.hematite","hematite",53.409946
"5","PD_whole_tree","D1","D1.inert.control","inert.control",35.9802817142857
"6","PD_whole_tree","D1","D1.magnetite","magnetite",51.4298125
"7","PD_whole_tree","D1","D1.muscovite","muscovite",50.499274
"8","PD_whole_tree","D1","D1.pyrite","pyrite",63.0970925
"9","PD_whole_tree","D1","D1.pyrolusite","pyrolusite",36.96016
"10","PD_whole_tree","D1","D1.siderite","siderite",49.30954
"11","PD_whole_tree","D3","D3.calcite","calcite",37.665653
"12","PD_whole_tree","D3","D3.fluid","fluid",59.0824875
"13","PD_whole_tree","D3","D3.gypsum","gypsum",36.904404
"14","PD_whole_tree","D3","D3.hematite","hematite",42.0555295
"15","PD_whole_tree","D3","D3.inert.control","inert.control",41.2016138
"16","PD_whole_tree","D3","D3.magnetite","magnetite",45.4354055
"17","PD_whole_tree","D3","D3.muscovite","muscovite",34.088083
"18","PD_whole_tree","D3","D3.pyrite","pyrite",44.3230205
"19","PD_whole_tree","D3","D3.pyrolusite","pyrolusite",36.58617
"20","PD_whole_tree","D3","D3.siderite","siderite",32.443622
"21","PD_whole_tree","D6","D6.fluid","fluid",25.9486405555556
"22","PD_whole_tree","D6","D6.hematite","hematite",21.777909
"23","PD_whole_tree","D6","D6.inert.control","inert.control",22.7151638
"24","PD_whole_tree","D6","D6.magnetite","magnetite",21.896153
"25","PD_whole_tree","D6","D6.pyrite","pyrite",21.769063
"26","PD_whole_tree","D6","D6.pyrolusite","pyrolusite",26.464731
"27","PD_whole_tree","D6","D6.siderite","siderite",29.474909
