OTU.ID,NU.68.DeMMO5.SteriViaSyringe.050416,NU.18.DeMMO3.Steri.Dec2015,NU.07.DeMMO4.Steri.2.092016,NU.03.DeMMO6.Steri.2.092316,NU.19.DeMMO2.Steri.120715,NU.08.DeMMO5.Steri.1.120716,NU.05.DeMMO3.Steri.2.092116,NU.11.DeMMO6.Steri.2.120716,NU.13.DeMMO2.Steri.120916,NU.02.DeMMO5.Steri.1.092216,NU.12.DeMMO3.Steri.1.120816,NU.16.4850.LBNE-1.Steri.120815,NU.22.800.A.Drips.Steri.120715,NU.15.DeMMO1.Steri.120715,NU.01.DeMMO1.Steri.1.092016,NU.09.DeMMO4.Steri.1.120616,NU.06.DeMMO2.Steri.2.092016,NU.14.DeMMO1.Steri.1.120916,NU.21.DeMMO5.Steri.120815,NU.20.DeMMO6.Steri.120815,NU.23.4800.Dusel.L.Steri.120815,NU.10.Blank.Sterivex.121216,12.DeMMO6.Steri#2.051017,9.DeMMO3.Steri.051117,11.DeMMO5.Steri.051017,7.DeMMO1.Steri.050917,5.DeMMO6.Steri.021415,1.DeMMO1.steri.083117,10.DeMMO4.Steri.050917,1.DeMMO1.Steri.021517,3.DeMMO4.Steri.021517,2.DeMMO2.Steri.021517,6.DeMMO3.Steri.021517,3.DeMMO3.steri.083117,6.DeMMO6.steri.082917,7.DuselD.steri.082917,5.DeMMO5.steri.082917,8.DeMMO2.Steri.050917,4.DeMMO5.Steri.021417,2.DeMMO2.steri.083017,4.DeMMO4.steri.083117,08.19223.Tubing.050216,27.24790.AfterPacker.051616,06.11938.DrillFluid.050316,26.24228.BeforeMod.051716,05.11938.DitchFluid.050316,23.19223.071116,01.11938.PostMod.050316,02.11938.BeforeMod.050316,30.DuselB.050416,34.4100L.DrillFluid.051716,21.11938.071316,18.10dash1.051816,32.DuselB.051916,14.24790.AfterDrilling.050516,22.19223.051816,15.24790.DitchFluid.050516,28.24790.071216,09.19223.Syringe.050216,19.10dash1.071116,03.11938.AfterDrilling.DrainWater.050316,33.DuselB.071316,24.24228.AfterDrilling.051716,20.11938.051916,10.24228.050416,16.10dash1.050216,25.24228.071116,12.DeMMO1.steri.041818,14.DeMMO3.steri.041718,18.800.DitchFluid.041818,2.DeMMO2.steri.113017,1.DeMMO1.steri.113017,16.DeMMO5.steri.041618,15.DeMMO4.steri.041918,3.DeMMO3.steri.112717,17.DeMMO6.041618,5.DeMMO5.steri.112817,13.DeMMO2.steri.041818,19.DeMMO4.steri.101017,6.DeMMO6.steri.112817,4.DeMMO4.steri.112817
OTU_92,248,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,1,216,5,3,0,4,0,10,0,3,0,0,0,437,0,599,0,0,0,0,0,0,3,0,94,2,0,0,120,0,0,0,0,0,0,0,0,45,0,3,68,0,0,0,0,0,0,0,0,407,0,2,0,1327,0,0,0,0
OTU_1,0,121,0,0,26,0,97,0,43,0,122,0,15,176,535,0,14,425,0,0,0,0,10,4618,11,3389,4,5749,6,2482,17,128,1150,2385,1,4,4,49,0,31,3,6,149,0,6,0,37,0,0,0,0,0,621,0,834,96,0,51,28,847,0,0,0,0,3,1140,3,1986,10716,16,199,11066,2,48,16067,5,3,160,17,6,0
OTU_737,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,26,0,33,0,0,0,0,0,0,0,0,107,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,22,0,0,0,0,0,0,0,0,44,0,0,0,113,0,0,0,0
OTU_887,65,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,43,0,0,0,6,0,0,0,0,0,0,0,0,30,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU_45,252,1,755,0,0,179,0,0,0,165,0,0,0,0,0,705,0,0,31,0,0,0,0,0,140,0,0,0,2398,0,2582,0,3,1,0,0,631,0,678,0,1005,0,0,0,626,3,0,39,42,0,0,196,0,0,0,0,0,0,0,0,2,0,634,96,163,0,288,0,0,0,0,13,761,3624,21,0,3104,1,1490,0,0
OTU_9,67,0,2,5113,0,2,2,2573,1,0,0,0,3,3,0,1,0,0,0,249,0,0,9654,1,2,0,8045,1,0,0,2,1,0,0,831,88,0,0,7,1,1,0,0,0,0,0,0,49,0,926,0,0,0,711,0,0,1,0,0,0,26,795,0,5,0,0,0,0,0,0,0,1,0,0,3,40,0,0,0,1580,0
OTU_1224,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,8,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,20,0,0,0
OTU_504,24,0,0,0,0,54,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,10,1,51,0,0,0,0,0,0,77,1,39,8,0,0,8,0,0,0,0,0,0,0,0,13,0,0,17,0,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0
OTU_253,4,3,0,0,0,0,396,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,77,0,2,0,3,0,0,0,0,53,61,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,1,129,0,0,0,0,0,130,1,0,0,0,0,0
OTU_516,9,0,0,0,0,67,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,0,0,0,0,0,0,2,0,0,0,0,59,0,26,2,0,0,0,0,0,0,0,23,0,0,0,7,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,2,3,0,0,34,0,164,0,0,0,0
OTU_74,62,2,54,2,103,41,7,9,92,32,6,1,60,135,131,23,9,37,36,0,0,0,135,7,60,97,0,148,62,52,19,3,22,0,4,3,70,18,90,0,30,0,0,0,4,0,20,48,1,0,1,9,8,0,0,2,20,0,3,18,261,3,12,8,7,72,0,56,84,4,42,2519,2789,427,4,7,342,125,0,0,0
OTU_384,0,1,0,0,130,0,1,0,19,0,4,0,0,0,0,0,20,0,0,0,0,0,0,55,0,33,1,0,1,14,0,58,28,11,0,4,0,27,0,10,0,2,15,0,0,0,13,0,0,0,0,0,2,0,1,21,9,5,3,3,0,0,0,0,0,0,0,28,13,0,83,35,0,0,47,0,0,15,0,0,0
OTU_612,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,36,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
OTU_150,0,0,0,14,0,0,0,101,0,0,0,3,0,0,0,0,0,0,0,270,0,0,0,0,1,0,532,1,0,0,0,0,0,0,221,1,3,0,0,0,0,0,0,0,0,0,0,0,0,425,0,0,0,275,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0
OTU_1240,0,9,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,1,0,0,89,0,0,0,0,0,90,0,150,0,12,0,0,0,78,1,0,0,0,0,0,0,0,0,7,0,0,12,0,0,0,0,0,3,0,0,0,0,0,3,0,0,10,0,0,0,29,0,0,0
OTU_3,17,12,0,0,1,5,1,0,29,1036,0,3,1,5,2,0,1,0,114,0,0,0,5,4,26506,2,0,2,262,0,333,83,0,1,0,1,4634,43,517,95,1,37,8,0,0,91,12,1,1751,0,0,12,0,0,0,4,0,0,12,0,2,0,0,49,0,0,0,0,0,4,0,0,4180,815,0,0,1547,43,0,1,0
OTU_2,0,2093,2,0,145,5,4045,0,88,1,3670,1,367,1292,35,2,3551,12,5,0,0,0,4,15294,3,3523,2,63,92,1109,5,8491,922,1172,1,3,2,10501,0,5807,37,2378,68,9,0,0,157,0,0,1,52,0,1729,0,8,710,15,1101,851,318,0,0,0,12,0,15,0,4896,671,44,1696,10421,3,182,1736,3,4,653,13,0,0
OTU_62,183,0,43,0,0,185,0,0,0,11,0,0,0,0,0,53,0,0,18,0,0,0,1,0,109,0,0,0,178,0,304,0,0,0,0,0,498,0,694,0,116,0,0,0,41,0,0,50,38,0,0,91,0,0,0,0,0,0,0,0,6,0,83,39,14,0,32,1,0,0,0,0,737,503,0,0,1912,0,16,0,0
OTU_20,0,2,0,0,4,7,0,0,0,223,0,8509,0,1,0,0,0,0,960,1,0,0,1,0,2458,2,0,0,134,0,1,1,1,0,0,520,98,0,109,0,2,0,0,0,45,131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,1,24,0,0,71,0,0,0,43,0
OTU_29,0,3909,2,0,14,1,84,0,0,0,5,0,23,0,0,1,59,2,0,0,0,0,0,51,1,255,0,46,0,24,0,122,88,24,0,0,1,582,0,1199,4,606,1707,19,8,0,154,0,0,0,17,0,0,0,8,127,21,189,218,9,0,0,0,0,0,0,0,859,11,16,4824,380,1,6,55,1,1,248,1,0,0
OTU_38,402,0,91,94,0,104,0,82,0,126,0,55,0,0,0,30,0,0,39,5,0,0,437,0,268,0,450,0,78,0,139,0,0,0,298,0,670,0,1037,0,85,0,0,0,210,9,0,194,33,16,0,226,0,24,0,0,0,0,0,0,92,9,121,99,68,0,42,0,0,0,0,0,1791,938,0,329,3112,0,435,58,0
OTU_77,3,0,0,2,0,0,421,0,0,0,105,4,0,0,0,0,0,0,0,0,0,0,37,614,1,1,30,6,40,0,2,2,2111,103,1,85,0,1,0,0,0,0,0,0,0,0,5,0,148,0,0,0,0,0,0,0,10,402,2,0,1,0,0,0,0,0,0,10,342,2,0,9,0,0,1327,4,1,0,0,5,0
OTU_6,424,0,1355,0,0,256,0,0,0,196,0,0,0,0,0,1096,0,0,135,0,0,0,2,0,325,1,0,2,2825,1,4756,0,0,1,0,1,2233,0,1892,0,1664,0,0,0,1008,11,0,111,72,0,0,533,0,0,0,0,0,0,0,0,12,0,1156,196,728,0,472,0,0,2,0,0,2623,4066,0,2,11532,0,1161,0,0
OTU_1404,0,68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,1,0,0,1,0
OTU_240,14,0,0,0,0,69,11,0,37,8,3,0,0,0,0,0,32,49,22,0,0,0,0,10,62,23,0,33,0,33,0,27,5,12,0,0,136,32,148,7,0,1,6,0,0,0,44,4,12,0,0,51,19,0,21,2,0,0,4,0,4,0,0,12,0,0,0,17,22,0,35,9,36,0,28,0,69,32,0,0,0
OTU_650,0,0,0,0,0,0,0,0,4,0,0,0,0,0,34,0,5,0,0,0,0,0,0,0,0,67,0,40,0,32,1,26,0,0,0,0,0,11,0,4,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,5,0,51,0,10,55,52,0,0,0,0,0,51,0,0,0
OTU_30,30,0,57,0,29,131,187,0,241,2308,106,219,0,1,0,154,57,29,0,0,4,0,1,196,65,71,0,31,122,60,8,694,146,32,1,4,39,280,417,123,93,12,10,0,0,1,75,21,0,0,2,1414,0,0,5,121,11,260,28,0,4,0,0,1599,0,0,1,15,48,1,223,27,44,259,472,308,0,375,140,1082,0
OTU_16,463,0,0,241,0,171,0,291,0,42,0,0,0,1,0,9,0,0,10,13,0,0,2238,1,78,0,3135,2,4,1,48,1,0,0,2315,7,167,2,402,0,11,0,0,0,36,9,0,587,4,5,0,125,0,15,0,0,4,0,0,0,115,21,16,128,21,0,0,2,0,1,0,0,79,0,0,6534,356,8,0,534,0
OTU_696,0,229,1,0,3,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,7,0,0,0,0,0,0,0,0,0
OTU_41,7,0,147,0,0,0,1,0,1,0,45,0,1,44,0,1549,0,0,0,0,0,0,2,130,2,4,0,2,1229,3,134,2,73,3,1,20,1,4,0,2,636,0,4,85,0,0,0,1,0,0,15,0,0,0,0,0,7,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,667,3212,22,2,0,198,0,0
OTU_182,0,0,0,291,0,2,4,207,0,0,0,0,0,0,0,0,0,0,0,124,0,0,61,1,1,1,253,0,0,1,1,1,1,2,124,20,0,0,0,0,3,0,0,0,0,0,0,0,0,92,0,0,0,133,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,18,1,0
OTU_4,0,0,0,6231,0,0,0,1211,0,0,0,2,0,1,1,0,0,0,15,3508,11,0,3641,1,0,0,2888,1,0,2,0,0,0,2,1946,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4702,0,1,0,4683,0,0,46,0,0,0,0,5422,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,19,0
OTU_39,179,0,0,3,0,201,0,6,0,19,0,1,0,0,0,0,0,0,0,0,0,0,3,1,552,0,34,0,0,1,1,0,0,0,10,52,861,0,619,0,1,0,0,0,0,1,0,209,0,0,0,19,0,2,0,0,0,0,0,0,530,0,3,16,0,0,0,0,0,0,0,0,219,1,0,8,4512,0,0,1,0
OTU_110,311,0,5,0,0,0,0,0,0,51,0,0,0,0,0,76,0,0,7,0,0,0,0,1,65,0,2,0,103,0,198,0,0,1,0,0,173,0,140,0,63,0,0,0,0,0,0,498,4,0,0,32,0,0,0,0,0,0,0,0,371,0,84,17,8,0,10,0,0,0,0,0,117,254,0,0,416,0,18,0,0
