rxn.number,e.acceptor,e.donor,reactant.a ,reactant.b,reactant.c,reactant.d,product.e,product.f,product.g,product.h,product.i,e.transfer,coeff.a,coeff.b,coeff.c,coeff.d,coeff.e,coeff.f,coeff.g,coeff.h,coeff.i,state.a,state.b,state.c,state.d,state.e,state.f,state.g,state.h,state.i
1,pyrolusite,H2,pyrolusite,H2,H+,,Mn+2,H2O,,,,2,-1,-1,-2,,1,2,,,,cr,gas,aq,,aq,liq,,,
2,pyrolusite,HS-,pyrolusite,HS-,H+,,Mn+2,sulfur,H2O,,,2,-1,-1,-3,,1,1,2,,,cr,aq,aq,,aq,cr,liq,,
3,pyrolusite,NH4+,pyrolusite,NH4+,H+,,Mn+2,NO2-,H2O,,,6,-3,-1,-4,,3,1,4,,,cr,aq,aq,,aq,aq,liq,,
4,pyrolusite,CH4,pyrolusite,CH4,H+,,Mn+2,HCO3-,H2O,,,8,-4,-1,-7,,4,1,5,,,cr,gas,aq,,aq,aq,liq,,
5,pyrolusite,Fe+2,pyrolusite,Fe+2,H2O,,Mn+2,ferrihydrite,H+,,,2,-1,-2,-2,,1,2,2,,,cr,aq,liq,,aq,cr,aq,,
6,pyrolusite,sulfur,pyrolusite,sulfur,H+,,Mn+2,SO4-2,H2O,,,6,-3,-1,-4,,3,1,2,,,cr,cr,aq,,aq,aq,liq,,
7,pyrolusite,acetate,pyrolusite,acetate,H+,,Mn+2,HCO3-,H2O,,,8,-4,-1,-7,,4,2,4,,,cr,aq,aq,,aq,aq,liq,,
8,magnetite,H2,magnetite,H2,H+,,Fe+2,H2O,,,,2,-1,-1,-6,,3,4,,,,cr,gas,aq,,aq,liq,,,
9,magnetite,HS-,magnetite,HS-,H+,,Fe+2,sulfur,H2O,,,2,-1,-1,-7,,3,1,4,,,cr,aq,aq,,aq,cr,liq,,
10,magnetite,NH4+,magnetite,NH4+,H+,,Fe+2,NO2-,H2O,,,6,-3,-1,-16,,9,1,10,,,cr,aq,aq,,aq,aq,liq,,
11,magnetite,CH4,magnetite,CH4,H+,,Fe+2,HCO3-,H2O,,,8,-4,-1,-23,,12,1,13,,,cr,gas,aq,,aq,aq,liq,,
12,magnetite,sulfur,magnetite,sulfur,H+,,Fe+2,SO4-2,H2O,,,6,-3,-1,-16,,9,1,8,,,cr,cr,aq,,aq,aq,liq,,
13,magnetite,acetate,magnetite,acetate,H+,,Fe+2,HCO3-,H2O,,,8,-4,-1,-23,,12,2,12,,,cr,aq,aq,,aq,aq,liq,,
14,magnetite,Mn+2,magnetite,Mn+2,H+,,Fe+2,manganite,,,,2,-1,-2,-2,,3,2,,,,cr,aq,aq,,aq,cr,,,
15,gypsum,H2,gypsum,H2,H+,,HS-,Ca+2,H2O,,,8,-1,-4,-1,,1,1,6,,,cr,gas,aq,,aq,aq,liq,,
16,gypsum,HS-,gypsum,HS-,H+,,sulfur,Ca+2,H2O,,,8,-1,-3,-5,,1,1,6,,,cr,aq,aq,,cr,aq,liq,,
17,gypsum,NH4+,gypsum,NH4+,,,HS-,NO2-,Ca+2,H2O,H+,24,-3,-4,,,3,4,3,10,5,cr,aq,,,aq,aq,aq,liq,aq
