"","Site","DeltaG_norm","rxn.number","mineral"
"1","DeMMO1 ",-78.714971,1,"pyrolusite"
"2","DeMMO1 ",-62.2326315,2,"pyrolusite"
"3","DeMMO1 ",-34.9386368333333,3,"pyrolusite"
"4","DeMMO1 ",-77.086552875,4,"pyrolusite"
"5","DeMMO1 ",-48.0499025,5,"pyrolusite"
"6","DeMMO1 ",-78.5223538333333,6,"pyrolusite"
"7","DeMMO1 ",-86.913958125,7,"pyrolusite"
"8","DeMMO1 ",-8.603334,8,"magnetite"
"9","DeMMO1 ",7.879005,9,"magnetite"
"10","DeMMO1 ",35.1729998333333,10,"magnetite"
"11","DeMMO1 ",-6.97491625,11,"magnetite"
"12","DeMMO1 ",-8.41071733333333,12,"magnetite"
"13","DeMMO1 ",-16.8023215,13,"magnetite"
"14","DeMMO1 ",NA,14,"magnetite"
"15","DeMMO1 ",-5.031177625,15,"gypsum"
"16","DeMMO1 ",11.278978875,16,"gypsum"
"17","DeMMO1 ",38.7451565,17,"gypsum"
"18","DeMMO1 ",-3.402759625,18,"gypsum"
"19","DeMMO1 ",25.633890625,19,"gypsum"
"20","DeMMO1 ",-5.064696375,20,"gypsum"
"21","DeMMO1 ",-13.908572,21,"gypsum"
"22","DeMMO1 ",NA,22,"gypsum"
"23","DeMMO1 ",-67.416702,23,"siderite"
"24","DeMMO1 ",26.06711275,24,"siderite"
"25","DeMMO1 ",-4.757577,25,"hematite"
"26","DeMMO1 ",11.7247625,26,"hematite"
"27","DeMMO1 ",39.0187571666667,27,"hematite"
"28","DeMMO1 ",-3.129159,28,"hematite"
"29","DeMMO1 ",-4.56496,29,"hematite"
"30","DeMMO1 ",-12.95656425,30,"hematite"
"31","DeMMO1 ",NA,31,"hematite"
"32","DeMMO1 ",-89.61846875,32,"pyrite"
"33","DeMMO1 ",6.50197575,33,"pyrite"
"34","DeMMO2 ",-85.1312775,1,"pyrolusite"
"35","DeMMO2 ",-70.72899,2,"pyrolusite"
"36","DeMMO2 ",-39.8898255,3,"pyrolusite"
"37","DeMMO2 ",-83.6547545,4,"pyrolusite"
"38","DeMMO2 ",-54.7922255,5,"pyrolusite"
"39","DeMMO2 ",-86.2487748333333,6,"pyrolusite"
"40","DeMMO2 ",-93.562797625,7,"pyrolusite"
"41","DeMMO2 ",-8.07596,8,"magnetite"
"42","DeMMO2 ",6.326328,9,"magnetite"
"43","DeMMO2 ",37.1654921666667,10,"magnetite"
"44","DeMMO2 ",-6.59943675,11,"magnetite"
"45","DeMMO2 ",-9.19345716666667,12,"magnetite"
"46","DeMMO2 ",-16.507479875,13,"magnetite"
"47","DeMMO2 ",NA,14,"magnetite"
"48","DeMMO2 ",-4.12964675,15,"gypsum"
"49","DeMMO2 ",10.12466875,16,"gypsum"
"50","DeMMO2 ",41.1118051666667,17,"gypsum"
"51","DeMMO2 ",-2.65312375,18,"gypsum"
"52","DeMMO2 ",26.209405,19,"gypsum"
"53","DeMMO2 ",-5.47495529166667,20,"gypsum"
"54","DeMMO2 ",-13.24460025,21,"gypsum"
"55","DeMMO2 ",NA,22,"gypsum"
"56","DeMMO2 ",-70.082699,23,"siderite"
"57","DeMMO2 ",25.612115375,24,"siderite"
"58","DeMMO2 ",-4.4141835,25,"hematite"
"59","DeMMO2 ",9.9881045,26,"hematite"
"60","DeMMO2 ",40.8272686666667,27,"hematite"
"61","DeMMO2 ",-2.93766025,28,"hematite"
"62","DeMMO2 ",-5.53168066666667,29,"hematite"
"63","DeMMO2 ",-12.845703375,30,"hematite"
"64","DeMMO2 ",NA,31,"hematite"
"65","DeMMO2 ",-90.9959429375,32,"pyrite"
"66","DeMMO2 ",5.9847974375,33,"pyrite"
"67","DeMMO3 ",-79.18755,1,"pyrolusite"
"68","DeMMO3 ",-63.899405,2,"pyrolusite"
"69","DeMMO3 ",-35.6351516666667,3,"pyrolusite"
"70","DeMMO3 ",-77.52142375,4,"pyrolusite"
"71","DeMMO3 ",-47.461985,5,"pyrolusite"
"72","DeMMO3 ",-78.15938,6,"pyrolusite"
"73","DeMMO3 ",-86.6661675,7,"pyrolusite"
"74","DeMMO3 ",-9.846285,8,"magnetite"
"75","DeMMO3 ",5.44186,9,"magnetite"
"76","DeMMO3 ",33.7061133333333,10,"magnetite"
"77","DeMMO3 ",-8.18015875,11,"magnetite"
"78","DeMMO3 ",-8.818115,12,"magnetite"
"79","DeMMO3 ",-17.3249025,13,"magnetite"
"80","DeMMO3 ",NA,14,"magnetite"
"81","DeMMO3 ",-4.87812,15,"gypsum"
"82","DeMMO3 ",10.306195,16,"gypsum"
"83","DeMMO3 ",38.6742791666667,17,"gypsum"
