"","Site","Tube","Date.Deployed","Date.Collected","Mineral","Experiment","Type","Duration.days","Cell.density.sq.mm","cells.counted","X","X.1","X.2","Exp.Type","Date","Site.Date"
"1","D1","7 Large","2017-08-31","18-Apr-18","calcite","mineral","Exp",231,447.0655985,29,NA,NA,NA,"calcite.mineral","2017-08","D1.2017-08"
"2","D1","7 Large","2017-08-31","18-Apr-18","calcite","mineral","Rep",231,2016.09589,192,NA,NA,NA,"calcite.mineral","2017-08","D1.2017-08"
"3","D1","7 Large","2017-08-31","18-Apr-18","calcite","control","Internal Control",231,875.39681,81,NA,NA,NA,"calcite.control","2017-08","D1.2017-08"
"4","D1","9 Large","2017-08-31","18-Apr-18","muscovite","mineral","Exp",231,6939.881357,449,NA,NA,NA,"muscovite.mineral","2017-08","D1.2017-08"
"5","D1","9 Large","2017-08-31","18-Apr-18","muscovite","mineral","Rep",231,5523.557849,298,NA,NA,NA,"muscovite.mineral","2017-08","D1.2017-08"
"6","D1","9 Large","2017-08-31","18-Apr-18","muscovite","control","Internal Control",231,937.5445919,75,NA,NA,NA,"muscovite.control","2017-08","D1.2017-08"
"7","D1","12 Large","2017-08-31","18-Apr-18","sand","Control","Control",231,48192.76185,1559,NA,NA,NA,"sand.control","2017-08","D1.2017-08"
"8","D1","12 Large","2017-08-31","18-Apr-18","sand","control","Control Rep",231,NA,NA,NA,NA,NA,"sand.control","2017-08","D1.2017-08"
"9","D1","SC 1","2017-08-31","18-Apr-18","pyrolusite","mineral","exp",231,52349.6786,4155,NA,NA,NA,"pyrolusite.mineral","2017-08","D1.2017-08"
"10","D1","SC 1","2017-08-31","18-Apr-18","pyrolusite","control","Internal Control",231,21472.98779,1684,NA,NA,NA,"pyrolusite.control","2017-08","D1.2017-08"
"11","D1","SC 2","2017-08-31","18-Apr-18","siderite","mineral","Exp",231,10737.033,472,NA,NA,NA,"siderite.mineral","2017-08","D1.2017-08"
"12","D1","SC 2","2017-08-31","18-Apr-18","siderite","control","Internal Control",231,9975.474458,760,NA,NA,NA,"siderite.control","2017-08","D1.2017-08"
"13","D1","SC 3","2017-08-31","18-Apr-18","pyrite","mineral","exp",231,3649.210184,323,NA,NA,NA,"pyrite.mineral","2017-08","D1.2017-08"
"14","D1","SC 3","2017-08-31","18-Apr-18","pyrite","control","Internal Control",231,12075.57434,828,NA,NA,NA,"pyrite.control","2017-08","D1.2017-08"
"15","D1","SC 4","2017-08-31","18-Apr-18","hematite","mineral","exp",231,16096.48157,1440,NA,NA,NA,"hematite.mineral","2017-08","D1.2017-08"
"16","D1","SC 4","2017-08-31","18-Apr-18","hematite","control","Internal Control",231,9141.016013,839,NA,NA,NA,"hematite.control","2017-08","D1.2017-08"
"17","D1","SC 5","2017-08-31","18-Apr-18","magnetite","mineral","exp",231,3220.357189,283,NA,NA,NA,"magnetite.mineral","2017-08","D1.2017-08"
"18","D1","SC 5","2017-08-31","18-Apr-18","magnetite","control","Internal Control",231,67669.88521,2320,NA,NA,NA,"magnetite.control","2017-08","D1.2017-08"
"19","D1","SC 10","2017-08-31","18-Apr-18","sand","Control","Control",231,23292.01692,1952,NA,NA,NA,"sand.control","2017-08","D1.2017-08"
"20","D1","SC 10","2017-08-31","18-Apr-18","sand","control","Control Rep",231,69828.3212,2660,NA,NA,NA,"sand.control","2017-08","D1.2017-08"
"21","D1","A","2017-11-30","18-Apr-18","pyrolusite","mineral","Exp",201,3237.371575,210,NA,NA,NA,"pyrolusite.mineral","2017-11","D1.2017-11"
"22","D1","A","2017-11-30","18-Apr-18","pyrolusite","control","Internal Control",201,1920.727219,128,NA,NA,NA,"pyrolusite.control","2017-11","D1.2017-11"
"23","D1","C","2017-11-30","18-Apr-18","pyrite","mineral","Exp",201,10082.10005,327,NA,NA,NA,"pyrite.mineral","2017-11","D1.2017-11"
"24","D1","C","2017-11-30","18-Apr-18","pyrite","control","Internal Control",201,1978.151447,151,NA,NA,NA,"pyrite.control","2017-11","D1.2017-11"
"25","D1","D","2017-11-30","18-Apr-18","hematite","mineral","Exp",201,1125.372024,73,NA,NA,NA,"hematite.mineral","2017-11","D1.2017-11"
"26","D1","D","2017-11-30","18-Apr-18","hematite","control","Internal Control",201,5814.276475,284,NA,NA,NA,"hematite.control","2017-11","D1.2017-11"
"27","D1","E","2017-11-30","18-Apr-18","magnetite","mineral","Exp",201,940.3793624,61,NA,NA,NA,"magnetite.mineral","2017-11","D1.2017-11"
"28","D1","E","2017-11-30","18-Apr-18","magnetite","control","Internal Control",201,2514.593284,182,NA,NA,NA,"magnetite.control","2017-11","D1.2017-11"
"29","D1","F","2017-11-30","18-Apr-18","sand","Control","Control",201,2675.127236,214,NA,NA,NA,"sand.control","2017-11","D1.2017-11"
"30","D1","F","2017-11-30","18-Apr-18","sand","control","control rep",201,17434.71307,564,NA,NA,NA,"sand.control","2017-11","D1.2017-11"
"31","D3","7","2017-02-15","11-May-17","pyrolusite","mineral","Exp",85,9804.611057,318,NA,NA,NA,"pyrolusite.mineral","2017-02","D3.2017-02"
"32","D3","7","2017-02-15","11-May-17","pyrolusite","mineral","Rep",85,4087.334231,119,NA,NA,NA,"pyrolusite.mineral","2017-02","D3.2017-02"
"33","D3","7","2017-02-15","11-May-17","pyrolusite","control","Internal Control",85,NA,NA,NA,NA,NA,"pyrolusite.control","2017-02","D3.2017-02"
"34","D3","8","2017-02-15","11-May-17","siderite","mineral","Exp",85,1526.189457,99,NA,NA,NA,"siderite.mineral","2017-02","D3.2017-02"
"35","D3","8","2017-02-15","11-May-17","siderite","mineral","Rep",85,902.6482656,73,NA,NA,NA,"siderite.mineral","2017-02","D3.2017-02"
"36","D3","8","2017-02-15","11-May-17","siderite","control","Internal Control",85,1437.43645,93,NA,NA,NA,"siderite.control","2017-02","D3.2017-02"
"37","D3","9","2017-02-15","11-May-17","pyrite","mineral","Exp",85,6690.567922,434,NA,NA,NA,"pyrite.mineral","2017-02","D3.2017-02"
"38","D3","9","2017-02-15","11-May-17","pyrite","mineral","Rep",85,3360.700016,218,NA,NA,NA,"pyrite.mineral","2017-02","D3.2017-02"
"39","D3","9","2017-02-15","11-May-17","pyrite","control","Internal Control",85,2004.087166,130,NA,NA,NA,"pyrite.control","2017-02","D3.2017-02"
"40","D3","10","2017-02-15","11-May-17","hematite","mineral","Exp",85,2004.087166,130,NA,NA,NA,"hematite.mineral","2017-02","D3.2017-02"
"41","D3","10","2017-02-15","11-May-17","hematite","mineral","Rep",85,421.5356159,30,NA,NA,NA,"hematite.mineral","2017-02","D3.2017-02"
"42","D3","10","2017-02-15","11-May-17","hematite","control","Internal Control",85,NA,NA,NA,NA,NA,"hematite.control","2017-02","D3.2017-02"
"43","D3","11","2017-02-15","11-May-17","magnetite","mineral","Exp",85,1680.350008,109,NA,NA,NA,"magnetite.mineral","2017-02","D3.2017-02"
"44","D3","11","2017-02-15","11-May-17","magnetite","mineral","Rep",85,16723.723,541,NA,NA,NA,"magnetite.mineral","2017-02","D3.2017-02"
"45","D3","11","2017-02-15","11-May-17","magnetite","control","Internal Control",85,1298.329697,84,NA,NA,NA,"magnetite.control","2017-02","D3.2017-02"
"46","D3","12","2017-02-15","11-May-17","sand","Control","Control",85,2225.708052,144,NA,NA,NA,"sand.control","2017-02","D3.2017-02"
"47","D3","12","2017-02-15","11-May-17","sand","control","Control Rep",85,1360.154921,88,NA,NA,NA,"sand.control","2017-02","D3.2017-02"
"48","D3","1 Large","2017-08-30","17-Apr-18","calcite","mineral","Exp",231,2040.232381,132,NA,NA,NA,"calcite.mineral","2017-08","D3.2017-08"
