site,depth_position,depth,variable,measurement,facet_order
D1,1,800,Temp,10.19,1
D3,2,2000,Temp,16.2363636,1
D6,3,4850,Temp,21.62,1
D1,1,800,ORP,-89.5,2
D3,2,2000,ORP,-28.181818,2
D6,3,4850,ORP,-244.2,2
D1,1,800,Fe2+,2.40666667,3
D3,2,2000,Fe2+,2.543,3
D6,3,4850,Fe2+,1.24666667,3
D1,1,800,S2-,1.44444444,3
D3,2,2000,S2-,9.9,3
D6,3,4850,S2-,75.2222222,3
D1,1,800,NO3-,0.26666667,3
D3,2,2000,NO3-,0.33,3
D6,3,4850,NO3-,0.3,3
D1,1,800,NH4+,0.06777778,3
D3,2,2000,NH4+,0.239,3
D6,3,4850,NH4+,0.07777778,3
D1,1,800,SO4-,328,3
D3,2,2000,SO4-,1655,3
D6,3,4850,SO4-,4219,3
D1,1,800,DOC,0.42625,4
D3,2,2000,DOC,0.2477,4
D6,3,4850,DOC,0.240375,4
D1,1,800,DIC,4.20918144,4
D3,2,2000,DIC,9.9557733,4
D6,3,4850,DIC,2.35854361,4
D1,1,800,cell density,2755.57143,5
D3,2,2000,cell density,6075.71429,5
D6,3,4850,cell density,231552.571,5
D1,1,800,H2,0.11863655,6
D3,2,2000,H2,0.26656016,6
D6,3,4850,H2,0.30433561,6
D1,1,800,CH4,0.4833778,6
D3,2,2000,CH4,0.26736737,6
D6,3,4850,CH4,314.299377,6
,1,,,,
,2,,,,
,3,,,,
