Site,Query_Seq_ID,Hit_Seq_ID,GTDBtk_taxonomy
DeMMO4,OTU_1008,DeMMO4_16,D_0__Bacteria; D_1__Planctomycetes; D_2__Planctomycetacia; D_3__Planctomycetales; D_4__Planctomycetaceae; D_5__Candidatus Brocadiae
DeMMO1,OTU_1011,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria
DeMMO5,OTU_1015,DeMMO5_10,D_0__Bacteria; D_1__Eremiobacteria
DeMMO2,OTU_1023,DeMMO2_23,D_0__Bacteria; D_1__Patescibacteria
DeMMO4,OTU_1075,DeMMO4_5,D_0__Bacteria; D_1__Bacteroidetes; D_2__D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteria; D_3__D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteriales; D_4__D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteriaceae; D_5__Ignavibacterium 
DeMMO1,OTU_1079,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO1,OTU_1098,DeMMO1_19,D_0__Bacteria; D_1__Chlamydiae; D_2__Chlamydiae; D_3__Parachlamydiales
DeMMO2,OTU_1104,DeMMO2_9,D_0__Bacteria; D_1__Planctomycetes; D_2__Phycisphaerae
DeMMO1,OTU_1106,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO4,OTU_111,DeMMO4_16,D_0__Bacteria; D_1__Planctomycetes; D_2__Planctomycetacia; D_3__Planctomycetales; D_4__Planctomycetaceae; D_5__Candidatus Brocadiae
DeMMO3,OTU_1164,DeMMO3_7,D_0__Bacteria; D_1__Goldbacteria
DeMMO2,OTU_1169,DeMMO2_9,D_0__Bacteria; D_1__Planctomycetes; D_2__Phycisphaerae
DeMMO6,OTU_120,DeMMO6_50,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Unclassified; D_4__Microgenomates
DeMMO2,OTU_1205,DeMMO2_23,D_0__Bacteria; D_1__Patescibacteria
DeMMO2,OTU_1217,DeMMO2_9,D_0__Bacteria; D_1__Planctomycetes; D_2__Phycisphaerae
DeMMO2,OTU_1219,DeMMO2_33,D_0__Bacteria; D_1__Omnitrophicaeota
DeMMO3,OTU_1235,DeMMO3_34,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO3,OTU_1249,DeMMO3_54,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Unclassified; D_4__Microgenomates
DeMMO6,OTU_1261,DeMMO6_41,D_0__Bacteria; D_1__Patescibacteria
DeMMO5,OTU_1263,DeMMO5_37-#2,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO2,OTU_1278,DeMMO2_20,D_0__Bacteria; D_1__Omnitrophicaeota
DeMMO5,OTU_1285,DeMMO5_10,D_0__Bacteria; D_1__Eremiobacteria
DeMMO5,OTU_1306,DeMMO5_5,D_0__Bacteria; D_1__Actinobacteria
DeMMO2,OTU_1312,DeMMO2_23,D_0__Bacteria; D_1__Patescibacteria
DeMMO3,OTU_1318,DeMMO3_7,D_0__Bacteria; D_1__Goldbacteria
DeMMO3,OTU_1364,DeMMO3_7,D_0__Bacteria; D_1__Goldbacteria
DeMMO3,OTU_1377,DeMMO3_67,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO2,OTU_1428,DeMMO2_27,D_0__Bacteria; D_1__Patescibacteria
DeMMO4,OTU_1430,DeMMO4_5,D_0__Bacteria; D_1__Bacteroidetes; D_2__D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteria; D_3__D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteriales; D_4__D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteriaceae; D_5__Ignavibacterium 
DeMMO2,OTU_1444,DeMMO2_25,D_0__Bacteria; D_1__Patescibacteria
DeMMO5,OTU_145,DeMMO5_45,D_0__Bacteria; D_1__Patescibacteria
DeMMO2,OTU_1507,DeMMO2_23,D_0__Bacteria; D_1__Patescibacteria
DeMMO2,OTU_1508,DeMMO2_19,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO3,OTU_151,DeMMO3_67,D_0__Bacteria; D_1__Patescibacteria
DeMMO5,OTU_1513,DeMMO5_10,D_0__Bacteria; D_1__Eremiobacteria
DeMMO2,OTU_1524,DeMMO2_23,D_0__Bacteria; D_1__Patescibacteria
DeMMO4,OTU_1530,DeMMO4_5,D_0__Bacteria; D_1__Bacteroidetes; D_2__D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteria; D_3__D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteriales; D_4__D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteriaceae; D_5__Ignavibacterium 
DeMMO6,OTU_1532,DeMMO6_54,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Unclassified; D_4__Microgenomates
DeMMO2,OTU_1540,DeMMO2_48,D_0__Bacteria; D_1__Falkowbacteria
DeMMO3,OTU_1587,DeMMO3_34,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO5,OTU_1588,DeMMO5_37-#2,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO2,OTU_160,DeMMO2_23,D_0__Bacteria; D_1__Patescibacteria
DeMMO3,OTU_161,DeMMO3_34,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO3,OTU_164,DeMMO3_17,D_0__Bacteria; D_1__Omnitrophicaeota
DeMMO2,OTU_168,DeMMO2_23,D_0__Bacteria; D_1__Patescibacteria
DeMMO1,OTU_1690,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria
DeMMO5,OTU_173,DeMMO5_45,D_0__Bacteria; D_1__Patescibacteria
DeMMO2,OTU_1735,DeMMO2_33,D_0__Bacteria; D_1__Omnitrophicaeota
DeMMO2,OTU_1744,DeMMO2_5,D_0__Bacteria; D_1__Omnitrophicaeota
