Site,Tube,Date Deployed,Date Collected,Mineral,Experiment,Type,Duration.days,Cell.density.sq.cm,cells.counted
D1,7 Large,31-Aug-17,18-Apr-18,calcite,mineral,Exp,230,44706.55985,29
D1,7 Large,31-Aug-17,18-Apr-18,calcite,mineral,Rep,230,201609.589,192
D1,7 Large,31-Aug-17,18-Apr-18,calcite,control,Internal Control,230,87539.681,81
D1,9 Large,31-Aug-17,18-Apr-18,muscovite,mineral,Exp,230,693988.1357,449
D1,9 Large,31-Aug-17,18-Apr-18,muscovite,mineral,Rep,230,552355.7849,298
D1,9 Large,31-Aug-17,18-Apr-18,muscovite,control,Internal Control,230,93754.45919,75
D1,12 Large,31-Aug-17,18-Apr-18,sand,Control,Control,230,4819276.185,1559
D1,12 Large,31-Aug-17,18-Apr-18,sand,control,Control Rep,230,,NA
D1,SC 1,31-Aug-17,18-Apr-18,pyrolusite,mineral,exp,230,5234967.86,4155
D1,SC 1,31-Aug-17,18-Apr-18,pyrolusite,control,Internal Control,230,2147298.779,1684
D1,SC 2,31-Aug-17,18-Apr-18,siderite,mineral,Exp,230,1073703.3,472
D1,SC 2,31-Aug-17,18-Apr-18,siderite,control,Internal Control,230,997547.4458,760
D1,SC 3,31-Aug-17,18-Apr-18,pyrite,mineral,exp,230,364921.0184,323
D1,SC 3,31-Aug-17,18-Apr-18,pyrite,control,Internal Control,230,1207557.434,828
D1,SC 4,31-Aug-17,18-Apr-18,hematite,mineral,exp,230,1609648.157,1440
D1,SC 4,31-Aug-17,18-Apr-18,hematite,control,Internal Control,230,914101.6013,839
D1,SC 5,31-Aug-17,18-Apr-18,magnetite,mineral,exp,230,322035.7189,283
D1,SC 5,31-Aug-17,18-Apr-18,magnetite,control,Internal Control,230,6766988.521,2320
D1,SC 10,31-Aug-17,18-Apr-18,sand,Control,Control,230,2329201.692,1952
D1,SC 10,31-Aug-17,18-Apr-18,sand,control,Control Rep,230,6982832.12,2660
D1,A,30-Nov-17,18-Apr-18,Pyrolusite,mineral,Exp,139,323737.1575,210
D1,A,30-Nov-17,18-Apr-18,pyrolusite,control,Internal Control,139,192072.7219,128
D1,C,30-Nov-17,18-Apr-18,Pyrite,mineral,Exp,139,1008210.005,327
D1,C,30-Nov-17,18-Apr-18,pyrite,control,Internal Control,139,197815.1447,151
D1,D,30-Nov-17,18-Apr-18,Hematite,mineral,Exp,139,112537.2024,73
D1,D,30-Nov-17,18-Apr-18,hematite,control,Internal Control,139,581427.6475,284
D1,E,30-Nov-17,18-Apr-18,Magnetite,mineral,Exp,139,94037.93624,61
D1,E,30-Nov-17,18-Apr-18,magnetite,control,Internal Control,139,251459.3284,182
D1,F,30-Nov-17,18-Apr-18,sand,Control,Control,139,267512.7236,214
D1,F,30-Nov-17,18-Apr-18,sand,control,control rep,139,1743471.307,564
D3,7,15-Feb-17,11-May-17,Pyrolusite,mineral,Exp,85,980461.1057,318
D3,7,15-Feb-17,11-May-17,Pyrolusite,mineral,Rep,85,408733.4231,119
D3,7,15-Feb-17,11-May-17,pyrolusite,control,Internal Control,85,,NA
D3,8,15-Feb-17,11-May-17,Siderite,mineral,Exp,85,152618.9457,99
D3,8,15-Feb-17,11-May-17,Siderite,mineral,Rep,85,90264.82656,73
D3,8,15-Feb-17,11-May-17,siderite,control,Internal Control,85,143743.645,93
D3,9,15-Feb-17,11-May-17,Pyrite,mineral,Exp,85,669056.7922,434
D3,9,15-Feb-17,11-May-17,Pyrite,mineral,Rep,85,336070.0016,218
D3,9,15-Feb-17,11-May-17,pyrite,control,Internal Control,85,200408.7166,130
D3,10,15-Feb-17,11-May-17,Hematite,mineral,Exp,85,200408.7166,130
D3,10,15-Feb-17,11-May-17,Hematite,mineral,Rep,85,42153.56159,30
D3,10,15-Feb-17,11-May-17,hematite,control,Internal Control,85,,NA
D3,11,15-Feb-17,11-May-17,Magnetite,mineral,Exp,85,168035.0008,109
D3,11,15-Feb-17,11-May-17,Magnetite,mineral,Rep,85,1672372.3,541
D3,11,15-Feb-17,11-May-17,magnetite,control,Internal Control,85,129832.9697,84
D3,12,15-Feb-17,11-May-17,sand,Control,Control,85,222570.8052,144
D3,12,15-Feb-17,11-May-17,sand,control,Control Rep,85,136015.4921,88
D3,1 Large,30-Aug-17,17-Apr-18,calcite,mineral,Exp,230,204023.2381,132
