,sequences per sample,iteration,NU.39.DeMMO6.5mmPyrex.Sep2016,NU.18.DeMMO3.Steri.Dec2015,NU.25.DeMMO1.D1.sand.Sep2016,NU.54.4800.D1.SlideBlank.Sep2016,NU.44.DeMMO3.D1.wool.Sep2016,NU.45.DeMMO3.D1.sand.Sep2016,NU.48.800.D1.SlideBlank.Sep2016,NU.03.DeMMO6.Steri.2.092316,NU.37.DeMMO6.D1.sand.Sep2016,NU.05.DeMMO3.Steri.2.092116,NU.11.DeMMO6.Steri.2.120716,NU.26.DeMMO1.D1.3mmPyrex.Sep2016,NU.12.DeMMO3.Steri.1.120816,NU.36.DeMMO6.D1.wool.Sep2016,NU.24.DeMMO1.D1.wool.Sep2016,NU.15.DeMMO1.Steri.120715,NU.01.DeMMO1.Steri.1.092016,NU.46.DeMMO3.D1.3mmPyrex.Sep2016,NU.47.DeMMO3.D1.5mmPyrex.Sep2016,NU.14.DeMMO1.Steri.1.120916,NU.38.DeMMO6.D1.3mmPyrex.Sep2016,NU.20.DeMMO6.Steri.120815,NU.27.DeMMO1.D1.5mmPyrex.Sep2016,34.DeMMO3.T11.bottom.051117,9.DeMMO3.Steri.051117,25.DuselD.T9.bottom.082917,26.DeMMO3.T7.bottom.051117,11.DeMMO3.T2.bottom.083017,25.DeMMO3.T7.top.051117,22.DuselD.T8.top.082917,17.DeMMO3.T5.bottom.083017,24.DeMMO6.T6.bottom.051017,7.DeMMO1.Steri.050917,16.DeMMO3.T5.top.083017,27.DuselD.T10.bottom.082917,5.DeMMO6.Steri.021415,1.DeMMO1.steri.083117,28.DeMMO3.T8.bottom.051117,27.DeMMO3.T8.top.051117,24.DuselD.T9.top.082917,36.DeMMO3.T12.bottom.051117,32.DeMMO3.T10.bottom.051117,16.DeMMO6.T2.bottom.051017,10.DeMMO3.T2.top.083017,23.DuselD.T8.bottom.082917,18.DuselD.T6.top.082917,13.DeMMO6.T1.top.051017,15.DeMMO3.T4.bottom.083017,1.DeMMO1.Steri.021517,30.DeMMO3.T9.bottom.051117,21.DuselD.T7.bottom.082917,6.DeMMO3.Steri.021517,3.DeMMO3.steri.083117,12.DeMMO6.Steri#2.051017,6.DeMMO6.steri.082917,26.DuselD.T10.top.082917,33.DeMMO3.T11.top.051117,9.DeMMO3.T1.bottom.083017,12.DeMMO3.T3.top.083017,19.DeMMO6.T4.top.051017,17.DeMMO6.T3.top.051017,20.DuselD.T7.top.082917,7.DuselD.steri.082917,22.DeMMO6.T5.bottom.051017,14.DeMMO3.T4.top.083017,20.DeMMO6.T4.bottom.051017,15.DeMMO6.T2.top.051017,18.DeMMO6.T3.bottom.051017,21.DeMMO6.T5.top.051017,29.DeMMO3.T9.top.051117,14.DeMMO6.T1.bottom.051017,19.DuselD.T6.bottom.082917,31.DeMMO3.T10.top.051117,13.DeMMO3.T3.bottom.083017,35.DeMMO3.T12.top.051117,8.DeMMO3.T1.top.083017,27.24790.AfterPacker.051616,30.DuselB.050416,34.4100L.DrillFluid.051716,18.10dash1.051816,32.DuselB.051916,14.24790.AfterDrilling.050516,15.24790.DitchFluid.050516,28.24790.071216,19.10dash1.071116,33.DuselB.071316,16.10dash1.050216,26.DeMMO1.SC1.top.041818,31.DeMMO1.SC7.top.041818,52.DeMMO3.B.top.041718,14.DeMMO3.steri.041718,53.DeMMO3.C.top.041718,56.DeMMO3.F.top.041718,30.DeMMO1.SC5.top.041818,41.DeMMO3.3.top.041718,22.DeMMO1.C.top.041818,21.DeMMO1.B.top.041818,42.DeMMO3.4.top.041718,18.800.DitchFluid.041818,55.DeMMO3.E.top.041718,47.DeMMO1.9.top.041818,54.DeMMO3.D.top.041718,34.DeMMO1.SC10.top.041818,20.DeMMO1.A.top.041818,45.DeMMO1.7.top.041818,40.DeMMO3.2.top.041718,43.DeMMO3.5.top.041718,1.DeMMO1.steri.113017,29.DeMMO1.SC4.top.041818,44.DeMMO3.6.top.041718,51.DeMMO3.A.top.041718,3.DeMMO3.steri.112717,12.DeMMO1.steri.041818,39.DeMMO3.1.top.041718,17.DeMMO6.041618,50.DeMMO1.12.top.041818,46.DeMMO1.8.top.041818,49.DeMMO1.11.top.041818,28.DeMMO1.SC3.top.041818,48.DeMMO1.10.top.041818,24.DeMMO1.E.top.041818,27.DeMMO1.SC2.top.041818,33.DeMMO1.SC9.top.041818,32.DeMMO1.SC8.top.041818,6.DeMMO6.steri.112817,23.DeMMO1.D.top.041818
alpha_rarefaction_500_0.txt,500,0,7.54546,14.57701,7.69804,8.82794,13.50844,15.04495,11.92952,7.33321,9.0217,19.21542,12.9108,10.28633,20.43179,9.58306,10.99952,17.96641,25.35075,11.8977,13.55703,33.78788,6.0329,6.83005,10.20403,18.54899,25.82752,12.74557,17.96313,13.87782,8.17249,11.86532,15.1279,14.03073,40.36742,21.24649,9.34791,13.68504,39.73723,20.43842,18.37482,12.80464,15.33987,18.13921,11.44833,17.52129,14.60493,9.32054,11.40058,18.91796,38.11883,19.01914,16.17592,25.8815,23.54654,12.39733,11.69702,16.1061,13.60207,15.70355,20.63596,13.27637,16.00422,11.46749,19.03623,12.97427,15.98627,12.901,11.6942,11.71109,14.48441,18.80863,9.43307,13.51412,14.74051,13.4893,16.60997,16.3849,17.10506,6.50738,21.12402,37.03916,7.42083,26.38325,40.71087,19.2183,32.16879,6.39901,28.10499,6.19564,6.10796,18.97611,27.055,20.92902,16.75529,12.6225,20.13642,17.98166,17.91577,18.27375,44.28246,20.13877,16.39376,19.06525,5.40179,14.21439,17.16093,22.83949,14.8966,36.89642,14.63528,21.81086,18.95608,24.90263,34.33428,23.12828,14.56706,21.08312,16.32472,14.51204,16.80123,16.65864,17.11556,16.22043,13.8533,5.96257,9.84614,17.0752
alpha_rarefaction_500_1.txt,500,1,6.89193,15.40976,10.10414,8.6015,14.34415,15.71499,12.75223,7.80249,9.98104,20.84757,14.11016,10.3446,20.27396,9.28744,12.00848,18.31992,24.55347,12.58016,13.41851,32.40791,6.55032,5.61544,9.78432,17.42836,21.01006,12.52646,19.0204,13.67787,7.03775,10.54794,17.17839,16.59573,39.44669,21.1425,10.49889,14.20946,41.83601,19.191,17.00681,14.26237,18.70676,17.90107,13.66426,17.32739,15.20092,9.84395,11.23031,20.4477,34.68155,18.14496,14.31617,27.07404,23.03531,10.96045,12.15876,14.85237,14.74588,13.96514,21.15915,10.82369,13.26353,12.74184,17.04154,13.70906,14.06537,11.40095,10.39718,12.95501,14.71456,19.10021,12.94544,14.5233,14.79982,13.53978,17.89511,19.62207,16.27856,7.03104,22.27229,35.40743,7.73058,28.00024,37.61054,19.71335,35.09399,6.44212,24.29418,6.62843,5.08697,20.44884,28.66143,18.1592,15.32984,11.64324,19.63762,17.34021,17.20386,20.0702,43.97808,23.04112,17.27537,20.03851,6.47658,13.74045,13.2616,21.85421,14.56554,37.04896,14.45027,20.43929,18.54547,23.89937,36.21047,24.66219,15.95178,19.87916,15.99077,14.39986,17.91705,15.20985,13.96866,16.34347,15.61051,7.78281,10.34207,17.02699
alpha_rarefaction_500_2.txt,500,2,5.82208,13.23233,9.8756,8.83163,14.61008,16.53068,13.06543,7.0332,9.1854,19.64832,15.90658,10.62251,19.75989,9.58736,11.54948,18.62364,24.46188,10.15806,13.48463,32.92327,8.25896,6.89817,10.58186,17.39844,23.91613,12.37407,17.63532,13.76551,7.96433,13.63608,15.2278,14.15549,39.62583,21.64633,11.50539,15.13813,44.82862,21.13887,18.91964,13.08251,16.82435,16.53341,12.37734,18.52646,15.68728,9.90526,11.06473,17.76475,39.92983,19.79308,14.52402,25.30837,22.60069,12.82394,15.45386,14.67031,15.54248,12.6128,21.07156,14.98347,16.2743,12.72986,19.25956,14.97175,15.48481,10.1426,12.24279,12.53083,13.65682,18.13776,11.39661,13.16744,15.9554,13.89609,18.07364,16.34315,17.41122,6.97986,20.14507,36.70324,8.24195,26.23309,40.75486,15.855,32.50905,7.23998,26.93871,9.12944,6.87139,19.78801,26.02732,21.09839,17.37253,11.62674,20.92546,17.69263,19.9937,20.16956,43.63608,20.90923,18.46552,21.73454,5.93891,14.32649,17.73633,22.02647,14.64781,36.39016,16.80408,22.96089,16.91841,22.89108,36.79983,24.30883,14.68714,19.52517,15.38573,14.59383,19.16684,13.56104,17.0248,17.56312,13.18335,4.68046,10.30169,17.64365
alpha_rarefaction_500_3.txt,500,3,6.61531,11.39696,8.94525,7.59221,15.02583,15.5704,11.27077,8.49006,9.64593,18.22501,14.79143,10.69597,19.12852,7.75725,8.93484,18.39275,24.70221,11.76983,13.44742,32.94426,7.55685,6.84874,9.4273,17.69944,23.76446,14.22782,18.0725,16.13425,8.59548,10.5374,14.09053,13.29005,39.75003,21.59576,13.30914,12.90854,42.83249,19.26687,17.32256,13.95567,19.02459,17.15856,10.7723,17.27121,17.17581,11.01314,10.77587,17.83774,36.57976,17.90479,15.12927,26.2136,21.92746,14.52454,13.75533,15.80846,15.1028,15.00212,21.23567,13.59011,13.1187,12.44592,17.71236,15.54275,15.15084,10.9114,12.65287,11.53416,16.32593,18.23569,13.49927,14.63279,13.7174,15.96589,18.42427,17.87671,19.11999,6.32642,21.59308,35.71973,8.43898,25.9011,39.89386,18.39276,32.76691,5.94106,26.88154,6.3442,3.9071,20.86642,26.40029,19.70196,18.12356,11.97029,21.40542,17.65844,16.54601,18.65417,44.63842,21.58372,16.2926,20.49226,5.43317,12.17756,16.24632,22.53102,13.52555,36.72763,15.07447,19.26809,17.38401,24.46933,35.4217,23.30071,14.60988,16.09629,16.65965,14.07598,18.81386,17.2172,14.76536,16.51342,12.39208,7.7408,9.21548,19.44632
alpha_rarefaction_500_4.txt,500,4,7.30439,15.05669,10.39493,7.54792,14.73299,15.45661,11.03262,9.08016,9.40647,21.66496,13.4146,9.82003,20.4257,8.99489,10.2561,16.87745,25.25687,12.21627,13.53514,34.09658,8.04509,5.95573,9.49837,16.94605,23.08885,13.15217,19.10851,13.69775,8.30558,13.54575,15.35278,13.93154,42.23033,20.56823,11.07801,13.51382,46.85381,18.37653,19.54029,14.35621,15.54115,16.74789,11.87626,17.04242,15.30921,10.78478,9.41631,19.80705,39.93853,19.48356,14.7709,26.12595,23.64862,13.77316,13.76578,15.22335,13.97892,13.17938,19.40362,13.22277,15.42576,13.50217,19.36341,14.96511,14.4985,10.86137,11.68045,12.01309,13.95616,20.55957,10.0469,14.48107,14.87531,12.97211,20.32661,18.00902,17.67233,7.92768,21.48875,36.71793,7.01075,27.57391,41.13424,19.24094,32.31979,7.46635,28.1879,7.78687,4.65083,21.74816,27.70973,18.27546,18.50258,12.84301,20.35871,18.6714,19.04021,19.00846,40.21382,20.52207,19.39767,21.38062,4.87793,14.18992,13.38332,22.27213,14.25881,38.24171,14.4797,20.53472,16.14634,23.89954,36.42433,24.3919,15.92464,19.12855,15.39971,14.22598,18.87527,15.03603,14.37866,16.87124,14.17359,6.37267,9.19513,20.26803
alpha_rarefaction_500_5.txt,500,5,7.79285,14.59103,8.85959,7.15544,14.34968,14.07417,11.15567,8.86141,9.93493,23.22632,14.79409,11.13806,18.87557,8.9644,12.43373,17.14101,24.21821,10.18492,11.86801,32.03246,6.77801,6.62645,9.93758,19.31135,24.66373,11.8045,17.42414,13.21189,8.22608,12.47051,13.44148,11.74693,41.40764,20.4194,9.94534,13.72013,43.99868,18.97403,19.54402,13.69635,16.90956,18.53137,12.49884,18.8058,16.20245,10.75374,10.7384,17.92888,38.46389,17.09304,13.59584,28.25788,23.76483,11.5899,13.71784,15.51366,15.4831,15.34582,23.40549,13.47247,14.33285,12.10896,20.1149,14.04793,15.89938,11.08373,13.0919,11.70071,14.54008,17.86097,11.96474,15.06637,16.05589,14.40427,16.95226,19.76667,16.8888,7.71469,19.77595,37.60169,7.49801,24.94805,39.54629,18.34661,33.83779,8.29947,27.91107,7.15809,6.75761,21.66992,26.81615,19.46935,16.18743,10.30484,18.9679,18.43969,19.02879,19.47908,42.20194,22.75067,18.73209,21.95354,5.41314,15.48421,17.0432,24.0568,15.75976,37.52449,16.40224,22.24375,14.52049,24.51411,34.40138,23.9788,14.75385,17.24419,15.02513,12.30306,18.33067,14.54164,16.5059,15.59675,15.09014,7.22204,9.5389,16.34894
alpha_rarefaction_500_6.txt,500,6,6.89556,14.32854,9.91168,7.88753,12.97544,14.63139,10.72241,8.82236,9.21771,20.85155,15.13564,9.93949,20.92342,9.04135,10.64729,16.60735,26.25393,12.57491,12.60005,32.57465,9.08516,5.58107,9.74948,17.76546,24.99852,10.7144,18.05065,13.35672,7.79812,12.0237,14.10943,13.5012,39.93934,19.16849,13.66758,12.70367,41.29488,18.52275,16.90019,12.55417,15.57708,16.41612,12.55994,17.88931,14.55776,9.66245,11.6388,19.30721,36.83934,16.59698,13.88329,24.93329,22.69671,13.28171,15.04238,15.5645,13.15643,14.27074,21.29186,13.57945,14.59809,11.65309,19.80568,14.9136,12.67529,13.22644,10.32389,11.95438,15.36052,17.56895,11.86066,13.52443,13.79893,14.36378,16.66505,18.55134,16.5973,7.72197,20.02956,35.22279,7.62503,26.25764,38.38529,18.34686,32.03489,5.87486,27.37025,7.83569,6.25284,22.10781,27.11794,19.39804,15.19501,13.6892,20.69068,18.4318,19.3129,18.39946,43.87986,20.52016,16.77265,21.39386,7.71678,15.82805,15.38117,21.41811,15.34778,37.75946,16.44661,20.83308,17.14922,23.01865,33.25733,24.17614,14.17416,18.95993,15.81906,13.15927,20.02078,15.5752,14.60037,16.46206,15.06027,6.83716,9.14962,16.87673
alpha_rarefaction_500_7.txt,500,7,7.77513,16.45469,10.69504,7.5173,13.57737,15.54507,11.26097,7.53501,9.10504,19.64501,15.82384,9.53994,19.77507,8.24908,10.58644,17.99609,25.33391,13.26598,12.92019,32.69522,8.18328,6.85583,9.25197,17.27265,22.95949,12.51243,18.85429,14.7277,9.8328,12.1512,15.88693,14.20588,38.52455,21.72616,10.68834,13.36265,43.41864,19.57719,17.18305,13.53631,18.55986,18.04741,11.41185,17.43247,14.50624,9.93969,9.35312,17.40968,38.15212,18.61255,14.01088,26.93648,25.26355,13.69315,13.21676,15.95066,15.85689,14.85645,18.59902,13.98596,13.54276,11.36113,19.69591,13.4634,14.69682,12.59235,12.20509,13.89829,14.37733,17.25434,11.41798,14.9895,15.73571,13.48649,19.21126,17.50616,18.50185,7.67994,20.11737,37.72815,9.43094,24.32108,38.85931,19.84313,31.46825,6.42356,27.64295,8.29903,5.79221,22.17905,27.61339,19.84886,18.07148,14.54257,21.55331,17.0877,17.28756,20.68907,40.66451,21.35618,20.30333,18.41294,7.02711,13.58155,14.90288,22.90708,13.37319,38.5726,16.45303,20.98771,16.11871,23.91975,36.33028,23.22186,13.84894,19.29389,17.3462,12.54342,19.0746,16.78298,14.97859,15.82854,14.06223,5.12845,9.70941,17.72798
alpha_rarefaction_500_8.txt,500,8,7.76615,14.80139,8.66183,5.98421,13.92281,18.91147,10.31591,7.29518,9.23399,20.21661,14.99267,11.5727,19.98401,8.22907,12.22638,17.31177,24.11616,11.47701,13.14901,34.41329,7.99068,5.83645,10.77807,18.6447,25.00942,13.11837,18.6953,14.45256,8.50037,12.33347,15.6004,12.27118,39.79837,18.0919,9.70878,14.40617,43.53312,18.08813,17.97917,11.74012,16.74921,17.26687,12.89472,17.08846,16.52984,9.51113,9.92193,19.87874,36.36114,19.8114,16.99483,26.94365,25.15593,12.72216,12.83713,15.40379,15.88509,15.96004,21.36127,13.41358,13.94506,11.37409,20.03661,14.77112,14.04033,11.01159,13.19938,11.6464,16.74196,17.92001,10.15616,12.06338,13.46154,13.48973,16.60178,18.34811,18.12623,7.05111,22.00635,34.93152,7.47145,27.61771,37.81246,18.69659,32.61438,8.38328,28.16165,7.54651,6.33488,21.62379,27.00008,19.91194,16.16185,11.4357,21.16352,16.4035,18.4006,18.83498,42.76823,20.01035,17.4079,21.5647,5.60699,13.92722,14.05915,21.55366,14.69156,37.28577,15.26749,21.63622,16.47172,22.7122,35.16485,24.20567,17.13097,19.37078,16.00667,13.77542,20.96098,16.99655,16.3672,16.12442,13.68467,7.23013,10.89829,18.96498
alpha_rarefaction_500_9.txt,500,9,5.24887,14.25095,11.74707,7.09708,14.96641,15.89563,10.5541,9.5562,11.07109,22.16948,15.83399,10.7287,19.78315,7.97247,10.74853,17.33424,25.2126,11.58974,13.98847,34.94067,7.60469,6.00374,10.03904,17.52589,24.69949,12.40262,20.17659,14.49742,8.33626,12.1071,13.82991,13.37164,39.92369,21.32619,12.05726,14.23181,41.47667,20.92326,19.92154,11.49636,14.96943,18.06536,12.4016,18.22881,14.17628,10.31135,11.11572,16.66044,37.19559,19.4748,13.77184,25.70133,23.33499,12.9041,14.52044,16.42072,14.7262,14.85572,21.32998,13.43904,13.59292,13.15356,17.75235,13.4124,12.80186,12.44924,12.95084,12.96264,14.24983,20.14881,11.36987,13.32996,17.10433,15.11289,17.69772,18.60237,18.00638,6.77788,18.2808,37.0634,9.92029,24.42654,36.78286,17.42172,30.89,6.03069,26.99806,7.53865,4.53223,20.75695,28.61304,18.78125,15.88841,10.21176,19.88779,18.77241,15.43303,22.43827,42.53692,21.01753,18.33834,19.05348,6.22728,14.19458,16.27069,22.34539,15.86218,37.87259,16.7507,20.23677,18.00775,22.93663,35.20799,24.59548,16.431,18.80506,14.61049,13.44057,17.97266,16.8876,16.05939,19.07075,12.92535,8.25121,9.69822,21.46464
