family,color
Desulfobulbaceae,#404141
Thermodesulfovibrionia,#e9634e
Unassigned,#9d7ea5
Gallionellaceae,#70c7bd
Rhodocyclaceae,#f6eb8a
Sulfuricellaceae,#fcbf31
Desulfomicrobiaceae,#d6aad0
Pseudomonadaceae,#f6e5cc
Acetothermiia,#73e1c2
Desulfobacteraceae,#d2cee0
Clostridia,#DBC375
Latescibacteraceae,#abeda2
Zixibacteria,#DC7E89
Woesearchaeia,#BC54D8
Lentimicrobiaceae,#BAC8D1
Anaerolineaceae,#d79dcd
Omnitrophicaeota,#bfe6f2
Alphaproteobacteria,#92d5e3
Ignavibacteriales,#87E2C2
Syntrophomonadaceae,#D1D7DB
Desulfarculaceae,#A892D8
Uhrbacterales,#5f52dd
Less abundant taxa,#a0a0a0
